"Inner_Iter",     "rms[k]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
           0,     -0.5644592066,               2.4,               2.4,       4.561838698,      0.4413295094
           1,      -1.139321445,              2.88,              2.88,       3.993893617,      0.3849246954
           2,      -1.694803981,             3.456,             3.456,         3.2681353,      0.3760187267
           3,      -2.213044576,            4.1472,            4.1472,        2.76091293,      0.4749482279
           4,      -2.655397997,           4.97664,           4.97664,       2.402278148,      0.6360306589
           5,      -2.976473558,          5.971968,          5.971968,       2.146525796,      0.8301601725
           6,      -3.189680861,         7.1663616,         7.1663616,       1.962955437,       1.038494657
           7,      -3.346314222,        8.59963392,        8.59963392,       1.829935218,       1.247873181
           8,      -3.477382114,        10.3195607,        10.3195607,       1.731394856,       1.447958924
           9,      -3.595229133,       12.38347284,       12.38347284,       1.654946447,       1.630060753
          10,      -3.704746673,       14.86016741,       14.86016741,       1.591287414,       1.787602878
          11,      -3.808177422,        17.8322009,        17.8322009,       1.534466474,       1.917620187
          12,      -3.906862047,       21.39864108,       21.39864108,       1.482057086,       2.021823167
          13,      -4.001984707,       25.67836929,       25.67836929,       1.434176843,       2.106010268
          14,      -4.094841954,       30.81404315,       30.81404315,       1.391000481,       2.177782165
          15,      -4.186711934,       36.97685178,       36.97685178,       1.349264656,       2.242621504
          16,      -4.278767728,       44.37222213,       44.37222213,       1.301231292,       2.302254838
          17,       -4.37058214,       53.24666656,       53.24666656,       1.235135686,       2.350910359
          18,      -4.459872346,       63.89599987,       63.89599987,       1.139353329,        2.36861206
          19,      -4.543942873,       6.389599987,       6.389599987,       1.009047897,       2.322210313
          20,      -4.618273743,       7.667519985,       7.667519985,      0.9953688425,       2.316985902
          21,      -4.624742652,       9.201023982,       9.201023982,      0.9787093583,       2.309748459
          22,      -4.632172282,       11.04122878,       11.04122878,      0.9585379741,       2.299623449
          23,      -4.640611887,       13.24947453,       13.24947453,      0.9341895546,       2.285345112
          24,      -4.650061648,       15.89936944,       15.89936944,      0.9048612774,       2.265044533
          25,      -4.660452423,       19.07924333,       19.07924333,       0.869619551,       2.235984041
          26,      -4.671593686,       22.89509199,       22.89509199,      0.8274285087,       2.194306855
          27,      -4.683139194,       27.47411039,       27.47411039,      0.7773184089,       2.135014302
          28,      -4.694555988,       32.96893247,       32.96893247,      0.7186630946,       2.052227725
          29,      -4.705116479,       39.56271897,       39.56271897,      0.6515700316,       1.940093596
          30,      -4.713963912,       47.47526276,       47.47526276,      0.5768348743,       1.794318822
          31,      -4.720252576,       56.97031531,       56.97031531,      0.4958917782,       1.615123785
          32,      -4.723476458,       68.36437837,       68.36437837,      0.4113793674,       1.410926553
