"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
          43,      -10.06617808,      -8.222257655,      -8.777755882,      -10.17387059,       2.939543136,       2.939543136,      0.1511627388,      0.9988690247,       1.042847978
          44,      -10.06147274,      -8.222186745,      -8.781850926,      -10.17385881,       3.527451763,       3.527451763,      0.1511627161,      0.9988691565,       1.042848087
          45,      -10.06172035,      -8.222074993,      -8.786689876,      -10.17384741,       4.232942116,       4.232942116,      0.1511626888,      0.9988693138,       1.042848216
          46,      -10.06866081,      -8.221969685,       -8.79132836,      -10.17383798,       5.079530539,       5.079530539,      0.1511626558,      0.9988695019,        1.04284837
          47,      -10.07717536,      -8.221931564,      -8.794768358,      -10.17383142,       6.095436647,       6.095436647,       0.151162616,      0.9988697269,       1.042848555
          48,      -10.08160063,      -8.222007078,      -8.796184204,      -10.17382728,       7.314523976,       7.314523976,      0.1511625683,      0.9988699964,       1.042848776
          49,      -10.08214342,       -8.22220069,      -8.795345351,      -10.17382374,       8.777428771,       8.777428771,      0.1511625109,      0.9988703193,        1.04284904
          50,      -10.08165395,      -8.222472759,      -8.792991793,       -10.1738187,       10.53291453,       10.53291453,      0.1511624419,      0.9988707066,       1.042849357
          51,      -10.08097112,      -8.222769206,      -8.790364397,      -10.17381116,       12.63949743,       12.63949743,      0.1511623589,      0.9988711712,       1.042849737
          52,      -10.08004617,      -8.223057565,      -8.788183868,      -10.17380184,       15.16739692,       15.16739692,      0.1511622591,      0.9988717287,       1.042850191
          53,      -10.07881192,      -8.223336741,      -8.786295328,      -10.17379252,        18.2008763,        18.2008763,       0.151162139,       0.998872398,       1.042850736
          54,      -10.07668745,      -8.223617454,      -8.784181744,      -10.17378509,        18.2008763,        18.2008763,      0.1511619947,       0.998873202,       1.042851389
          55,      -10.07303542,      -8.223900995,      -8.781538723,      -10.17381826,        18.2008763,        18.2008763,      0.1511618505,      0.9988740087,       1.042852044
          56,       -10.0709076,      -8.224100606,      -8.780962412,      -10.17385139,        18.2008763,        18.2008763,      0.1511617064,      0.9988748178,         1.0428527
          57,      -10.07066097,      -8.224252883,      -8.781512326,      -10.17388571,        18.2008763,        18.2008763,      0.1511615625,      0.9988756295,       1.042853358
          58,       -10.0711461,      -8.224397792,      -8.782155777,      -10.17392129,        18.2008763,        18.2008763,      0.1511614188,      0.9988764435,       1.042854018
          59,      -10.07142516,      -8.224547882,       -8.78257913,      -10.17395785,        18.2008763,        18.2008763,      0.1511612753,      0.9988772599,        1.04285468
          60,      -10.07142621,      -8.224700486,      -8.782862844,      -10.17399518,        18.2008763,        18.2008763,       0.151161132,      0.9988780784,       1.042855345
          61,      -10.07136892,      -8.224851426,      -8.783114875,      -10.17403327,        18.2008763,        18.2008763,      0.1511609887,      0.9988788986,       1.042856011
          62,      -10.07136505,      -8.224998947,      -8.783367894,      -10.17407217,        18.2008763,        18.2008763,      0.1511608453,      0.9988797204,       1.042856679
          63,      -10.07140524,      -8.225142704,      -8.783615848,      -10.17411192,        18.2008763,        18.2008763,      0.1511607017,      0.9988805434,       1.042857348
          64,      -10.07145875,      -8.225282584,      -8.783852219,      -10.17415255,        18.2008763,        18.2008763,      0.1511605577,      0.9988813673,       1.042858017
          65,      -10.07151672,      -8.225418432,      -8.784077644,      -10.17419405,        18.2008763,        18.2008763,      0.1511604131,       0.998882192,       1.042858688
          66,      -10.07158467,      -8.225550149,      -8.784294772,      -10.17423643,        18.2008763,        18.2008763,       0.151160268,      0.9988830175,       1.042859359
          67,      -10.07166747,      -8.225677747,      -8.784504953,      -10.17427967,        18.2008763,        18.2008763,      0.1511601222,      0.9988838438,        1.04286003
          68,      -10.07176572,      -8.225801314,      -8.784708414,      -10.17432377,        18.2008763,        18.2008763,      0.1511599759,       0.998884671,       1.042860702
          69,      -10.07187777,      -8.225920981,       -8.78490523,      -10.17436872,        18.2008763,        18.2008763,      0.1511598292,      0.9988854992,       1.042861375
          70,      -10.07200205,      -8.226036892,      -8.785095701,      -10.17441452,        18.2008763,        18.2008763,      0.1511596821,      0.9988863284,       1.042862048
          71,      -10.07213664,      -8.226149199,      -8.785280297,      -10.17446115,        18.2008763,        18.2008763,      0.1511595348,      0.9988871586,       1.042862722
          72,      -10.07227983,      -8.226258063,      -8.785459495,      -10.17450859,        18.2008763,        18.2008763,      0.1511593873,      0.9988879899,       1.042863397
          73,      -10.07242926,      -8.226363647,      -8.785633735,      -10.17455684,        18.2008763,        18.2008763,      0.1511592398,      0.9988888219,       1.042864074
          74,      -10.07258228,      -8.226466115,       -8.78580337,      -10.17460587,        18.2008763,        18.2008763,      0.1511590921,      0.9988896546,       1.042864751
          75,       -10.0727358,      -8.226565636,      -8.785968654,      -10.17465568,        18.2008763,        18.2008763,      0.1511589445,      0.9988904878,       1.042865428
