"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
           0,      -3.928552832,      -16.54859418,      -17.01551067,      -6.043717966,      -1.279917063,               2.4,               2.4,       0.521906291,      0.7195942125
           1,      -4.082746108,      -3.806184582,       -3.77467896,      -5.818804723,       1.884764454,              2.88,              2.88,      0.7906053146,        1.37522676
           2,      -4.210825359,      -4.188809283,      -3.996193857,      -5.887551428,       1.146053419,             3.456,             3.456,      0.9837942351,       1.828813926
           3,      -4.311839438,      -4.298478056,      -4.068902748,      -5.902861793,      0.8718880059,            4.1472,            4.1472,       1.102455927,       2.112611778
           4,      -4.383658366,      -4.377388977,      -4.098059105,      -5.938254753,      0.6982630163,           4.97664,           4.97664,       1.160505139,       2.258856315
           5,      -4.429387168,      -4.425478268,      -4.138326776,      -6.001430354,      0.5373186426,          5.971968,          5.971968,       1.175083586,       2.305443883
           6,      -4.473246461,      -4.468784932,      -4.177199883,      -6.085142141,      0.3333565226,         7.1663616,         7.1663616,       1.172359196,       2.312529815
           7,      -4.517325903,      -4.512491102,      -4.213139429,        -6.1721063,     0.09957321694,        8.59963392,        8.59963392,       1.172584045,       2.327572424
           8,      -4.559406817,      -4.554620196,      -4.247660011,      -6.251056324,     -0.1064169698,        10.3195607,        10.3195607,        1.17946336,       2.358450909
           9,      -4.600844212,      -4.595524347,      -4.280499383,       -6.32055626,     -0.2691463465,       12.38347284,       12.38347284,       1.192086312,       2.402287337
          10,      -4.641414679,      -4.635311552,      -4.312278254,      -6.384472049,     -0.4147563771,       14.86016741,       14.86016741,       1.206299951,       2.450168621
          11,      -4.681125676,      -4.674390935,      -4.343251256,      -6.447346851,      -0.553336081,        17.8322009,        17.8322009,       1.220789181,       2.499525214
          12,      -4.719843162,      -4.712453985,      -4.373476622,      -6.512852486,      -0.676311119,       21.39864108,       21.39864108,       1.234979244,        2.54947201
          13,      -4.757209282,      -4.748795957,      -4.402689061,      -6.584036999,     -0.7821964053,       25.67836929,       25.67836929,       1.247757016,       2.598200498
          14,      -4.792433058,      -4.782138916,      -4.430032509,        -6.6632793,      -0.869632182,       30.81404315,       30.81404315,       1.257797946,       2.643992964
          15,      -4.823960794,      -4.809931885,      -4.453777734,      -6.739246425,     -0.9425999242,       36.97685178,       36.97685178,       1.263341214,       2.684870319
          16,      -4.849391302,      -4.827565936,      -4.471077912,      -6.780959419,      -1.003668927,       44.37222213,       44.37222213,       1.262009323,       2.718586864
          17,      -4.866385313,      -4.827770706,       -4.47855203,      -6.782389066,      -1.057522155,       4.437222213,       4.437222213,       1.250418202,       2.741877164
          18,      -4.874708767,      -4.801199206,      -4.474989691,      -6.924916566,      -1.447069996,       5.324666656,       5.324666656,        1.24970483,       2.744649008
          19,      -4.870648242,       -4.79416593,      -4.471115561,      -6.924048665,       -1.45242935,       6.389599987,       6.389599987,       1.248499168,       2.747518558
          20,      -4.865928011,        -4.7851864,      -4.466520841,      -6.923486397,      -1.435425258,       7.667519985,       7.667519985,       1.246602238,       2.750374099
          21,      -4.860576173,      -4.773671491,      -4.461076736,      -6.923543938,      -1.416079024,       9.201023982,       9.201023982,       1.243822543,       2.753107739
          22,      -4.854668866,      -4.758955916,      -4.454624583,      -6.924578509,       -1.42360611,       11.04122878,       11.04122878,       1.239942307,       2.755594653
          23,      -4.848310632,      -4.740444215,      -4.447007218,      -6.926768155,       -1.44243869,       13.24947453,       13.24947453,       1.234652853,       2.757633172
          24,      -4.841616793,      -4.717737201,      -4.438124121,      -6.929239173,      -1.457326999,       15.89936944,       15.89936944,       1.227487315,       2.758873885
          25,      -4.834651998,      -4.690754699,      -4.428049648,      -6.931014069,      -1.462857117,       19.07924333,       19.07924333,       1.217735675,       2.758744005
