"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      ,   "Cauchy[CD]"   
          39,      -4.719235279,      -4.361053579,      -4.293873694,       -9.98932406,         20.413494,         20.413494,      0.2836928306,       1.281157768,       1.586785943,    0.004199193704
          40,      -4.715479142,      -4.345876566,       -4.28757061,      -9.971875015,        24.4961928,        24.4961928,      0.2679836711,       1.259429012,       1.550301055,    0.004433673057
          41,      -4.711980739,      -4.332852019,      -4.284010766,      -9.952237538,       29.39543136,       29.39543136,      0.2506045438,       1.227755724,       1.500690201,    0.004711068304
          42,      -4.710626044,      -4.323840023,      -4.285012396,      -9.931369222,       35.27451763,       35.27451763,      0.2318577557,       1.183027902,       1.434216863,    0.005034487084
          43,      -4.714863522,      -4.321006355,      -4.293731471,      -9.914737062,       42.32942116,       42.32942116,      0.2122877243,       1.122380748,       1.347216272,    0.005403232501
          44,      -4.729685354,      -4.325887176,      -4.314631236,      -9.917003629,       50.79530539,       50.79530539,      0.1926709911,       1.044462504,       1.237293738,    0.005810491177
          45,      -4.759635638,      -4.337145127,      -4.350201039,      -9.955515846,       5.079530539,       5.079530539,      0.1737765679,      0.9512344566,       1.105223241,    0.006245404203
          46,      -4.803886825,       -4.34992469,      -4.392724335,      -9.996555971,       6.095436647,       6.095436647,      0.1719158274,      0.9418219322,       1.091898068,    0.006288698424
          47,      -4.812057003,      -4.348246719,      -4.393271084,       -9.99692803,       7.314523976,       7.314523976,       0.169745306,      0.9305395488,       1.075910239,    0.006339846146
          48,      -4.816226414,      -4.344023692,      -4.393255787,      -9.997935161,       8.777428771,       8.777428771,      0.1672282293,      0.9170496101,       1.056761209,    0.006400053127
          49,       -4.81996304,      -4.338495191,      -4.392805645,      -9.999698215,       10.53291453,       10.53291453,      0.1643280674,      0.9009730872,       1.033877539,    0.006470647566
          50,      -4.824331784,      -4.331742483,      -4.391987141,       -10.0022951,       12.63949743,       12.63949743,      0.1610098324,      0.8819037581,       1.006618384,    0.006553083152
          51,      -4.829625166,       -4.32394872,      -4.390894474,      -10.00572254,       15.16739692,       15.16739692,      0.1572404064,      0.8594335813,       0.974291658,    0.006648972652
          52,      -4.835858762,      -4.315576999,       -4.38962408,      -10.00969221,        18.2008763,        18.2008763,       0.152989627,      0.8332083248,      0.9362043068,    0.006760111675
          53,      -4.842908594,      -4.307442296,      -4.388279953,      -10.01359552,       21.84105156,       21.84105156,      0.1482318958,      0.8030094747,       0.891742911,    0.006888497842
          54,      -4.850659123,      -4.300726632,       -4.38704924,      -10.01648072,       26.20926187,       26.20926187,      0.1429516657,      0.7688848947,      0.8405240632,    0.007036246524
          55,      -4.859098787,      -4.296907449,      -4.386365424,      -10.01724518,       31.45111425,       31.45111425,      0.1371541501,      0.7313507811,      0.7826628804,    0.007205326807
          56,      -4.868343581,      -4.297607116,      -4.387088728,      -10.01489318,        37.7413371,        37.7413371,      0.1308846292,      0.6916544785,      0.7191826252,    0.007396931303
          57,      -4.878724159,      -4.304373062,      -4.390544725,       -10.0087685,       45.28960451,       45.28960451,       0.124248429,      0.6519533544,      0.6524276926,    0.007610574254
          58,      -4.890969514,      -4.318501558,      -4.398364678,      -9.998614048,       54.34752542,       54.34752542,      0.1173961639,      0.6151454106,      0.5861846979,    0.007844049178
          59,      -4.906664269,      -4.340901733,      -4.412104418,      -9.984767877,       5.434752542,       5.434752542,       0.110381879,      0.5839486177,       0.524949859,    0.008098231656
          60,      -4.928796177,      -4.371970876,      -4.432609602,      -10.01303482,        6.52170305,        6.52170305,      0.1096884895,       0.580922293,       0.518945098,    0.008123517426
          61,      -4.934327228,      -4.372959414,      -4.433850524,      -10.00965708,        7.82604366,        7.82604366,      0.1088720417,      0.5774651608,      0.5119908012,    0.008153514026
          62,      -4.936673378,      -4.373960204,      -4.435258247,       -10.0054989,       9.391252392,       9.391252392,      0.1079135755,      0.5735606158,      0.5040050008,    0.008189041204
          63,      -4.938105237,      -4.375165293,      -4.436951439,      -10.00043943,       11.26950287,       11.26950287,      0.1067913072,      0.5692086041,       0.494925012,    0.008231077146
          64,       -4.93948143,      -4.376689298,      -4.439053375,      -9.994361468,       13.52340344,       13.52340344,      0.1054793982,      0.5644274822,      0.4847162148,    0.008280827488
          65,       -4.94124322,      -4.378680669,      -4.441669976,      -9.987157966,       16.22808413,       16.22808413,       0.103945776,      0.5592477833,      0.4733761057,    0.008339843727
          66,      -4.943735128,      -4.381321809,      -4.444857124,       -9.97874221,       19.47370096,       19.47370096,      0.1021483355,      0.5536922862,       0.460928707,    0.008410229232
          67,      -4.947314782,      -4.384844833,      -4.448590704,       -9.96907005,       23.36844115,       23.36844115,      0.1000281129,      0.5477433833,      0.4474161685,    0.008495014299
          68,      -4.952412874,      -4.389545385,      -4.452742415,      -9.958108318,       28.04212938,       28.04212938,     0.09749356858,      0.5412939662,      0.4328833136,    0.008596396071
          69,      -4.959493522,      -4.395794421,      -4.457101309,       -9.94588932,       33.65055526,       33.65055526,     0.09438679333,      0.5340679662,      0.4173366192,    0.008720667081
          70,      -4.968869977,      -4.404044685,      -4.461476922,      -9.932406253,       40.38066631,       40.38066631,     0.09042598045,      0.5254762548,      0.4006183759,    0.008879099597
          71,      -4.980332907,      -4.414818463,      -4.465918482,      -9.917384944,       48.45679957,       48.45679957,     0.08515082682,      0.5144115501,      0.3821790723,    0.009090105742
          72,      -4.992717215,       -4.42868112,      -4.471080968,      -9.899863157,       58.14815949,       58.14815949,     0.07794849038,      0.4991207476,      0.3609029441,    0.009378199199
          73,      -5.004065152,      -4.446243182,      -4.478698083,      -9.877901087,       5.814815949,       5.814815949,     0.06828868943,      0.4775903692,      0.3355731139,    0.009764591237
