"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
           0,      -5.972123849,      -4.771578426,       -4.84122883,      -9.383721414,               2.4,               2.4,      0.2475891331,       1.146938553,       1.253987219
           1,      -6.038549007,      -4.790434606,      -4.860701863,      -9.088023682,              2.88,              2.88,      0.2476413445,       1.147415762,       1.254554252
           2,      -6.003140092,      -4.808159754,      -4.882582819,      -8.900070519,             3.456,             3.456,      0.2477003774,       1.147869585,       1.255091204
           3,      -5.922230729,      -4.823057232,      -4.908918188,      -8.770376503,            4.1472,            4.1472,      0.2477383729,       1.148241074,       1.255513817
           4,      -5.849988959,      -4.833223788,      -4.943011589,      -8.681953981,           4.97664,           4.97664,      0.2477322355,       1.148483686,       1.255767299
           5,      -5.802777075,      -4.837409088,      -4.988761226,      -8.629148839,          5.971968,          5.971968,      0.2476705767,       1.148561814,       1.255831545
           6,      -5.784836742,      -4.835976624,      -5.048910608,      -8.609225275,         7.1663616,         7.1663616,      0.2475471452,       1.148452396,       1.255714206
           7,       -5.79671859,      -4.831122225,      -5.123267498,      -8.618607432,        8.59963392,        8.59963392,      0.2473381491,       1.148141049,       1.255422401
           8,      -5.833848131,      -4.826022474,      -5.206397738,      -8.650814124,        10.3195607,        10.3195607,      0.2469776729,       1.147604115,       1.254926709
           9,      -5.884547334,      -4.823581171,      -5.279697165,      -8.693370853,       12.38347284,       12.38347284,       0.246348208,       1.146770736,       1.254127062
          10,      -5.935650603,       -4.82536258,      -5.306096464,      -8.726614019,       14.86016741,       14.86016741,      0.2452786777,       1.145477869,       1.252819625
          11,      -5.983171459,      -4.830878677,       -5.27616104,      -8.728925058,        17.8322009,        17.8322009,      0.2435349947,       1.143435221,       1.250656656
          12,      -6.030577306,      -4.837642613,      -5.233418587,      -8.694980596,       21.39864108,       21.39864108,      0.2408086217,       1.140218873,       1.247108407
          13,      -6.080121567,      -4.842627953,      -5.211055915,      -8.636258788,       25.67836929,       25.67836929,      0.2367428944,       1.135338268,       1.241484948
          14,      -6.131963029,      -4.844507199,      -5.211987482,      -8.566502536,       2.567836929,       2.567836929,      0.2310408326,       1.128467562,       1.233160627
          15,      -6.183327574,      -4.844149483,      -5.221949181,      -8.562338056,       3.081404315,       3.081404315,      0.2302774053,       1.127568339,       1.232039068
          16,      -6.182343783,      -4.844177762,      -5.224970017,      -8.551107545,       3.697685178,       3.697685178,      0.2293599809,       1.126500906,       1.230694451
          17,      -6.181612007,      -4.843921577,      -5.230557876,      -8.538172613,       4.437222213,       4.437222213,      0.2282634673,       1.125239595,        1.22909029
          18,      -6.182842198,      -4.843317561,      -5.239162337,      -8.523513244,       5.324666656,       5.324666656,      0.2269589698,       1.123753019,        1.22718138
          19,      -6.187454447,      -4.842351156,      -5.250503672,      -8.509277224,       6.389599987,       6.389599987,       0.225680164,       1.122222787,       1.225259715
          20,      -6.194014642,      -4.841485452,      -5.266380165,      -8.493425282,       7.667519985,       7.667519985,      0.2241186239,       1.120363416,       1.222895631
          21,      -6.202679194,      -4.840417917,      -5.279729045,      -8.475697174,       9.201023982,       9.201023982,      0.2222160343,       1.118114906,        1.21999306
          22,      -6.211838038,      -4.839641835,      -5.286380304,      -8.455450126,       11.04122878,       11.04122878,       0.219911372,       1.115427779,       1.216457334
          23,       -6.21965825,      -4.839420876,       -5.28348943,      -8.431871745,       13.24947453,       13.24947453,      0.2171482069,       1.112281695,       1.212216628
          24,      -6.226698247,      -4.839659169,      -5.273127694,      -8.404759016,       15.89936944,       15.89936944,      0.2138886396,       1.108715906,       1.207261953
          25,      -6.234434838,      -4.839901482,       -5.26095274,       -8.37377022,       19.07924333,       19.07924333,      0.2101348693,        1.10486881,       1.201706647
          26,      -6.244068174,      -4.839699343,      -5.251125275,      -8.338918031,       1.907924333,       1.907924333,       0.205952839,       1.101006039,        1.19584454
          27,      -6.255809824,      -4.838885969,      -5.243397831,      -8.335057457,       2.289509199,       2.289509199,      0.2054351699,       1.100560442,       1.195150634
          28,      -6.254737036,      -4.838801143,      -5.243484266,      -8.329588839,       2.747411039,       2.747411039,      0.2048318701,       1.100054829,       1.194354227
          29,      -6.253163469,      -4.838524063,      -5.245469771,      -8.323179976,       3.296893247,       3.296893247,       0.204132291,       1.099484638,       1.193444824
          30,      -6.252222244,      -4.838000854,      -5.249889735,      -8.315727235,       3.956271897,       3.956271897,       0.203325552,       1.098846148,       1.192412008
          31,      -6.253345009,       -4.83719573,       -5.25689614,      -8.307126916,       4.747526276,       4.747526276,       0.202401056,        1.09813757,       1.191246546
          32,      -6.257758007,      -4.836137153,       -5.26588345,      -8.297319582,       5.697031531,       5.697031531,      0.2013492774,       1.097360797,       1.189942493
          33,      -6.265337976,       -4.83494839,       -5.27509481,      -8.287506345,       6.836437837,       6.836437837,      0.2002724742,       1.096553201,       1.188599917
          34,      -6.272327317,      -4.834194663,      -5.285614876,        -8.2762326,       8.203725405,       8.203725405,      0.1990348229,       1.095687106,       1.187118711
          35,      -6.277359021,      -4.833594851,      -5.289008894,      -8.263233237,       9.844470486,       9.844470486,      0.1976279708,       1.094789349,       1.185525307
