"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
          43,      -8.038726777,      -6.651333507,      -6.867648901,      -8.125355278,      -4.009311816,        141.760375,        141.760375,      0.1267117555,       1.167778154
          44,      -8.084269173,       -6.71366193,      -6.921018675,      -8.148459968,      -3.999857186,        14.1760375,        14.1760375,      0.1266927551,       1.167761727
          45,      -8.134936709,      -6.778555903,      -6.978078633,      -8.175096403,      -4.182135418,         17.011245,         17.011245,      0.1266907665,       1.167759717
          46,      -8.434832713,      -6.805962952,      -7.075884556,       -8.17730921,      -4.210478637,         20.413494,         20.413494,      0.1266881892,       1.167757351
          47,      -8.653748391,      -6.832363969,       -7.17974176,       -8.17995057,      -4.217846246,        24.4961928,        24.4961928,      0.1266846101,       1.167754302
          48,      -8.523001501,      -6.867547839,      -7.210372383,      -8.183111109,      -4.220261527,       29.39543136,       29.39543136,      0.1266798552,       1.167750234
          49,      -8.457241794,      -6.908438198,      -7.214538895,      -8.186883253,       -4.22111489,       35.27451763,       35.27451763,      0.1266741483,       1.167745219
          50,       -8.48196649,      -6.950839605,      -7.236122127,      -8.191373718,       -4.22104549,       42.32942116,       42.32942116,      0.1266679192,       1.167739748
          51,      -8.515593661,      -6.994403189,      -7.271531842,      -8.196713315,      -4.220266096,       50.79530539,       50.79530539,       0.126661445,       1.167734416
          52,      -8.537405379,      -7.039782626,      -7.308374206,       -8.20306191,      -4.218995252,       60.95436647,       60.95436647,      0.1266546613,       1.167729569
          53,      -8.558007641,      -7.086547077,      -7.344037176,      -8.210616714,      -4.217352476,       73.14523976,       73.14523976,      0.1266472729,       1.167725191
          54,        -8.5832842,      -7.133734907,      -7.380077923,      -8.219628034,      -4.214980405,       87.77428771,       87.77428771,      0.1266390057,       1.167721096
          55,      -8.611049109,      -7.180476381,      -7.416357399,      -8.230423344,      -4.210835377,       87.77428771,       87.77428771,      0.1266297649,       1.167717186
          56,      -8.639303849,      -7.225962941,      -7.451690471,       -8.24354815,      -4.229242301,       8.777428771,       8.777428771,      0.1266208364,       1.167713663
          57,      -8.685701766,      -7.267994798,      -7.490413725,      -8.257171802,      -4.361692707,       10.53291453,       10.53291453,      0.1266199382,        1.16771321
          58,      -8.846993601,      -7.281780706,      -7.547901099,       -8.25836254,      -4.367378974,       12.63949743,       12.63949743,      0.1266188158,       1.167712693
          59,      -8.942463216,       -7.29244736,      -7.618954519,      -8.259788855,       -4.36968784,       15.16739692,       15.16739692,       0.126617302,       1.167712033
          60,      -8.969866971,      -7.307231517,       -7.64864668,      -8.261510307,       -4.37063736,        18.2008763,        18.2008763,      0.1266152474,       1.167711068
          61,      -8.912250979,      -7.326438643,      -7.644541676,      -8.263592365,       -4.37139727,       21.84105156,       21.84105156,      0.1266126451,       1.167709703
          62,      -8.899336058,      -7.346926476,      -7.640522756,      -8.266108461,        -4.3722424,       26.20926187,       26.20926187,      0.1266096737,        1.16770804
          63,      -8.908969697,       -7.36714853,      -7.647809022,      -8.269148565,      -4.372981474,       31.45111425,       31.45111425,      0.1266065791,       1.167706347
          64,      -8.914616434,      -7.387481513,      -7.659325097,      -8.272826299,      -4.373441203,        37.7413371,        37.7413371,      0.1266034907,       1.167704902
          65,      -8.913846745,       -7.40820538,      -7.669526224,      -8.277283391,       -4.37350139,       45.28960451,       45.28960451,      0.1266003404,       1.167703844
          66,      -8.913467111,      -7.428945296,      -7.678771482,      -8.282695118,      -4.372946184,       54.34752542,       54.34752542,      0.1265969266,       1.167703124
          67,      -8.916556596,      -7.449168627,      -7.688339994,       -8.28927839,      -4.371681872,        65.2170305,        65.2170305,      0.1265930349,       1.167702583
          68,      -8.922881227,      -7.468363671,      -7.698239647,      -8.297301297,      -4.370266567,        78.2604366,        78.2604366,      0.1265885154,        1.16770208
          69,      -8.932095079,      -7.485934374,      -7.707978098,      -8.307092129,      -4.369891105,        7.82604366,        7.82604366,      0.1265832808,        1.16770156
          70,      -8.943535286,      -7.501183598,      -7.716981088,      -8.319840546,      -4.505034669,       9.391252392,       9.391252392,      0.1265827714,       1.167701495
          71,      -9.028571411,      -7.506227614,      -7.743635787,      -8.320951264,      -4.506012884,       11.26950287,       11.26950287,      0.1265821099,       1.167701415
          72,      -9.066817097,      -7.508995438,      -7.777056337,       -8.32228001,      -4.506475554,       13.52340344,       13.52340344,      0.1265811698,       1.167701256
          73,      -9.091074787,      -7.513599762,      -7.792581458,      -8.323883436,      -4.506774173,       16.22808413,       16.22808413,       0.126579838,       1.167700901
          74,      -9.075517005,      -7.520658537,      -7.791277334,      -8.325823933,      -4.507692782,       19.47370096,       19.47370096,      0.1265781229,       1.167700275
          75,      -9.068230921,      -7.528454596,      -7.786575148,      -8.328169302,      -4.509251235,       23.36844115,       23.36844115,      0.1265761902,       1.167699455
          76,      -9.074457395,      -7.535688311,      -7.786263857,      -8.331000238,      -4.510815754,       28.04212938,       28.04212938,      0.1265742429,       1.167698645
          77,      -9.081704071,      -7.542204975,       -7.78893735,      -8.334417403,      -4.512088864,       33.65055526,       33.65055526,      0.1265723548,       1.167698044
          78,      -9.085741415,      -7.548106225,      -7.791467046,      -8.338544275,      -4.513034418,       40.38066631,       40.38066631,      0.1265704206,       1.167697719
          79,      -9.088646934,      -7.553226398,      -7.793013752,      -8.343528841,      -4.513334704,       48.45679957,       48.45679957,      0.1265682364,        1.16769757
          80,      -9.092060755,      -7.557264266,      -7.793785281,      -8.349546384,      -4.512112077,       58.14815949,       58.14815949,       0.126565599,       1.167697388
          81,      -9.094482195,      -7.559931965,      -7.793638083,      -8.356801781,      -4.507949913,       69.77779139,       69.77779139,      0.1265623522,       1.167696961
          82,      -9.092421641,      -7.560956368,      -7.792092523,      -8.365528584,      -4.498815919,       69.77779139,       69.77779139,      0.1265583899,       1.167696169
          83,      -9.080523068,      -7.560048123,      -7.788598715,      -8.376134193,      -4.513187318,       69.77779139,       69.77779139,      0.1265542554,       1.167695059
          84,      -9.082261684,      -7.558198281,      -7.787787805,      -8.386563013,      -4.522960877,       69.77779139,       69.77779139,      0.1265500682,       1.167693726
          85,      -9.082383225,      -7.555659879,      -7.786911359,      -8.396779414,      -4.529562263,       69.77779139,       69.77779139,      0.1265459493,       1.167692301
          86,       -9.07749821,      -7.552668361,      -7.785147327,       -8.40674591,      -4.533784463,       69.77779139,       69.77779139,      0.1265419458,        1.16769086
          87,      -9.069037026,       -7.54934532,      -7.782790196,      -8.416425751,      -4.536379408,       69.77779139,       69.77779139,      0.1265380711,       1.167689444
          88,      -9.058312875,      -7.545790686,      -7.780099709,      -8.425784805,      -4.537637667,       69.77779139,       69.77779139,      0.1265343353,       1.167688098
          89,      -9.045845502,      -7.542088771,      -7.777180683,      -8.434792295,      -4.537339601,       69.77779139,       69.77779139,      0.1265307512,       1.167686882
          90,      -9.032025589,      -7.538305237,      -7.774105112,      -8.443421158,      -4.535157519,       69.77779139,       69.77779139,      0.1265273307,       1.167685862
          91,      -9.017355065,      -7.534488102,      -7.770934501,      -8.451648334,      -4.530909656,       69.77779139,       69.77779139,       0.126524082,       1.167685103
          92,      -9.003613953,      -7.530677705,      -7.767766513,      -8.459454907,      -4.524557226,       69.77779139,       69.77779139,      0.1265210066,       1.167684658
          93,      -9.018676479,      -7.527070285,       -7.76476834,      -8.466826038,      -4.516160741,       69.77779139,       69.77779139,      0.1265180969,       1.167684584
          94,      -9.006632846,      -7.523402125,      -7.761858126,      -8.473751201,      -4.505901862,       69.77779139,       69.77779139,       0.126515352,       1.167684879
          95,      -8.985526085,      -7.519723499,      -7.758703056,      -8.480223982,      -4.494008027,       69.77779139,       69.77779139,      0.1265127669,        1.16768554
          96,      -8.970640881,      -7.516116425,      -7.755925483,      -8.486242031,      -4.480846596,       69.77779139,       69.77779139,      0.1265103307,       1.167686564
          97,      -8.958092242,      -7.512600289,      -7.753216921,      -8.491807094,      -4.466867557,       69.77779139,       69.77779139,      0.1265080318,       1.167687929
          98,      -8.946632553,      -7.509183686,        -7.7506695,      -8.496924894,       -4.45252678,       69.77779139,       69.77779139,       0.126505859,       1.167689601
          99,      -8.936425932,      -7.505865886,      -7.748299254,      -8.501605024,       -4.43817321,       69.77779139,       69.77779139,      0.1265038001,       1.167691533
         100,      -8.926985986,      -7.502656638,      -7.746132004,      -8.505860613,      -4.424035697,       69.77779139,       69.77779139,      0.1265018403,       1.167693675
         101,       -8.91829237,      -7.499546073,      -7.744124842,      -8.509708359,      -4.410285197,       69.77779139,       69.77779139,       0.126499962,       1.167695974
         102,       -8.91041852,      -7.496553225,      -7.742341137,      -8.513168011,      -4.397298896,       69.77779139,       69.77779139,      0.1264981458,       1.167698382
         103,      -8.921820881,      -7.493819741,       -7.74110093,      -8.516261771,       -4.38524547,       69.77779139,       69.77779139,      0.1264963698,       1.167700859
         104,      -8.924999819,      -7.491194725,      -7.739911012,      -8.519013966,      -4.374049615,       69.77779139,       69.77779139,      0.1264946178,       1.167703357
         105,      -8.921928421,      -7.488680168,      -7.738851788,      -8.521450514,      -4.363565329,       69.77779139,       69.77779139,      0.1264928795,        1.16770583
         106,      -8.916075719,      -7.486287982,      -7.737960463,      -8.523598145,      -4.353703419,       6.977779139,       6.977779139,      0.1264911417,       1.167708247
         107,      -8.912715315,      -7.484065786,      -7.737439808,      -8.528203813,      -4.560898639,       8.373334966,       8.373334966,      0.1264910216,       1.167708728
         108,      -9.056252637,      -7.486499783,      -7.757169628,      -8.528291955,       -4.67517434,       10.04800196,       10.04800196,      0.1264908004,       1.167709228
         109,      -9.116029976,      -7.486708066,      -7.776763952,      -8.528380829,      -4.733110543,       12.05760235,       12.05760235,      0.1264904262,       1.167709676
         110,       -9.15407711,      -7.486936501,      -7.787460112,      -8.528475743,      -4.742052894,       14.46912282,       14.46912282,      0.1264899088,       1.167710036
         111,      -9.162622332,      -7.488167939,      -7.788061179,      -8.528585235,      -4.730691378,       17.36294739,       17.36294739,      0.1264893423,       1.167710338
         112,      -9.156235846,      -7.490045686,      -7.783825185,      -8.528715192,      -4.706922318,       20.83553686,       20.83553686,      0.1264888376,       1.167710686
         113,      -9.151690864,      -7.491807203,      -7.780249015,      -8.528865286,      -4.675746376,       25.00264424,       25.00264424,      0.1264884128,       1.167711203
         114,       -9.14483267,      -7.493083146,      -7.778656711,      -8.529031272,      -4.640069434,       30.00317308,       30.00317308,      0.1264879751,       1.167711964
         115,      -9.130915272,       -7.49389611,       -7.77751798,      -8.529208781,      -4.600059183,        36.0038077,        36.0038077,      0.1264874046,       1.167712974
         116,      -9.109392132,      -7.494303982,      -7.775579969,      -8.529393597,      -4.555131053,       43.20456924,       43.20456924,       0.126486623,       1.167714179
         117,      -9.082208813,      -7.494254252,      -7.772627318,       -8.52957906,      -4.505043434,       51.84548309,       51.84548309,      0.1264855901,       1.167715512
         118,      -9.048274334,      -7.493632039,      -7.768645581,      -8.529753187,      -4.449900404,       62.21457971,       62.21457971,      0.1264842747,       1.167716956
         119,      -9.006195771,       -7.49231854,        -7.7634229,      -8.529895551,      -4.389782385,       74.65749565,       74.65749565,      0.1264826411,       1.167718561
         120,      -8.957185217,      -7.490192703,      -7.756643641,      -8.529972536,      -4.324543579,       7.465749565,       7.465749565,      0.1264806463,       1.167720458
         121,      -8.902207725,      -7.487112886,      -7.747916201,      -8.535616357,      -4.489881107,       8.958899478,       8.958899478,      0.1264805013,       1.167720922
         122,      -9.060977914,      -7.489528254,      -7.770506294,       -8.53555371,      -4.601431413,       10.75067937,       10.75067937,      0.1264802424,       1.167721397
         123,       -9.13328691,      -7.489610551,      -7.790620741,      -8.535453657,      -4.654252418,       12.90081525,       12.90081525,      0.1264798257,       1.167721793
         124,      -9.177652088,      -7.489777615,      -7.800555048,      -8.535323048,      -4.661314585,        15.4809783,        15.4809783,      0.1264792783,       1.167722079
         125,      -9.188064417,      -7.490946373,      -7.800477664,      -8.535172065,      -4.649813264,       18.57717396,       18.57717396,      0.1264786958,       1.167722308
         126,      -9.183085039,      -7.492695547,      -7.796339826,       -8.53500305,      -4.627512409,       22.29260875,       22.29260875,      0.1264781585,       1.167722592
         127,      -9.178270412,       -7.49431757,      -7.793217379,      -8.534807967,      -4.599014784,        26.7511305,        26.7511305,       0.126477648,       1.167723041
         128,      -9.169180665,       -7.49552472,      -7.791842008,       -8.53457513,      -4.566273759,        32.1013566,        32.1013566,      0.1264770639,        1.16772371
         129,      -9.152200175,      -7.496356695,      -7.790710087,      -8.534294492,      -4.528932553,       38.52162792,       38.52162792,      0.1264763046,        1.16772459
         130,      -9.126921467,      -7.496876714,       -7.78872979,      -8.533956313,      -4.486204164,        46.2259535,        46.2259535,      0.1264753074,       1.167725629
         131,      -9.094555489,      -7.497045989,      -7.785756701,      -8.533547201,      -4.437625401,        55.4711442,        55.4711442,      0.1264740383,       1.167726784
         132,      -9.055270938,       -7.49673961,      -7.781814721,      -8.533047103,      -4.382881265,       66.56537304,       66.56537304,      0.1264724741,       1.167728078
         133,       -9.00863152,      -7.495906403,      -7.776640134,       -8.53242661,      -4.321730092,       66.56537304,       66.56537304,      0.1264705966,       1.167729615
         134,      -8.957603688,      -7.494446907,       -7.76998062,      -8.532879362,      -4.284720254,       66.56537304,       66.56537304,      0.1264687098,       1.167731245
         135,       -8.95398928,      -7.493721372,       -7.77041419,      -8.533244503,       -4.27570439,       66.56537304,       66.56537304,      0.1264668484,       1.167732951
         136,      -8.960916915,      -7.493447028,      -7.772329115,      -8.533540618,      -4.270138401,       66.56537304,       66.56537304,      0.1264650165,       1.167734731
         137,      -8.965040719,      -7.493594428,      -7.774333119,      -8.533779194,      -4.265385705,       66.56537304,       66.56537304,         0.1264632,       1.167736574
         138,      -8.970063463,      -7.494108235,      -7.776688104,      -8.533967689,      -4.261651923,       66.56537304,       66.56537304,      0.1264613872,       1.167738461
         139,      -8.977210745,      -7.494927501,      -7.779480426,      -8.534112669,      -4.259235864,       66.56537304,       66.56537304,      0.1264595734,       1.167740365
         140,      -8.985872855,      -7.496030996,      -7.782648645,       -8.53422045,      -4.257740423,       66.56537304,       66.56537304,      0.1264577585,       1.167742266
         141,      -8.993568249,      -7.497360194,      -7.786044828,      -8.534297236,      -4.256310777,       66.56537304,       66.56537304,      0.1264559451,       1.167744147
         142,      -8.998418218,      -7.498932976,       -7.78969569,      -8.534349189,      -4.255023579,       66.56537304,       66.56537304,      0.1264541351,       1.167746004
         143,      -9.003794331,      -7.500694257,      -7.793446848,      -8.534382731,      -4.254102302,       66.56537304,       66.56537304,      0.1264523282,       1.167747838
         144,      -9.008196724,       -7.50263768,      -7.797299864,      -8.534404572,       -4.25366128,       66.56537304,       66.56537304,      0.1264505235,       1.167749652
         145,      -9.011537876,      -7.504733927,      -7.801295343,      -8.534421644,      -4.253681903,       66.56537304,       66.56537304,       0.126448719,       1.167751446
         146,      -9.013987855,      -7.506976786,      -7.805363001,      -8.534441128,      -4.254031357,       66.56537304,       66.56537304,      0.1264469128,       1.167753219
         147,      -9.015621969,       -7.50933446,      -7.809519481,      -8.534470338,      -4.254563613,       66.56537304,       66.56537304,      0.1264451037,       1.167754967
         148,      -9.016956083,       -7.51178933,      -7.813756107,      -8.534516573,      -4.255202857,       66.56537304,       66.56537304,      0.1264432912,       1.167756685
         149,      -9.018195339,      -7.514317182,       -7.81808658,      -8.534586967,      -4.255943341,       66.56537304,       66.56537304,       0.126441476,        1.16775837
