"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
           0,      -4.004817061,      -16.49028371,      -16.96470809,      -8.803199457,               2.4,               2.4,      0.8322537542,       1.383625241,       1.992245512
           1,      -4.160532554,      -4.120128307,      -3.873894147,      -8.932267136,              2.88,              2.88,      0.9627704709,       1.689190538,       2.406736431
           2,      -4.329253089,      -4.314563585,      -4.057801381,      -9.160328299,             3.456,             3.456,       1.055782318,       1.916544253,       2.720673554
           3,      -4.428233001,       -4.41340053,      -4.152379384,      -9.359888776,            4.1472,            4.1472,       1.117004416,       2.072896338,       2.937523026
           4,        -4.4919374,      -4.477511659,       -4.21025689,       -9.54260533,           4.97664,           4.97664,        1.15340421,       2.171994239,       3.074192156
           5,      -4.540818414,      -4.528435053,      -4.255564326,      -9.648659187,          5.971968,          5.971968,       1.172106338,       2.230911358,        3.15405586
