"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      ,   "Cauchy[CD]"   
           0,      -4.459457458,        -16.801004,      -17.27942087,      -9.453286534,               2.4,               2.4,      0.7481268335,       1.369981525,       1.941348353,                 1
           1,      -4.614923489,      -4.588037516,      -4.331905885,      -9.522970473,              2.88,              2.88,      0.8918352175,        1.68811491,       2.375953601,   0.0006445512859
           2,      -4.782529389,      -4.775558558,      -4.509778766,      -9.709713602,             3.456,             3.456,      0.9945943188,       1.924465497,       2.704454448,    0.001057821699
           3,      -4.881538386,      -4.871848059,       -4.60211483,      -9.895199318,            4.1472,            4.1472,       1.063870126,        2.08843073,       2.933703076,    0.001318288857
           4,      -4.945568652,      -4.935651376,      -4.659112966,      -10.06347049,           4.97664,           4.97664,       1.107988771,       2.195316045,       3.082907499,    0.001477563558
           5,      -4.995062581,      -4.986884744,      -4.703451028,      -10.15414339,          5.971968,          5.971968,        1.13482876,       2.262954175,       3.176544999,    0.001572168103
           6,      -5.037989693,       -5.03105508,      -4.741836804,       -10.2153546,         7.1663616,         7.1663616,        1.15118695,       2.307538437,       3.237329388,    0.001629007489
           7,      -5.077708838,      -5.071014491,      -4.776789245,      -10.27279598,        8.59963392,        8.59963392,       1.162183754,       2.341113829,       3.282278437,     0.00166685625
           8,      -5.115765158,      -5.108637301,       -4.80959392,      -10.34044312,        10.3195607,        10.3195607,       1.171354003,       2.371734088,        3.32279248,    0.001698171287
           9,      -5.153116676,      -5.145145105,      -4.840807698,      -10.39040298,       12.38347284,       12.38347284,       1.180601739,       2.403654322,       3.364886604,    0.001729503569
          10,      -5.190082363,      -5.181045101,      -4.870832791,      -10.43730767,       14.86016741,       14.86016741,       1.190632686,       2.438456317,       3.410792783,    0.001763203121
          11,      -5.226605009,      -5.216403347,      -4.900038847,      -10.48060794,        17.8322009,        17.8322009,       1.201333343,       2.475965332,       3.460264315,    0.001798832387
          12,      -5.262474229,      -5.251037697,      -4.928607362,         -10.52677,       21.39864108,       21.39864108,       1.212121684,       2.515050456,       3.511696951,      0.0018344339
          13,      -5.297368777,      -5.284582033,      -4.956471746,      -10.56770039,       25.67836929,       25.67836929,       1.222212775,       2.554242599,       3.562980668,    0.001867459543
          14,      -5.330795311,      -5.316415757,      -4.983292514,      -10.60499568,       30.81404315,       30.81404315,        1.23091711,       2.592441792,       3.612466885,    0.001895745233
          15,      -5.362205591,      -5.345604061,      -5.008225345,      -10.64016132,       36.97685178,       36.97685178,       1.237605883,       2.628960616,        3.65899795,    0.001917363661
          16,      -5.390490033,       -5.37053183,      -5.030083844,      -10.67025661,       44.37222213,       44.37222213,       1.241553771,        2.66329428,       3.701551116,    0.001930082845
          17,      -5.413981548,      -5.388704796,       -5.04738505,      -10.69413326,       4.437222213,       4.437222213,       1.241636263,       2.694582231,       3.738436508,    0.001930348599
          18,      -5.430860514,      -5.396833139,      -5.058434367,      -10.70174441,       5.324666656,       5.324666656,       1.241602183,       2.697637887,       3.742015011,    0.001930458392
          19,      -5.428430197,      -5.394504204,      -5.056060616,      -10.70012479,       6.389599987,       6.389599987,       1.241497414,       2.701169967,        3.74611489,    0.001930795948
          20,      -5.425624859,      -5.391537314,      -5.053268448,       -10.6982478,       7.667519985,       7.667519985,       1.241282321,       2.705222703,       3.750766194,    0.001931489081
          21,      -5.422444327,      -5.387672778,       -5.04998128,      -10.69615085,       9.201023982,       9.201023982,       1.240899926,       2.709833647,       3.755981092,     0.00193272172
          22,        -5.4189057,      -5.382606738,      -5.046108287,      -10.69386791,       11.04122878,       11.04122878,       1.240268787,       2.715026989,       3.761741937,    0.001934757209
          23,       -5.41503393,      -5.376053937,      -5.041550317,      -10.69140939,       13.24947453,       13.24947453,        1.23927191,       2.720804419,       3.767984792,    0.001937974831
          24,      -5.410835645,      -5.367815834,      -5.036225264,      -10.68869487,       15.89936944,       15.89936944,       1.237739107,       2.727138785,       3.774584203,    0.001942928391
          25,      -5.406273372,      -5.357789884,      -5.030110076,      -10.68569904,       19.07924333,       19.07924333,       1.235419941,          2.733973,       3.781340132,    0.001950437305
          26,      -5.401267639,      -5.345879927,      -5.023278967,      -10.68237323,       22.89509199,       22.89509199,       1.231965308,       2.741221716,       3.787962245,    0.001961653963
          27,      -5.395744948,      -5.331860955,      -5.015910116,      -10.67868266,       27.47411039,       27.47411039,       1.226970899,       2.748773101,       3.794047733,    0.001977936038
          28,      -5.389717957,        -5.3153148,      -5.008255167,      -10.67464914,       32.96893247,       32.96893247,       1.220079885,       2.756477118,       3.799029724,    0.002000528049
          29,      -5.383347979,      -5.295708951,      -5.000605919,      -10.67083751,       39.56271897,       39.56271897,       1.210943359,       2.764052004,       3.802000824,     0.00203070791
          30,      -5.377000989,      -5.272554108,      -4.993251705,      -10.66753417,       3.956271897,       3.956271897,       1.198847618,       2.770732659,       3.801238639,    0.002071065803
          31,      -5.371105153,      -5.245681849,      -4.986541029,      -10.66939092,       4.747526276,       4.747526276,       1.197617603,       2.771385893,       3.801123985,    0.002075174011
          32,      -5.368664228,      -5.242009909,      -4.984640121,      -10.66708886,       5.697031531,       5.697031531,       1.196124712,       2.772134305,       3.800922176,    0.002080166436
          33,      -5.365833575,      -5.237564704,      -4.982414506,      -10.66444852,       6.836437837,       6.836437837,       1.194309557,       2.772980206,       3.800587068,    0.002086245781
          34,      -5.362589487,       -5.23215555,      -4.979818223,      -10.66145556,       8.203725405,       8.203725405,       1.192096563,       2.773918951,       3.800050407,    0.002093671334
          35,      -5.358925466,       -5.22554567,      -4.976802332,      -10.65812571,       9.844470486,       9.844470486,       1.189387915,       2.774932781,       3.799210102,    0.002102780718
          36,      -5.354855828,      -5.217462913,      -4.973318153,      -10.65449935,       11.81336458,       11.81336458,       1.186054088,       2.775980561,       3.797912333,    0.002114024144
          37,      -5.350412248,        -5.2076353,      -4.969325283,      -10.65061585,        14.1760375,        14.1760375,       1.181919145,       2.776980713,       3.795924091,    0.002128018138
          38,      -5.345630462,      -5.195852081,      -4.964807779,      -10.64647032,         17.011245,         17.011245,       1.176739243,       2.777783444,       3.792891632,    0.002145625783
          39,        -5.3405315,      -5.182027903,      -4.959800027,      -10.64200384,         20.413494,         20.413494,        1.17017425,       2.778128113,       3.788280332,    0.002168066862
          40,      -5.335113753,      -5.166228479,      -4.954415636,      -10.63714323,        24.4961928,        24.4961928,       1.161752288,         2.7775836,       3.781291884,    0.002197064309
          41,      -5.329386097,      -5.148617354,      -4.948853889,      -10.63187448,       29.39543136,       29.39543136,       1.150839439,       2.775473418,         3.7707696,    0.002234994355
          42,      -5.323410911,      -5.129405769,      -4.943388483,      -10.62632468,       35.27451763,       35.27451763,       1.136603574,       2.770790932,       3.755083192,    0.002285094024
          43,      -5.317379842,      -5.108809827,      -4.938299473,      -10.62085448,       42.32942116,       42.32942116,       1.117946793,       2.762072947,       3.731910922,    0.002351847757
          44,      -5.311862571,      -5.086874816,      -4.933664122,      -10.61650829,       4.232942116,       4.232942116,       1.093533244,       2.747183231,       3.697909791,    0.002441149294
          45,      -5.307926556,      -5.063430887,      -4.929224483,      -10.61995727,       5.079530539,       5.079530539,        1.09104129,       2.745656718,       3.694432047,    0.002450285348
          46,      -5.305965492,      -5.060423471,      -4.927787302,       -10.6178371,       6.095436647,       6.095436647,       1.088019661,        2.74375981,       3.690166203,    0.002461394079
          47,      -5.303732125,        -5.0567874,      -4.926062263,      -10.61543407,       7.314523976,       7.314523976,       1.084352994,       2.741390035,       3.684916709,     0.00247491981
          48,      -5.301230183,      -5.052373543,      -4.923990575,      -10.61275702,       8.777428771,       8.777428771,       1.079898507,       2.738412935,       3.678432551,     0.00249141946
          49,      -5.298485252,      -5.046996185,      -4.921502683,      -10.60983101,       10.53291453,       10.53291453,       1.074479952,       2.734649889,       3.670388619,    0.002511591286
          50,       -5.29554825,      -5.040436846,      -4.918519888,      -10.60668515,       12.63949743,       12.63949743,       1.067880544,       2.729861287,       3.660360253,    0.002536310935
          51,      -5.292490908,      -5.032464676,      -4.914960497,      -10.60332269,       15.16739692,       15.16739692,       1.059835236,       2.723722743,       3.647787796,    0.002566675307
          52,      -5.289388606,      -5.022880411,      -4.910753739,      -10.59967155,        18.2008763,        18.2008763,       1.050022956,       2.715790744,       3.631926422,    0.002604054605
          53,      -5.286292674,       -5.01157862,      -4.905864196,      -10.59554647,       21.84105156,       21.84105156,        1.03805743,       2.705450714,       3.611771619,    0.002650161979
          54,      -5.283210209,      -4.998597291,      -4.900324817,      -10.59067379,       26.20926187,       26.20926187,       1.023471912,       2.691836347,       3.585946435,    0.002707166058
          55,       -5.28012349,      -4.984113759,      -4.894271444,       -10.5848611,       31.45111425,       31.45111425,       1.005686038,       2.673703926,       3.552532895,    0.002777907315
          56,      -5.277072966,      -4.968378609,      -4.887969652,      -10.57817116,        37.7413371,        37.7413371,      0.9839349449,       2.649242814,       3.508830466,    0.002866332239
          57,      -5.274290482,      -4.951637042,      -4.881827994,      -10.57101459,       45.28960451,       45.28960451,      0.9571645081,       2.615840406,       3.451081569,    0.002978206161
          58,      -5.272309661,      -4.934137183,       -4.87641592,      -10.56415293,       4.528960451,       4.528960451,      0.9239593868,       2.569913647,       3.374316261,    0.003121957593
          59,      -5.271971856,      -4.916280242,      -4.872502778,      -10.56841142,       5.434752542,       5.434752542,      0.9206131042,       2.565267318,       3.366559346,    0.003136496958
          60,       -5.27029923,      -4.913855497,      -4.871093314,      -10.56597756,        6.52170305,        6.52170305,      0.9165793992,       2.559606361,       3.357142467,    0.003154100256
          61,      -5.268421958,      -4.910931126,      -4.869398687,      -10.56319787,        7.82604366,        7.82604366,      0.9117144394,       2.552690716,       3.345688056,    0.003175444482
          62,      -5.266357797,       -4.90739301,       -4.86736767,      -10.56006094,       9.391252392,       9.391252392,      0.9058421575,       2.544217039,       3.331724024,    0.003201375189
          63,      -5.264147033,      -4.903100014,      -4.864949185,      -10.55656175,       11.26950287,       11.26950287,      0.8987464514,       2.533799161,       3.314657083,    0.003232955647
          64,      -5.261854641,      -4.897885322,      -4.862103176,      -10.55269358,       13.52340344,       13.52340344,      0.8901615446,       2.520943107,       3.293739243,    0.003271532495
          65,      -5.259564273,      -4.891568958,      -4.858820121,      -10.54842277,       16.22808413,       16.22808413,      0.8797605727,       2.505015739,       3.268026615,    0.003318822507
          66,      -5.257360186,      -4.883988684,      -4.855150685,       -10.5436605,       19.47370096,       19.47370096,      0.8671431822,       2.485207065,        3.23633102,    0.003377024616
          67,        -5.2553007,      -4.875051451,      -4.851242356,      -10.53825482,       23.36844115,       23.36844115,      0.8518246471,       2.460488758,       3.197167977,    0.003448957426
          68,      -5.253402405,      -4.864794895,      -4.847372349,      -10.53205219,       28.04212938,       28.04212938,      0.8332315479,       2.429575033,       3.148708143,    0.003538215204
          69,      -5.251669657,      -4.853434931,      -4.843959258,      -10.52504567,       33.65055526,       33.65055526,       0.810712088,       2.390896354,       3.088742762,    0.003649324735
          70,      -5.250193162,      -4.841382622,       -4.84153864,      -10.51754493,       40.38066631,       40.38066631,      0.7835617922,       2.342586913,       3.014655897,    0.003787924121
          71,      -5.249288691,      -4.829242366,      -4.840699933,      -10.51018505,       48.45679957,       48.45679957,      0.7510422377,       2.282462461,       2.923360425,    0.003961121061
          72,      -5.249578594,      -4.817835485,        -4.8420067,      -10.50337643,       4.845679957,       4.845679957,      0.7123353391,       2.207932238,       2.811111679,    0.004178473179
          73,      -5.251916159,      -4.808298159,       -4.84596653,      -10.50892341,       5.814815949,       5.814815949,      0.7084531632,       2.200435194,       2.799832364,    0.004200392347
          74,      -5.250832232,      -4.806355231,      -4.845259601,       -10.5067064,       6.977779139,       6.977779139,      0.7037973672,       2.191402733,       2.786256366,    0.004226853349
          75,      -5.249539358,       -4.80401616,      -4.844405001,       -10.5041769,       8.373334966,       8.373334966,      0.6982166242,        2.18051595,       2.769910964,    0.004258824762
          76,      -5.248140221,      -4.801228159,      -4.843386626,      -10.50131572,       10.04800196,       10.04800196,      0.6915302536,       2.167387111,       2.750222378,    0.004297500558
          77,      -5.246713558,      -4.797916393,      -4.842197708,      -10.49810284,       12.05760235,       12.05760235,       0.683522827,        2.15154411,       2.726493172,    0.004344360304
          78,      -5.245350692,       -4.79400561,      -4.840856766,      -10.49450514,       14.46912282,       14.46912282,      0.6739377564,       2.132411637,       2.697874633,     0.00440125025
          79,      -5.244160785,      -4.789437607,      -4.839431427,      -10.49044948,       17.36294739,       17.36294739,      0.6624688021,       2.109286909,       2.663330585,    0.004470500027
