"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      ,   "Cauchy[CD]"   
          39,      -4.336708824,      -2.905673538,     -0.8180027052,      -6.386124818,         20.413494,         20.413494,      0.2187858923,       1.188992392,       1.302199971,    0.002304766975
          40,      -4.234175559,      -2.897026702,     -0.1596560552,      -6.398637041,        24.4961928,        24.4961928,      0.2107732494,       1.166565237,       1.271108096,    0.002456828831
          41,      -4.378701133,      -2.783665092,      0.3076573585,      -6.408701997,       29.39543136,       29.39543136,      0.2085399437,       1.157646103,        1.26367944,    0.002499665819
          42,      -4.378134729,      -2.604138661,      0.7934911502,      -6.413897362,       35.27451763,       35.27451763,      0.2046378754,       1.145482006,       1.245401572,    0.002575938468
          43,      -4.404963143,      -2.187617154,       1.292828866,      -6.526116126,       42.32942116,       42.32942116,      0.2017253209,       1.137033158,       1.234382018,    0.002633691347
          44,      -4.358550559,       -1.57204145,       1.945919188,      -6.310546129,       42.32942116,       50.79530539,      0.2263975092,       1.209735043,       1.327940976,     0.00306960053
          45,      -3.848810045,     -0.5920645539,       2.937645657,      -5.469741833,       42.32942116,       60.95436647,      0.2851567439,       1.423265975,       1.551934948,     0.00389383823
          46,      -3.153225528,      0.5594985376,       4.069913672,      -4.419661502,       4.232942116,       73.14523976,      0.9495205625,       3.379417254,       4.191288202,    0.006692572011
          47,       -2.48942884,       1.608860773,       5.122968076,      -3.019499941,                 1,       87.77428771,       4.690420677,       60.64021697,       67.38848004,    0.009882819003
          48,      -1.475449949,       3.460905183,       6.279304465,      -1.998393018,                 1,       105.3291453,       -95.7701738,       1778.060209,       1727.350251,      0.0140787222
          49,      -1.054564504,       4.501229115,       7.172252914,      -1.222675796,                 1,       126.3949743,      -22540.79322,      -3685.069997,      -32554.29124,      0.0180617272
          50,     -0.5271270986,       5.561272513,       8.341470861,    -0.08985895276,                 1,       151.6739692,      -1058408.591,      -185814.4487,      -1642642.339,     0.02197653971
          51,      0.4228918952,       7.369337989,       9.098353422,     -0.7892490472,                 1,        182.008763,      -1586260.994,       4555315.667,       2097891.865,     0.02330760037
          52,      0.3698438641,       7.248150999,       8.532522036,     -0.5782158836,               1.2,       218.4105156,      -1175248.402,      -1942243.905,      -4139971.656,     0.02470649644
          53,     0.05218540047,       7.045205791,       8.815579956,     -0.1162518905,              1.44,       262.0926187,       508088.4229,       1712889.554,       2193166.616,      0.0379588104
          54,      0.1376228342,       7.303158194,       9.386126635,      0.6053849841,       1.053291453,       314.5111425,       2150097.551,        12155595.2,       16010055.09,      0.0410135725
          55,      0.6467918128,       7.984430171,       9.333218352,     -0.2886204092,       1.263949743,        377.413371,       11776352.99,       30197170.58,       47178872.09,     0.04428326234
          56,      0.4353728425,       7.877277637,       9.143205344,     -0.6470114924,       1.516739692,       452.8960451,       10134641.11,       22319731.19,       38489262.93,     0.04493122288
          57,       0.436888446,       7.490486972,       8.770024889,      -1.008334023,        1.82008763,       543.4752542,      -740165.9369,      -5992028.616,      -6497168.169,      0.1037007852
          58,      0.1415962245,       7.327315913,       8.486540855,     -0.9143230594,       2.184105156,        652.170305,       2571527.692,       4460676.727,       7248596.575,      0.1088521101
          59,      0.1427748197,        7.35674418,       8.538795939,     -0.6482861289,       2.620926187,        782.604366,      -1084140.173,      -5458059.407,       -7099543.09,      0.1223399153
          60,      0.2594056362,       7.141356336,        8.65114931,      -0.439725159,       3.145111425,       939.1252392,      -1904720.717,      -8860667.178,      -16389451.34,      0.1240631717
          61,      0.3096523141,       7.005926058,       8.465940803,      -0.198547386,       2.184105156,              1000,       3728587.213,       5638286.008,       7170935.614,      0.1301065416
          62,      0.2390932164,       6.913290949,       7.968874466,     -0.4097705734,       1.263949743,              1000,       743623.0086,       970556.8749,      -1412521.198,      0.1461628721
          63,      0.1679765802,       6.822580834,       8.341158606,     -0.1935606971,       1.263949743,              1000,      -2650870.133,      -9100502.898,      -11310802.34,      0.1512849535
          64,      0.1493615735,       6.723233279,       8.580038486,     0.03630813413,                 1,              1000,      -723438.0659,      -69576.49786,      -654972.3356,       0.161942021
          65,      0.2960361799,       7.165051819,        9.37158599,       0.401308046,                 1,              1000,      -880579.8384,      -12707176.08,      -11642481.95,      0.1626558314
          66,      0.4650507514,       7.548866342,       9.809656324,      0.8230151207,                 1,              1000,       -6739169.32,       5441702.748,      -2965607.861,      0.1661331677
          67,      0.8081885059,       8.261231734,       8.742086952,      0.3657909382,                 1,              1000,      -85987570.11,      -217526056.4,      -316662448.1,      0.1698196726
          68,      0.4333916642,       8.066148975,        8.60135836,      0.3518746105,                 1,              1000,       10872310.54,       44711756.34,       63069785.97,      0.2054551083
          69,      0.4168970204,         7.7590514,       8.576140435,      0.4043236813,                 1,              1000,      -42496519.54,      -122086639.4,      -166967437.5,      0.2104784684
          70,      0.2269346314,       7.677642487,       8.553917054,      0.5524733258,                 1,              1000,       6135431.872,        68970282.8,       109597371.9,      0.2421841102
          71,      0.1565719709,       7.631341807,       8.529666086,      0.8158949337,                 1,              1000,      -33834595.83,      -149492027.2,      -198711242.7,      0.2469094544
          72,   -0.007404316706,       7.319310407,       8.523999046,       1.159532356,                 1,              1000,       13515633.49,       16301804.36,       14725759.78,      0.2609229239
          73,    -0.02940116225,       7.450728294,        8.51859352,       1.489380568,                 1,              1000,       1940369.237,      -59649902.98,      -104489880.6,      0.2847849065
          74,    -0.01412387124,       7.245736514,       8.515987261,       1.811611477,                 1,              1000,      -1682969.097,      -2361997.274,      -14355976.06,      0.2933966828
          75,    -0.05020088901,       7.183391443,       8.504869065,       1.043159785,                 1,              1000,      -4047294.216,      -59869254.37,      -62008369.86,      0.2957333799
          76,   -0.008779992517,       7.301309744,       8.507246252,       1.294486616,                 1,              1000,       13418695.23,       14913375.91,       14048987.84,      0.3009398442
          77,     0.09683940177,       7.280536374,       8.513611149,       1.540865122,                 1,              1000,      -180950.4476,      -52657765.17,      -74044338.77,      0.6015668027
          78,       0.138765795,       7.120845407,       8.541070503,       1.753632436,                 1,              1000,      -233236.4208,          24468313,       17895221.66,      0.6024635061
          79,      0.2813375028,       7.229871819,        8.55164901,       1.929353822,                 1,              1000,       9409931.513,       -31370145.2,      -25574042.29,      0.6065626509
          80,      0.3333407685,       7.193783758,       8.557146989,       2.008883806,                 1,              1000,      -5060358.131,        10104977.9,       22571578.67,      0.6180008055
          81,      0.6631036765,       7.367647898,       8.463770827,       1.874738982,                 1,              1000,       5987352.746,       -11269175.7,       11917510.17,      0.6253815037
          82,       0.744655231,       7.267712092,       8.485162707,       1.400163802,                 1,              1000,      -8169312.575,      -963509.1322,      -5507192.202,      0.6323131348
          83,      0.5852082199,       7.128193302,       8.721700198,       1.659075314,                 1,              1000,       2544451.672,       6802886.577,       227149.1078,      0.6491556858
          84,      0.2372925779,       7.023346196,       8.563902405,       1.668272846,                 1,              1000,       -10628956.6,      -35987658.09,      -63639762.66,      0.6541132404
          85,      0.1463837685,       6.760641386,       9.148587411,       2.407708054,                 1,              1000,       35404643.08,       94781667.65,       148239843.1,       0.659314095
          86,      0.3932516004,        7.40669619,        10.1103439,       2.045631864,                 1,              1000,       11353616.12,       260263197.8,       207117347.2,      0.6677875282
          87,      0.3764525261,       7.346947394,       8.601744618,       2.063702239,                 1,              1000,      -13908035.03,        37272059.6,       24225129.45,      0.6750528683
          88,      0.1028826928,       7.171949761,       8.378049375,       2.073806119,                 1,              1000,      -12749224.96,      -66031352.45,       -75712967.4,      0.6754164386
          89,     0.09519501469,       6.974524068,       8.431995393,       2.106655378,                 1,              1000,       8225386.773,        10712114.8,       6985505.586,      0.6856163781
          90,     0.02907147427,       6.731549748,       8.594233933,       2.129246865,                 1,              1000,       -9162108.83,        1258477.42,       5628218.309,      0.6932074233
          91,    -0.07063394946,       6.623904997,       8.779633267,       2.203129416,                 1,              1000,       2050324.105,       8778715.076,       16564914.78,      0.7150818829
          92,    -0.07284976057,       6.660757156,       8.968538894,       2.355085205,                 1,              1000,       5325822.802,       28032403.06,        40175155.7,      0.7175419712
          93,     0.08763257339,       6.791290472,       8.983496845,       2.515930594,                 1,              1000,      -1904745.868,      -8615449.283,      -7550924.051,      0.7327262933
          94,     0.07092657756,       6.738919418,       8.942443893,        2.57041788,                 1,              1000,       4861505.927,       23966880.81,       28344009.85,      0.7382934997
          95,      0.3506298007,       7.459379169,       8.229613951,       2.575048487,                 1,              1000,      -13950462.51,      -41093939.16,      -53306039.53,      0.7436874337
          96,    -0.09565087378,       7.161729764,       8.102688416,       2.566306155,                 1,              1000,       7834492.983,        30858077.5,       39905368.32,      0.7548100197
          97,    -0.02338565582,       7.003804776,         8.0418518,       2.573390473,                 1,              1000,      -11039713.89,      -37410687.08,      -43799335.99,      0.7616486777
          98,    -0.09372407398,       6.759546691,       7.983077044,       2.606642206,                 1,              1000,       3094702.265,       11425456.68,        12077329.9,      0.7799178551
          99,     -0.2192799043,       6.684151113,       7.942892848,       2.663490784,                 1,              1000,       6729437.054,       19733900.98,       30947019.43,      0.7820783537
         100,     -0.2525350524,       6.574688856,       7.910331342,        2.70008985,                 1,                 1,      -331972.7647,       3234082.287,        496069.301,      0.8671625602
         101,     0.03244769072,       6.867727738,       7.904233396,       2.684478186,                 1,               1.2,      -1001344.513,        4352369.34,        5097723.79,      0.8698364521
         102,      0.1146831017,        6.76075751,       8.060220681,       2.686307337,                 1,              1.44,      -743920.9289,      -1389056.218,       1063231.083,       0.871220597
         103,       0.287810165,       6.854547208,       8.770151528,       2.690857142,                 1,             1.728,      -2695283.484,       14635258.57,       9638791.319,      0.8741165633
         104,      0.6320926193,       7.441696696,       9.797336799,       3.388861282,                 1,                 1,       14189009.67,      -42629004.09,       23364403.94,      0.8788763862
         105,       1.106030423,       8.952565143,       11.04564291,       3.608875428,                 1,                 1,       -1438159474,        2299565662,       -2179699205,      0.8829158505
         106,       1.267639616,       9.263828451,       11.19773055,       3.643372939,                 1,               1.2,        8985841666,  -2.127581147e+10,   1.981513641e+10,      0.8875560396
         107,       1.863061245,        9.60818951,        11.2132779,        3.49187374,                 1,              1.44,       -2549047053,    1.10994565e+11,  -1.235362782e+11,       0.905656747
         108,       2.739815879,       10.21928521,       11.15480881,       3.374142214,                 1,                 1,   1.888059883e+11,   1.653317507e+11,   2.356981355e+11,      0.9097107506
         109,       2.603110457,       10.14550214,        11.0220411,       3.171705142,                 1,               1.2,   1.179582306e+11,   6.430316747e+11,   7.190542232e+11,      0.9121132199
         110,       2.642324131,       9.965787749,       10.81727612,       2.788238323,                 1,              1.44,   8.672385973e+10,  -4.728169452e+10,   1.469862753e+11,      0.9135538555
         111,       3.078668072,       9.778653242,       10.30156449,       2.918943185,                 1,             1.728,  -5.098857923e+10,  -3.765878939e+10,  -5.818823924e+10,      0.9243572504
         112,       2.655865476,       10.20755769,       10.51703248,        2.96168957,                 1,            2.0736,        2269801817,  -4.435627784e+11,  -4.516976646e+11,       1.018212812
         113,       2.759523249,       10.79144515,       10.69875444,        2.83960547,                 1,           2.48832,  -1.889004441e+11,  -3.304515018e+11,  -6.392948556e+11,       1.022260875
         114,       2.930645208,       11.18659298,       10.68868117,       2.809289051,                 1,          2.985984,  -2.297769618e+11,  -4.251671383e+11,     -7.554696e+11,       1.022972461
         115,       2.564993502,       10.50772314,       10.37929095,       2.766804482,                 1,         3.5831808,  -2.247851913e+11,  -4.590755037e+11,   -7.65306881e+11,       1.023061289
         116,       2.557157201,       9.895838295,       10.14254828,        2.72682526,                 1,        4.29981696,  -1.881168321e+11,  -4.445009712e+11,  -7.192755471e+11,       1.023840982
         117,       2.530926345,       9.481462512,       9.735503069,       2.710091335,                 1,       5.159780352,  -1.451298849e+11,  -4.168060883e+11,  -6.668941153e+11,       1.025025768
         118,       2.448744323,        9.37061718,       9.372098108,       2.705860159,                 1,       6.191736422,  -1.077606166e+11,  -3.904779821e+11,  -6.135299353e+11,       1.026412889
         119,       2.442019111,       9.270439877,       9.307692908,       2.702945741,                 1,       7.430083707,  -7.555178723e+10,   -3.46110971e+11,  -5.220691769e+11,       1.028118148
         120,       2.469915356,         9.1061946,       9.197905333,       2.700033525,                 1,       8.916100448,  -4.042987323e+10,  -2.413335573e+11,  -3.372313478e+11,       1.031592995
         121,        2.47219218,       8.941747103,       9.042406475,       2.697112297,                 1,       10.69932054,       -5452281689,   -9.69305563e+10,  -1.072405544e+11,       1.057253879
         122,        2.44553563,       8.832286063,       8.831035336,       2.695551043,                 1,       12.83918465,       845493175.7,  -7.006699559e+10,  -6.492879756e+10,       1.087048442
         123,       2.358833427,       8.769757941,       8.610575669,       2.693137046,                 1,       15.40702157,        8729929439,   -3.66637742e+10,  -1.340768812e+10,       1.090661042
         124,        2.28299526,       8.821721578,       8.602369417,       2.689324151,                 1,       18.48842589,   1.797284035e+10,        4158021874,   4.847348087e+10,       1.092718126
         125,       2.178895313,       8.834836586,       8.701360622,         2.6834197,                 1,       22.18611107,   2.836542102e+10,   5.363559583e+10,   1.221673977e+11,       1.094183654
         126,       2.059618334,       8.788884454,       8.733761916,       2.674537653,                 1,       26.62333328,   4.039110894e+10,   1.142728825e+11,   2.101424937e+11,       1.095374578
         127,       1.981691868,       8.731330527,        8.69291024,       2.661845107,                 1,       31.94799994,   5.408240232e+10,    1.85986263e+11,   3.106103709e+11,       1.096387203
         128,       1.975960805,       8.669505911,       8.568664757,       2.645270291,                 1,       38.33759992,    6.91285363e+10,   2.659506388e+11,   4.173225319e+11,       1.097257821
         129,       1.965537126,       8.585835965,       8.389330935,       2.627283244,                 1,       46.00511991,   8.338567355e+10,   3.406722734e+11,   5.100057278e+11,       1.097941734
         130,       1.893191779,       8.489083018,       8.334507626,       2.613895928,                 1,       55.20614389,   9.047340357e+10,   3.816503386e+11,   5.521909562e+11,       1.098255096
         131,       1.753996724,          8.383895,       8.451677395,       2.615452407,                 1,       66.24737267,   8.099440639e+10,    3.49035879e+11,    4.94937257e+11,       1.098723227
         132,       1.553989888,       8.333492607,       8.599454637,       2.637503595,                 1,        79.4968472,   5.222773507e+10,   2.269315425e+11,   3.187281706e+11,       1.100926399
         133,       1.565928244,       8.232806373,       8.663359087,       2.677971401,                 1,       95.39621664,        4069711503,   3.308699788e+10,   4.541584614e+10,       1.148259507
         134,       1.531591219,       8.046428655,       8.591319969,       2.741200762,                 1,         114.47546,  -5.704012305e+10,  -1.777524022e+11,  -2.546797264e+11,         1.1525449
         135,       1.278590909,       7.947246985,       8.486034557,       2.818090961,                 1,        137.370552,  -7.866089492e+10,   -2.43331325e+11,  -3.574640122e+11,       1.153644342
         136,       1.223241417,       7.873996467,       8.489111973,       2.877664758,                 1,       164.8446624,  -3.426932321e+10,   -1.02459845e+11,  -1.570006058e+11,       1.158825836
         137,       1.138692505,       7.797943473,       8.522240494,       2.979885181,                 1,       197.8135948,        6019983572,   2.342751778e+10,   3.758159083e+10,       1.185596212
         138,       1.026854954,        7.71851453,       8.511625684,       3.092291015,                 1,       19.78135948,   1.081085724e+10,   3.633318331e+10,   6.210308974e+10,       1.187368828
         139,      0.9186879252,       7.629229444,       8.468419481,       3.085437533,                 1,       23.73763138,        7449575027,   2.407035127e+10,   4.217256644e+10,       1.189173646
         140,      0.8708913503,       7.599250753,       8.293687327,       3.076093809,                 1,       28.48515766,        6874281693,   2.189897867e+10,   3.846948807e+10,       1.189508397
         141,      0.5996884147,       7.444538656,        8.11888334,       3.071877413,                 1,       34.18218919,        6025000962,   1.883013065e+10,   3.318970083e+10,       1.190072235
         142,      0.5170764782,       7.399978228,       8.081403632,       3.070288517,                 1,       41.01862702,        4945458714,   1.474973755e+10,   2.601665723e+10,       1.190945393
         143,      0.5446938197,       7.382908379,       8.051911617,       3.070761681,                 1,       49.22235243,        3826004302,   1.031252612e+10,   1.778263007e+10,       1.192115757
         144,      0.5625807705,       7.376301043,       8.021830442,       3.073710966,                 1,       59.06682292,        2994429560,        6673366010,   1.016645856e+10,       1.193226586
         145,      0.5816543381,       7.375179365,       7.991280598,       3.079973609,                 1,        70.8801875,        2897758590,        5402190615,        5786736441,       1.193360029
         146,       0.620312459,       7.373439997,       7.966181707,       3.090119965,                 1,         85.056225,        3874011450,        7996958777,        7472907678,       1.194368031
         147,      0.6265423514,       7.375542276,       7.959287793,       3.103566635,                 1,         102.06747,        5234315050,   1.315536782e+10,   1.448449238e+10,       1.195407558
         148,      0.6555242758,       7.374104313,       7.981164522,       3.117385342,                 1,        122.480964,        5310577437,   1.623425536e+10,   2.069311429e+10,          1.195465
         149,      0.7066578069,       7.376516229,       8.007169081,       3.127999986,                 1,       146.9771568,        2388425774,   1.138664053e+10,   1.675464227e+10,       1.200358854
         150,      0.7568760999,       7.382919362,        8.00242924,       3.132985164,                 1,       146.9771568,       -2807745980,       -1342430033,       431877373.9,       1.207761478
         151,      0.7925343688,       7.384643607,       7.961683954,       3.131559783,                 1,       176.3725882,       -6417035827,  -1.244825366e+10,  -1.583836838e+10,       1.210011295
         152,      0.8127255504,       7.384014534,       7.891667947,       3.123207344,                 1,       17.63725882,       -6371355189,  -1.512257569e+10,  -2.102429679e+10,       1.210039974
         153,      0.8361398314,        7.37832562,        7.91392718,       3.110160772,                 1,       21.16471058,       -6291117681,  -1.516874166e+10,  -2.120318825e+10,        1.21009099
         154,      0.4671718559,       7.228348531,       7.599118388,       3.106883942,                 1,       25.39765269,       -6143028961,  -1.508210681e+10,  -2.122133751e+10,       1.210187417
         155,      0.2579978646,       7.180193687,       7.597458355,       3.103873413,                 1,       30.47718323,       -5909137610,  -1.482791434e+10,  -2.100675659e+10,       1.210345743
         156,      0.3397414925,       7.164330006,       7.608580072,       3.101221399,                 1,       36.57261988,       -5536580680,   -1.42748569e+10,  -2.035825865e+10,       1.210614903
         157,      0.3849156595,        7.16203326,       7.634903071,       3.099095745,                 1,       43.88714386,       -4987597800,   -1.32762609e+10,  -1.904513367e+10,       1.211055181
         158,      0.4448213939,        7.16739476,       7.670649475,       3.097721557,                 1,       52.66457263,       -4251639030,  -1.172819988e+10,  -1.686857583e+10,       1.211747581
         159,      0.4887805864,       7.173755239,       7.714151486,       3.097331675,                 1,       63.19748715,       -3331789388,       -9547966909,  -1.364812174e+10,       1.212851912
         160,      0.5257312447,       7.184007357,        7.76074898,       3.098095965,                 1,       75.83698458,       -2263503867,       -6702933247,       -9300536698,       1.214739756
         161,      0.5801878842,       7.192090082,       7.804346063,       3.100152394,                 1,        91.0043815,       -1122204627,       -3280841532,       -3986430603,       1.218807817
         162,      0.6160833792,       7.199201473,       7.839441878,       3.103685892,                 1,       109.2052578,       48407.80689,       537641295.8,        1891399624,       93.95203468
         163,      0.6592129988,       7.204300341,       7.858481308,       3.109543452,                 1,       131.0463094,        1090708753,        4607416022,        7823110943,        93.9560345
