"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      ,   "Cauchy[CD]"   
           0,      -4.356867526,      -16.60954607,      -17.21898851,      -1.069753442,       3.668550713,               2.4,               2.4,      0.6031677196,      0.2885266126,      0.5353526997,                 1
           1,      -4.509572615,      -3.881440713,      -4.089666716,      -1.631924332,        3.13664588,              2.88,              2.88,      0.6612999692,      0.5753273433,      0.9064868432,   0.0003516240875
           2,      -4.608932641,      -4.527020031,       -4.41007946,      -2.167049149,       2.587051731,             3.456,             3.456,      0.8135817002,       1.026814208,       1.510336251,    0.001100322004
           3,      -4.729458663,      -4.656421385,      -4.517130769,      -2.654454512,       2.110228412,            4.1472,            4.1472,      0.9153960074,       1.351409687,       1.945457906,    0.001545219322
           4,      -4.802425361,      -4.731404899,      -4.552614788,      -3.059822732,       1.717464069,           4.97664,           4.97664,      0.9753579098,       1.568031191,       2.234265982,    0.001791126601
           5,      -4.840549402,      -4.778510261,      -4.566680403,      -3.356370083,        1.43339408,          5.971968,          5.971968,       1.003039107,       1.700972035,       2.408872967,    0.001901515904
           6,      -4.861620725,       -4.81221372,      -4.577426504,      -3.561863995,       1.230057306,         7.1663616,         7.1663616,       1.007766842,       1.774985122,       2.503012526,      0.0019202811
           7,      -4.883481824,      -4.844092731,       -4.59558622,      -3.715536837,       1.070012987,        8.59963392,        8.59963392,      0.9979296631,       1.811194188,       2.545782899,    0.001959711451
           8,      -4.915199267,        -4.8818904,      -4.626355285,      -3.843056323,      0.9358917336,        10.3195607,        10.3195607,      0.9802728673,       1.825389848,       2.558936776,    0.002031759944
           9,      -4.960681067,      -4.930064059,      -4.671762706,      -3.956383945,      0.8186893179,       12.38347284,       12.38347284,      0.9598106569,       1.828605657,       2.557539791,    0.002117035973
          10,      -5.018597483,      -4.988408076,       -4.72942466,      -4.061047421,      0.7119979379,       14.86016741,       14.86016741,      0.9400181402,         1.8284487,       2.551891427,    0.002201257824
          11,      -5.084114168,      -5.052810344,      -4.793647047,      -4.159866915,      0.6123902576,        17.8322009,        17.8322009,      0.9229968072,       1.830079782,       2.548963609,    0.002275023335
          12,      -5.146527359,      -5.114382756,      -4.853664043,      -4.254410114,      0.5175011063,       21.39864108,       21.39864108,      0.9096182091,       1.836516047,       2.552849064,    0.002333855043
          13,       -5.19621753,      -5.164864165,      -4.899979452,      -4.345555227,      0.4262612564,       25.67836929,       25.67836929,      0.8997164034,       1.848550491,       2.564621481,     0.00237787694
          14,      -5.232849182,      -5.203430513,      -4.932375451,      -4.433818091,      0.3381322546,       30.81404315,       30.81404315,       0.892289203,       1.865126467,       2.582758353,    0.002411171977
          15,      -5.260724747,      -5.232861003,      -4.955134088,      -4.519426628,      0.2528058005,       36.97685178,       36.97685178,      0.8857924897,       1.884327253,       2.604404393,    0.002440509382
          16,      -5.280468424,      -5.252457026,      -4.968632391,       -4.60246289,      0.1701578443,       36.97685178,       36.97685178,      0.8784941523,       1.904447123,       2.626755196,    0.002473740507
          17,      -5.289010044,      -5.257619059,      -4.969747412,      -4.682864634,     0.09005780169,       36.97685178,       36.97685178,      0.8703650086,       1.921628242,       2.644879588,    0.002511100206
          18,      -5.282022985,      -5.243814339,      -4.956138966,      -4.749668353,     0.02345847934,       36.97685178,       36.97685178,       0.860730433,       1.936200184,       2.658816403,    0.002555874157
          19,      -5.266384197,      -5.216857998,      -4.935201785,      -4.806181335,    -0.03298666226,       36.97685178,       36.97685178,       0.849233352,       1.948409612,       2.668606031,     0.00261002691
          20,      -5.247222029,      -5.182487908,      -4.912479662,      -4.854658362,    -0.08160971854,       36.97685178,       36.97685178,      0.8356862205,       1.958421127,       2.674254238,    0.002674870059
          21,      -5.228171809,      -5.144630989,      -4.890646986,      -4.896501874,     -0.1238971832,       44.37222213,       44.37222213,      0.8199993906,       1.966418357,       2.675824733,    0.002751391238
          22,       -5.21201085,      -5.104819738,      -4.869832464,      -4.932500841,     -0.1603693366,       4.437222213,       4.437222213,      0.7984529264,       1.973307491,       2.672108038,      0.0028593323
          23,       -5.19943467,      -5.059954778,      -4.849220333,      -4.969311182,     -0.1992020961,       5.324666656,       5.324666656,      0.7962183486,        1.97400005,       2.671684487,    0.002870558254
          24,      -5.196246901,      -5.054661781,      -4.845789797,       -4.97275888,     -0.2027881933,       6.389599987,       6.389599987,       0.793492115,       1.974795001,       2.671095078,     0.00288430122
          25,      -5.192644899,      -5.048154436,      -4.841727922,       -4.97681766,     -0.2070182528,       7.667519985,       7.667519985,       0.790163331,       1.975695138,       2.670272212,    0.002901152338
          26,      -5.188643529,      -5.040113877,      -4.836931997,      -4.981579236,     -0.2119916674,       9.201023982,       9.201023982,      0.7860911815,       1.976698753,        2.66912137,    0.002921873341
          27,      -5.184283397,      -5.030168509,      -4.831291882,      -4.987142455,     -0.2178170471,       11.04122878,       11.04122878,       0.781098195,       1.977796546,       2.667511064,    0.002947442401
          28,      -5.179624059,      -5.017938225,      -4.824697893,      -4.993611072,     -0.2246119961,       13.24947453,       13.24947453,       0.774963273,       1.978967507,        2.66526033,    0.002979108015
          29,      -5.174723942,      -5.003119641,      -4.817057092,      -5.001090936,     -0.2325011264,       15.89936944,       15.89936944,      0.7674148939,       1.980174479,       2.662124065,    0.003018452464
          30,       -5.16961429,      -4.985582698,      -4.808316218,      -5.009685359,     -0.2416129376,       19.07924333,       19.07924333,      0.7581264568,       1.981359426,       2.657777117,    0.003067459788
          31,      -5.164285277,      -4.965421832,      -4.798488094,      -5.019488676,     -0.2520712069,       22.89509199,       22.89509199,      0.7467164808,       1.982435113,        2.65179758,    0.003128580582
          32,      -5.158705266,      -4.942925697,       -4.78767654,      -5.030578472,     -0.2640021669,       27.47411039,       27.47411039,      0.7327451324,        1.98326279,       2.643639547,    0.003204849111
          33,      -5.152895479,      -4.918464773,      -4.776076435,      -5.043006541,     -0.2775215939,       32.96893247,       32.96893247,      0.7157082864,       1.983586211,       2.632565968,    0.003300065814
          34,      -5.147044443,      -4.892401951,      -4.763953541,       -5.05678994,     -0.2927042215,       39.56271897,       39.56271897,      0.6950598742,       1.982855617,       2.617457259,     0.00341889536
          35,      -5.141618399,      -4.865110194,      -4.751640819,      -5.071904205,     -0.3095272691,       47.47526276,       47.47526276,      0.6703033754,       1.979803113,       2.596315272,    0.003566628459
          36,      -5.137415527,      -4.837105557,      -4.739624501,      -5.088284368,     -0.3278240096,       4.747526276,       4.747526276,      0.6410407666,       1.971567827,       2.565227766,     0.00374922283
          37,      -5.135512094,      -4.809281584,      -4.728760364,       -5.10583675,     -0.3495284968,       5.697031531,       5.697031531,      0.6380818627,       1.970741209,       2.562079431,    0.003767771571
          38,      -5.133194122,      -4.805838626,      -4.726187935,       -5.10747261,      -0.351486633,       6.836437837,       6.836437837,       0.634536942,       1.969680439,       2.558214814,    0.003790118076
          39,      -5.130633714,      -4.801621192,      -4.723095698,      -5.109410877,     -0.3538097791,       8.203725405,       8.203725405,      0.6302960596,       1.968299741,       2.553446144,    0.003817031666
          40,      -5.127866429,      -4.796433273,      -4.719401958,      -5.111702132,      -0.356560344,       9.844470486,       9.844470486,      0.6252288887,       1.966477487,       2.547525332,    0.003849449688
          41,      -5.124950895,      -4.790041111,      -4.715033804,      -5.114403316,      -0.359808311,       11.81336458,       11.81336458,      0.6191826272,       1.964035446,        2.54011699,     0.00388850932
          42,      -5.121959944,      -4.782192997,      -4.709945961,      -5.117577814,     -0.3636307697,        14.1760375,        14.1760375,      0.6119794409,       1.960707129,       2.530758374,    0.003935590551
          43,      -5.118957802,      -4.772665683,      -4.704148244,      -5.121295317,     -0.3681119012,         17.011245,         17.011245,      0.6034116411,       1.956087541,       2.518797184,    0.003992386272
          44,      -5.115966596,      -4.761336213,      -4.697739753,      -5.125631427,     -0.3733428477,         20.413494,         20.413494,      0.5932312441,        1.94955315,       2.503294547,    0.004061029972
          45,      -5.112942302,      -4.748258505,      -4.690944025,      -5.130667091,     -0.3794208353,        24.4961928,        24.4961928,       0.581129452,       1.940139464,       2.482879732,    0.004144328398
          46,      -5.109798204,       -4.73370782,      -4.684136004,      -5.136488195,     -0.3864483918,       29.39543136,       29.39543136,      0.5667027795,        1.92636851,       2.455549556,    0.004246157244
          47,      -5.106509264,      -4.718172593,      -4.677850439,      -5.143185934,      -0.394535643,       35.27451763,       35.27451763,      0.5494098117,       1.906038133,       2.418427703,    0.004372059385
          48,      -5.103279665,      -4.702330474,      -4.672765984,      -5.150860741,     -0.4038102073,       42.32942116,       42.32942116,      0.5285380772,       1.876029272,       2.367546486,    0.004530017612
          49,      -5.100683047,      -4.687097822,      -4.669678106,       -5.15962612,     -0.4144356957,       50.79530539,       50.79530539,      0.5032228675,       1.832258872,       2.297782867,    0.004731242249
          50,      -5.099695866,      -4.673823995,      -4.669532371,      -5.169623994,     -0.4266041807,       5.079530539,       5.079530539,      0.4725898979,       1.769998543,       2.203162541,    0.004990519646
          51,      -5.101735329,      -4.664604575,      -4.673752472,      -5.181059133,     -0.4440499481,       6.095436647,       6.095436647,      0.4695186663,       1.763680794,       2.193599227,    0.005016684583
          52,       -5.10120856,      -4.662495719,      -4.672698691,      -5.182133201,     -0.4454423134,       7.314523976,       7.314523976,      0.4658290202,       1.755962241,       2.181970173,    0.005048366989
          53,      -5.100014323,      -4.659800546,      -4.671441816,      -5.183417169,     -0.4471015612,       8.777428771,       8.777428771,      0.4613964282,       1.746506633,       2.167799504,    0.005086794612
          54,      -5.098627512,      -4.656535086,      -4.670008894,      -5.184951245,      -0.449076885,       10.53291453,       10.53291453,      0.4560714445,       1.734890341,       2.150493406,    0.005133497678
          55,      -5.097286771,      -4.652622195,      -4.668469056,      -5.186783166,     -0.4514244272,       12.63949743,       12.63949743,      0.4496753355,       1.720578331,       2.129308883,    0.005190393029
          56,      -5.096180747,      -4.648007234,      -4.666970382,      -5.188969681,     -0.4542084928,       15.16739692,       15.16739692,      0.4419960413,       1.702897317,       2.103318259,    0.005259889526
          57,      -5.095494039,      -4.642696871,      -4.665779616,      -5.191578447,     -0.4575015687,        18.2008763,        18.2008763,      0.4327854436,       1.681007568,       2.071370338,    0.005345018062
          58,       -5.09542121,      -4.636817664,      -4.665327697,       -5.19469055,     -0.4613816974,       21.84105156,       21.84105156,      0.4217589723,       1.653875739,       2.032048888,    0.005449594107
          59,      -5.096199469,      -4.630680176,      -4.666252804,      -5.198403947,     -0.4659273921,       26.20926187,       26.20926187,      0.4085999334,        1.62025822,       1.983635809,    0.005578414871
          60,      -5.098203675,      -4.624808489,      -4.669428914,      -5.202838327,     -0.4712053106,       31.45111425,       31.45111425,      0.3929752451,       1.578723688,       1.924108951,    0.005737454795
          61,      -5.102065996,      -4.619894822,      -4.675958829,      -5.208142991,     -0.4772530837,        37.7413371,        37.7413371,      0.3745600086,       1.527730543,       1.851181633,    0.005934114727
          62,       -5.10875969,      -4.616643466,      -4.687052399,      -5.214510037,      -0.484191671,       45.28960451,       45.28960451,       0.353070819,       1.465794155,       1.762421154,    0.006177569451
          63,      -5.119450342,      -4.615526657,      -4.703617039,      -5.222185718,     -0.4919662154,       45.28960451,       45.28960451,      0.3283021176,       1.391756923,       1.655468937,    0.006479348818
          64,      -5.135204916,      -4.616638571,      -4.725328778,      -5.231496222,     -0.5022359313,       45.28960451,       45.28960451,      0.3046086405,       1.319020399,       1.549093413,    0.006790482174
          65,      -5.152352237,      -4.616868485,      -4.744717387,      -5.240891684,     -0.5124490257,       54.34752542,       54.34752542,      0.2820782539,       1.248559889,       1.444388673,    0.007109973468
          66,      -5.168431368,      -4.616115609,      -4.759426302,       -5.25042498,     -0.5212130219,       5.434752542,       5.434752542,      0.2569493201,        1.16887139,       1.323195374,     0.00750116242
          67,      -5.186522721,      -4.617953073,      -4.771558043,       -5.26218972,     -0.5392431086,        6.52170305,        6.52170305,      0.2544334345,       1.160871248,       1.311003901,    0.007540715172
          68,      -5.187409094,      -4.616765767,      -4.771522297,      -5.263321575,     -0.5403831921,        7.82604366,        7.82604366,      0.2514411773,        1.15133888,       1.296434288,    0.007588316876
          69,       -5.18813132,      -4.615006787,      -4.771327078,      -5.264686615,     -0.5417401994,       9.391252392,       9.391252392,       0.247891569,       1.140008933,       1.279053335,    0.007645593666
          70,      -5.188984433,      -4.612946833,      -4.771048105,      -5.266334471,     -0.5433564705,       11.26950287,       11.26950287,       0.243692968,       1.126579258,       1.258357246,    0.007714509909
          71,      -5.190049426,      -4.610635381,      -4.770695175,      -5.268325919,     -0.5452811248,       13.52340344,       13.52340344,      0.2387440938,       1.110713799,       1.233769336,    0.007797425036
          72,      -5.191378443,      -4.608131004,      -4.770282603,      -5.270735654,     -0.5475726181,       16.22808413,       16.22808413,       0.232936747,       1.092050862,       1.204643573,     0.00789714905
          73,      -5.193013767,       -4.60554532,      -4.769838403,      -5.273655762,     -0.5502954032,       19.47370096,       19.47370096,      0.2261612678,       1.070220008,       1.170278147,    0.008016983524
          74,      -5.194988427,      -4.603072432,      -4.769405797,       -5.27720006,     -0.5535279928,       23.36844115,       23.36844115,       0.218316479,       1.044871814,          1.129945,    0.008160715942
          75,      -5.197323838,      -4.601023613,      -4.769045084,      -5.281509453,     -0.5573624853,       28.04212938,       28.04212938,      0.2093283236,       1.015731385,       1.082952032,    0.008332468244
          76,      -5.200030816,      -4.599855361,      -4.768838528,      -5.286760407,     -0.5619085563,       33.65055526,       33.65055526,      0.1991809231,      0.9826830245,       1.028752144,    0.008536250821
          77,      -5.203120448,      -4.600186472,      -4.768910134,      -5.293173234,     -0.5673080129,       40.38066631,       40.38066631,      0.1879606775,      0.9458917131,       0.967116875,    0.008775029396
          78,      -5.206638693,       -4.60278677,      -4.769470319,      -5.301017059,     -0.5737637456,       48.45679957,       48.45679957,      0.1759003032,      0.9059517101,      0.8983773392,    0.009049284165
          79,      -5.210728794,       -4.60853221,      -4.770886868,      -5.310622271,     -0.5815955514,       4.845679957,       4.845679957,      0.1633891807,      0.8640271818,      0.8237069339,    0.009355574276
          80,      -5.215753789,      -4.618315755,      -4.773736417,      -5.322440019,      -0.593977462,       5.814815949,       5.814815949,       0.162151536,      0.8598666583,      0.8162694985,    0.009386104844
          81,      -5.216316604,      -4.618450808,      -4.773736096,       -5.32358473,     -0.5949095967,       6.977779139,       6.977779139,      0.1606938431,      0.8549575411,      0.8074534259,    0.009422389817
          82,      -5.216330892,       -4.61862207,      -4.773713727,      -5.324962816,     -0.5960245893,       8.373334966,       8.373334966,       0.158984356,      0.8491887762,      0.7970356649,    0.009465400014
          83,      -5.216070184,      -4.618867397,      -4.773698403,      -5.326623101,     -0.5973585059,       10.04800196,       10.04800196,       0.156989761,      0.8424423084,      0.7847695528,    0.009516221036
          84,      -5.215660402,       -4.61923916,      -4.773721709,      -5.328624724,     -0.5989553485,       12.05760235,       12.05760235,      0.1546766101,      0.8345981399,      0.7703897921,    0.009576040056
          85,      -5.215169559,      -4.619806233,      -4.773819593,      -5.331039525,     -0.6008679294,       14.46912282,       14.46912282,      0.1520133187,      0.8255423721,      0.7536218769,    0.009646120533
          86,      -5.214646333,      -4.620658473,      -4.774033143,      -5.333954816,     -0.6031589453,       17.36294739,       17.36294739,       0.148972528,      0.8151786279,      0.7341971138,     0.00972776755
          87,      -5.214137626,      -4.621917045,      -4.774408915,      -5.337477816,     -0.6059053364,       20.83553686,       20.83553686,      0.1455337479,      0.8034438312,      0.7118761987,    0.009822282538
          88,      -5.213711305,      -4.623744495,      -4.774993292,      -5.341738585,     -0.6091980103,       25.00264424,       25.00264424,      0.1416854139,      0.7903263063,      0.6864798705,    0.009930927003
          89,      -5.213477796,      -4.626357527,      -4.775825242,      -5.346894254,     -0.6131447618,       30.00317308,       30.00317308,      0.1374255634,      0.7758850281,      0.6579286812,     0.01005491705
          90,      -5.213614518,      -4.630038579,      -4.776930866,      -5.353134034,     -0.6178665427,        36.0038077,        36.0038077,      0.1327581328,      0.7602645726,      0.6262902687,     0.01019554665
          91,      -5.214393447,      -4.635142352,      -4.778329941,      -5.360684001,     -0.6234915224,       43.20456924,       43.20456924,      0.1276774602,      0.7436938249,      0.5918281916,     0.01035471875
          92,      -5.216238753,      -4.642083724,      -4.780056876,      -5.369816107,      -0.630187008,       43.20456924,       43.20456924,      0.1221254512,      0.7264345217,      0.5550123983,     0.01053656485
          93,      -5.219791563,      -4.651304852,      -4.782196941,      -5.380870204,     -0.6384697594,       43.20456924,       43.20456924,      0.1169134701,       0.711275142,      0.5221612473,     0.01071488411
          94,      -5.223860259,      -4.660146287,      -4.783981921,      -5.391931049,     -0.6465500105,       43.20456924,       43.20456924,      0.1118571745,      0.6977360617,      0.4927540437,     0.01089569667
          95,      -5.228358457,      -4.668442315,      -4.785347083,      -5.402984327,      -0.654531207,       43.20456924,       43.20456924,      0.1067944459,      0.6853712337,      0.4662895648,     0.01108532184
          96,       -5.23329129,      -4.676069858,      -4.786177851,      -5.414017699,     -0.6624245339,       51.84548309,       51.84548309,      0.1015935327,      0.6737815301,      0.4423080058,     0.01129009524
          97,      -5.238579748,      -4.682951025,      -4.786353223,      -5.425001038,     -0.6699711637,       5.184548309,       5.184548309,     0.09499734905,      0.6604315828,      0.4164499169,     0.01155394258
