"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,           0,      -3.848611708,      -16.17726891,      -16.95485499
          0,           0,           1,      -4.003015801,      -3.118891841,      -3.544521611
          0,           0,           2,      -4.114822822,      -3.289585244,      -3.800620291
          0,           0,           3,      -4.197240867,      -3.445187117,      -3.984468737
          0,           0,           4,       -4.26630211,      -3.586202478,      -4.106939125
          0,           0,           5,      -4.330527767,       -3.71354519,      -4.192736031
          0,           0,           6,      -4.392741216,      -3.829023837,      -4.254985268
          0,           0,           7,      -4.452306704,      -3.934926303,      -4.299068139
          0,           0,           8,      -4.507606463,      -4.033324952,      -4.329889954
          0,           0,           9,      -4.557648454,      -4.125743711,      -4.353036097
          0,           0,          10,      -4.601822435,      -4.213073923,      -4.372346869
          0,           0,          11,      -4.638347384,      -4.295281286,      -4.387605597
          0,           0,          12,      -4.662307705,       -4.37028803,      -4.393006741
          0,           0,          13,      -4.665663801,      -4.431528039,      -4.378512088
          0,           0,          14,      -4.644543788,      -4.466354282,      -4.338782876
          0,           0,          15,      -4.607820796,      -4.462793981,      -4.282326783
          0,           0,          16,      -4.572558984,      -4.422633632,       -4.22419551
          0,           0,          17,      -4.552171681,      -4.360850775,      -4.174808026
          0,           0,          18,      -4.552656248,      -4.297110519,      -4.138830074
          0,           0,          19,      -4.573479419,       -4.25037915,      -4.119587438
          0,           0,          20,      -4.608880585,      -4.233548955,      -4.123120073
          0,           0,          21,      -4.657534398,      -4.250592461,      -4.161873965
          0,           0,          22,      -4.666652569,      -4.250637008,      -4.160669481
          0,           0,          23,      -4.671805876,       -4.24623978,      -4.159552965
          0,           0,          24,      -4.677061195,       -4.23860041,      -4.159538812
          0,           0,          25,      -4.683006615,       -4.22828504,      -4.161639806
          0,           0,          26,        -4.6894519,      -4.216232304,      -4.166570909
          0,           0,          27,      -4.696304338,      -4.203389681,      -4.174378622
          0,           0,          28,      -4.703470657,      -4.190763575,      -4.184070578
          0,           0,          29,      -4.710639855,      -4.179970555,      -4.193508916
          0,           0,          30,      -4.717936265,      -4.173895592,      -4.200479348
          0,           0,          31,       -4.72642623,      -4.176675614,      -4.205143631
          0,           0,          32,      -4.738343614,      -4.192819113,      -4.211376715
          0,           0,          33,      -4.757028223,      -4.225566297,      -4.224587261
          0,           0,          34,      -4.789224669,      -4.274519314,       -4.24809345
          0,           0,          35,      -4.797373886,      -4.276142413,       -4.24844652
          0,           0,          36,       -4.80165284,      -4.277441933,      -4.248982921
          0,           0,          37,      -4.805125321,      -4.278816834,      -4.249901722
          0,           0,          38,      -4.808946451,      -4.280441943,      -4.251384591
          0,           0,          39,      -4.813822601,      -4.282510529,      -4.253559474
          0,           0,          40,      -4.820418724,      -4.285195279,      -4.256477907
          0,           0,          41,      -4.829450715,      -4.288660099,      -4.260128953
          0,           0,          42,       -4.84160286,      -4.293123485,      -4.264503606
          0,           0,          43,      -4.857245287,      -4.298957047,      -4.269730469
          0,           0,          44,      -4.876004214,      -4.306877364,      -4.276252076
          0,           0,          45,      -4.896669477,      -4.318338459,      -4.284995703
          0,           0,          46,      -4.918040059,      -4.336175144,      -4.297435004
          0,           0,          47,      -4.940383497,      -4.364643895,      -4.315246339
          0,           0,          48,      -4.964596511,      -4.407379813,      -4.339449178
          0,           0,          49,      -4.964923815,      -4.409299772,      -4.340153843
          0,           0,          50,      -4.963757322,      -4.411821093,      -4.341009564
          0,           0,          51,      -4.962294562,       -4.41498726,      -4.342092335
          0,           0,          52,      -4.960709029,      -4.418836177,      -4.343475864
          0,           0,          53,       -4.95909037,      -4.423442512,      -4.345227451
          0,           0,          54,      -4.957489549,      -4.428858555,      -4.347397233
          0,           0,          55,      -4.955825044,      -4.435097829,      -4.350014027
          0,           0,          56,      -4.953703598,      -4.442141357,      -4.353109445
          0,           0,          57,      -4.950249716,      -4.449922502,      -4.356786836
          0,           0,          58,      -4.944244618,      -4.458279644,      -4.361340664
          0,           0,          59,      -4.934895025,      -4.466980371,      -4.367467503
          0,           0,          60,      -4.923102141,      -4.476048215,      -4.376503301
          0,           0,          61,      -4.912452623,      -4.486129732,       -4.39040436
          0,           0,          62,      -4.907131693,      -4.493442008,      -4.405494883
          0,           0,          63,      -4.912342989,      -4.500903661,      -4.427111903
          0,           0,          64,      -4.913913944,      -4.500465538,        -4.4273882
          0,           0,          65,      -4.913682149,      -4.499655785,      -4.427770671
          0,           0,          66,      -4.913439658,      -4.498107672,      -4.428339393
          0,           0,          67,      -4.913622644,      -4.495491553,      -4.429183168
          0,           0,          68,      -4.914609004,      -4.491714489,      -4.430449215
          0,           0,          69,      -4.916867251,       -4.48683813,       -4.43236741
          0,           0,          70,      -4.921010313,      -4.481045636,      -4.435267792
          0,           0,          71,      -4.927838405,      -4.474659011,      -4.439616725
          0,           0,          72,      -4.938371021,      -4.468224316,      -4.446108214
          0,           0,          73,      -4.953890786,      -4.462675568,      -4.455806297
          0,           0,          74,      -4.976040185,      -4.459645389,      -4.470390944
          0,           0,          75,      -5.006894195,      -4.461626725,      -4.492279805
          0,           0,          76,      -5.048778925,      -4.471326369,      -4.523912308
          0,           0,          77,      -5.054342597,      -4.471531428,      -4.524912761
          0,           0,          78,      -5.058637681,      -4.471872985,      -4.526483425
          0,           0,          79,      -5.063436814,      -4.472253675,      -4.528791245
          0,           0,          80,      -5.069187676,      -4.472615949,      -4.531988703
          0,           0,          81,       -5.07619541,         -4.473053,      -4.536224946
          0,           0,          82,      -5.084763134,      -4.473759734,      -4.541641926
          0,           0,          83,      -5.095226241,      -4.474983211,      -4.548364127
          0,           0,          84,      -5.107989913,      -4.476957241,      -4.556449313
          0,           0,          85,      -5.123487629,      -4.479884716,       -4.56589843
          0,           0,          86,      -5.142067373,      -4.483901725,      -4.576634416
          0,           0,          87,      -5.163786449,       -4.48912339,      -4.588613156
          0,           0,          88,      -5.188205399,      -4.495928127,      -4.602211417
          0,           0,          89,      -5.214753603,      -4.505690471,      -4.618937136
          0,           0,          90,      -5.243787351,      -4.521838877,      -4.641934723
          0,           0,          91,      -5.278405991,      -4.550252569,      -4.675286318
          0,           0,          92,      -5.286496628,      -4.552422162,      -4.675995969
          0,           0,          93,      -5.289062434,      -4.555248275,       -4.67733389
          0,           0,          94,      -5.290913122,      -4.558835156,      -4.679480243
          0,           0,          95,      -5.293024548,      -4.563331825,      -4.682587204
          0,           0,          96,      -5.296026436,      -4.569053915,      -4.686797728
          0,           0,          97,      -5.300529801,      -4.576491543,      -4.692254591
          0,           0,          98,      -5.307175722,      -4.586320108,      -4.699113373
          0,           0,          99,      -5.316543947,      -4.599409217,      -4.707548987
          0,           0,         100,      -5.328855836,      -4.616815223,      -4.717747486
          0,           0,         101,      -5.343488923,      -4.639640155,      -4.729884581
