"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
           0,      -9.954964778,      -7.975252341,      -8.469934845,      -9.679031724,               2.4,               2.4,       0.163112315,      0.9889215501,       1.045125263
           1,      -9.952449427,      -7.975285372,      -8.472634141,      -9.679054966,              2.88,              2.88,      0.1631122712,      0.9889216703,       1.045125337
           2,      -9.944386704,      -7.975216676,      -8.476128603,      -9.679084171,             3.456,             3.456,      0.1631122184,      0.9889218131,       1.045125425
           3,      -9.945511584,      -7.975097161,      -8.480079016,      -9.679121322,            4.1472,            4.1472,      0.1631121547,       0.988921983,       1.045125529
           4,        -9.9585685,       -7.97497865,       -8.48385103,      -9.679168567,           4.97664,           4.97664,      0.1631120778,      0.9889221855,       1.045125652
           5,      -9.975175549,      -7.974921781,      -8.486696846,      -9.679227857,          5.971968,          5.971968,      0.1631119854,      0.9889224272,       1.045125799
           6,      -9.984643206,      -7.974975248,      -8.487953576,      -9.679300696,         7.1663616,         7.1663616,      0.1631118744,      0.9889227163,       1.045125975
           7,      -9.985999607,      -7.975149031,      -8.487386713,      -9.679388353,        8.59963392,        8.59963392,      0.1631117411,      0.9889230624,       1.045126186
           8,      -9.984751901,      -7.975407474,      -8.485501352,      -9.679492607,        10.3195607,        10.3195607,      0.1631115808,      0.9889234771,       1.045126437
           9,      -9.983328692,      -7.975693882,      -8.483268111,      -9.679616592,       12.38347284,       12.38347284,      0.1631113879,      0.9889239741,       1.045126739
          10,        -9.9817095,       -7.97596778,       -8.48136338,      -9.679765139,       14.86016741,       14.86016741,      0.1631111556,      0.9889245692,       1.045127099
          11,      -9.979586919,      -7.976221582,      -8.479778359,      -9.679944515,        17.8322009,        17.8322009,       0.163110876,      0.9889252815,       1.045127529
          12,      -9.975807468,      -7.976465854,      -8.478116908,      -9.680162057,        1.78322009,        1.78322009,      0.1631105396,      0.9889261339,       1.045128042
          13,      -9.969099209,      -7.976705866,      -8.476077886,      -9.680515346,       2.139864108,       2.139864108,      0.1631104959,      0.9889262502,       1.045128113
          14,      -9.958486215,      -7.976662467,      -8.477010717,      -9.680536008,       2.567836929,       2.567836929,      0.1631104434,      0.9889263892,       1.045128197
          15,      -9.944565208,      -7.976594893,      -8.478705971,      -9.680561567,       3.081404315,       3.081404315,      0.1631103804,      0.9889265551,       1.045128297
          16,      -9.936418148,      -7.976519196,      -8.480989338,      -9.680593575,       3.697685178,       3.697685178,       0.163110305,      0.9889267536,       1.045128418
          17,       -9.93678783,      -7.976458722,      -8.483464022,      -9.680633878,       4.437222213,       4.437222213,       0.163110215,      0.9889269919,       1.045128563
          18,      -9.941530784,      -7.976448914,      -8.485586844,      -9.680684382,       5.324666656,       5.324666656,      0.1631101114,      0.9889272649,       1.045128729
          19,      -9.950341661,      -7.976574095,      -8.486986784,      -9.680746927,       6.389599987,       6.389599987,      0.1631099918,        0.98892758,       1.045128921
          20,      -9.955891834,      -7.976826009,      -8.487219286,      -9.680823126,       7.667519985,       7.667519985,      0.1631098518,      0.9889279397,       1.045129137
          21,      -9.958305975,      -7.977173837,      -8.486311989,      -9.680914886,       9.201023982,       9.201023982,      0.1631096882,      0.9889283584,       1.045129389
          22,      -9.958830865,      -7.977572684,      -8.484742722,      -9.681024824,       11.04122878,       11.04122878,      0.1631094964,      0.9889288479,       1.045129682
          23,        -9.9583731,      -7.977984438,      -8.483116491,       -9.68115682,       13.24947453,       13.24947453,      0.1631092708,       0.988929422,       1.045130025
          24,      -9.957320581,      -7.978392074,      -8.481661797,      -9.681316109,       15.89936944,       15.89936944,       0.163109005,      0.9889300976,       1.045130428
          25,      -9.955403623,      -7.978796923,      -8.480194248,      -9.681509107,       15.89936944,       15.89936944,      0.1631086914,      0.9889308947,       1.045130902
          26,      -9.951783124,      -7.979201724,      -8.478430767,      -9.681755954,       15.89936944,       15.89936944,      0.1631083785,      0.9889316921,       1.045131376
          27,      -9.949325558,      -7.979522543,      -8.477914345,      -9.682002801,       15.89936944,       15.89936944,      0.1631080662,      0.9889324887,       1.045131849
          28,      -9.949239412,      -7.979794386,      -8.478168838,      -9.682250269,       15.89936944,       15.89936944,      0.1631077544,      0.9889332838,       1.045132321
          29,      -9.950198542,      -7.980052782,      -8.478549234,      -9.682498376,       15.89936944,       15.89936944,      0.1631074434,      0.9889340776,       1.045132792
          30,      -9.950877216,      -7.980311174,      -8.478805543,      -9.682746956,       15.89936944,       15.89936944,      0.1631071334,      0.9889348707,       1.045133264
          31,      -9.951076205,      -7.980568438,      -8.478962194,      -9.682995895,       15.89936944,       15.89936944,      0.1631068249,      0.9889356644,       1.045133738
          32,      -9.951086092,      -7.980820424,      -8.479095067,       -9.68324517,       15.89936944,       15.89936944,      0.1631065185,      0.9889364599,       1.045134217
          33,       -9.95109632,      -7.981064731,      -8.479239114,      -9.683494736,       15.89936944,       15.89936944,      0.1631062134,      0.9889372536,       1.045134696
          34,      -9.951480243,      -7.981299238,      -8.479413636,      -9.683744682,       15.89936944,       15.89936944,      0.1631059105,      0.9889380498,       1.045135181
          35,      -9.951593967,      -7.981524359,      -8.479587704,      -9.683995013,       15.89936944,       15.89936944,      0.1631056098,      0.9889388492,       1.045135672
          36,      -9.951661467,      -7.981741143,      -8.479762872,      -9.684245728,       15.89936944,       15.89936944,      0.1631053112,      0.9889396523,       1.045136169
          37,      -9.951797675,       -7.98195041,      -8.479940896,      -9.684496823,       15.89936944,       15.89936944,      0.1631050146,      0.9889404591,       1.045136673
          38,      -9.952039645,      -7.982152838,      -8.480123025,      -9.684748292,       15.89936944,       15.89936944,      0.1631047199,      0.9889412697,       1.045137182
          39,      -9.952386084,      -7.982349089,      -8.480309456,      -9.685000136,       15.89936944,       15.89936944,       0.163104427,       0.988942084,       1.045137697
          40,      -9.952825084,      -7.982539815,      -8.480499883,      -9.685252354,       15.89936944,       15.89936944,      0.1631041356,      0.9889429017,       1.045138218
          41,      -9.953340325,      -7.982725626,      -8.480693991,      -9.685504946,       15.89936944,       15.89936944,      0.1631038456,      0.9889437226,       1.045138743
          42,      -9.953912107,       -7.98290706,      -8.480891568,      -9.685757914,       15.89936944,       15.89936944,      0.1631035569,      0.9889445465,       1.045139272
          43,      -9.954520454,      -7.983084566,      -8.481092433,      -9.686011263,       15.89936944,       15.89936944,      0.1631032693,      0.9889453732,       1.045139805
          44,      -9.955149442,      -7.983258514,      -8.481296329,      -9.686264995,       15.89936944,       15.89936944,      0.1631029827,      0.9889462027,       1.045140341
          45,      -9.955787238,      -7.983429202,      -8.481502973,      -9.686519115,       15.89936944,       15.89936944,      0.1631026971,      0.9889470348,       1.045140881
          46,       -9.95642565,      -7.983596878,      -8.481712062,      -9.686773628,       15.89936944,       15.89936944,      0.1631024125,      0.9889478698,       1.045141425
          47,       -9.95705909,      -7.983761758,      -8.481923258,      -9.687028476,       15.89936944,       15.89936944,      0.1631021277,      0.9889487019,       1.045141966
          48,      -9.958050293,      -7.983922766,      -8.482155345,      -9.687283735,       15.89936944,       15.89936944,      0.1631018434,      0.9889495352,       1.045142508
          49,      -9.958748164,      -7.984080434,      -8.482381536,      -9.687539407,       15.89936944,       15.89936944,      0.1631015595,      0.9889503695,       1.045143052
          50,      -9.959363595,      -7.984235828,      -8.482606273,      -9.687795494,       15.89936944,       15.89936944,      0.1631012759,      0.9889512048,       1.045143596
          51,      -9.959969573,      -7.984389615,      -8.482831027,      -9.688051996,       15.89936944,       15.89936944,      0.1631009926,       0.988952041,       1.045144142
          52,      -9.960565806,      -7.984542135,      -8.483056479,      -9.688308913,       15.89936944,       15.89936944,      0.1631007097,       0.988952878,       1.045144689
          53,      -9.961133806,      -7.984693578,      -8.483282754,      -9.688566244,       15.89936944,       15.89936944,      0.1631004271,       0.988953716,       1.045145237
          54,      -9.961663551,      -7.984844073,      -8.483509656,       -9.68882399,       15.89936944,       15.89936944,      0.1631001449,      0.9889545548,       1.045145786
          55,      -9.962152418,      -7.984993712,      -8.483736859,      -9.689082147,       15.89936944,       15.89936944,      0.1630998631,      0.9889553945,       1.045146336
          56,      -9.962599726,      -7.985142559,      -8.483963996,      -9.689340711,       15.89936944,       15.89936944,      0.1630995816,      0.9889562352,       1.045146887
          57,      -9.963005435,      -7.985290639,      -8.484190723,       -9.68959968,       15.89936944,       15.89936944,      0.1630993006,      0.9889570769,        1.04514744
          58,      -9.963370948,      -7.985437952,      -8.484416687,      -9.689859047,       15.89936944,       15.89936944,      0.1630990202,        0.98895792,       1.045147994
          59,      -9.963698934,      -7.985584481,      -8.484641584,      -9.690118806,       15.89936944,       15.89936944,      0.1630987404,      0.9889587645,        1.04514855
          60,      -9.963992577,      -7.985730209,       -8.48486515,      -9.690378942,       15.89936944,       15.89936944,      0.1630984609,      0.9889596094,       1.045149106
          61,      -9.964295406,       -7.98587534,      -8.485089551,      -9.690639447,       15.89936944,       15.89936944,      0.1630981817,      0.9889604548,       1.045149663
          62,      -9.964579283,      -7.986019869,      -8.485313621,      -9.690900312,       15.89936944,       15.89936944,      0.1630979028,      0.9889613005,        1.04515022
          63,      -9.964839574,       -7.98616382,      -8.485536852,      -9.691161525,       15.89936944,       15.89936944,      0.1630976241,      0.9889621463,       1.045150777
          64,      -9.965080799,      -7.986307255,      -8.485759014,      -9.691423074,       15.89936944,       15.89936944,      0.1630973455,      0.9889629922,       1.045151333
          65,      -9.965312373,      -7.986450241,      -8.485979932,      -9.691684945,       15.89936944,       15.89936944,      0.1630970669,       0.988963838,       1.045151889
          66,      -9.965531294,      -7.986592843,      -8.486199694,      -9.691947121,       15.89936944,       15.89936944,      0.1630967882,      0.9889646836,       1.045152444
          67,      -9.965734024,      -7.986735124,      -8.486418534,      -9.692209586,       15.89936944,       15.89936944,      0.1630965093,      0.9889655288,       1.045152998
          68,      -9.965925978,      -7.986877145,       -8.48663647,      -9.692472324,       15.89936944,       15.89936944,      0.1630962301,      0.9889663733,        1.04515355
          69,      -9.966109532,      -7.987018966,       -8.48685352,      -9.692735316,       15.89936944,       15.89936944,      0.1630959504,      0.9889672171,       1.045154101
          70,      -9.966286446,      -7.987160648,      -8.487069705,      -9.692998543,       15.89936944,       15.89936944,      0.1630956701,      0.9889680599,       1.045154649
          71,      -9.966458601,      -7.987302249,      -8.487285043,      -9.693261983,       15.89936944,       15.89936944,      0.1630953892,      0.9889689015,       1.045155195
