"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
          43,      -5.693928531,      -4.698919511,       -4.74877395,      -7.322755211,       0.205782464,       35.27451763,       35.27451763,      0.3383210536,        1.37960563
          44,      -5.703906115,      -4.703330891,      -4.744091486,       -7.30426091,      0.4700366197,       42.32942116,       42.32942116,      0.3436119972,         1.3895515
          45,      -5.713844177,        -4.7077574,      -4.737977241,      -7.284730076,      0.6609598393,       50.79530539,       50.79530539,      0.3490520959,       1.399376694
          46,      -5.721804431,        -4.7122787,      -4.731229637,      -7.265020387,      0.7522504975,       60.95436647,       60.95436647,      0.3539571941,       1.407292829
          47,      -5.728208799,      -4.716730135,      -4.724337748,      -7.246831077,      0.7270377507,       73.14523976,       73.14523976,       0.357661067,        1.41156616
          48,      -5.734814825,      -4.720410597,      -4.717392007,        -7.2300977,      0.6431289312,       7.314523976,       7.314523976,      0.3595602407,       1.410758612
          49,      -5.742182913,      -4.722648505,      -4.710939634,      -7.288792599,     -0.3245128265,       8.777428771,       8.777428771,      0.3597271566,       1.410623747
          50,      -5.763033513,      -4.721755553,       -4.72194142,      -7.282981521,     -0.2806727712,       10.53291453,       10.53291453,      0.3598927833,       1.410382599
          51,      -5.796703598,      -4.720885586,       -4.72831913,      -7.277097238,     -0.1739706279,       12.63949743,       12.63949743,      0.3600423939,       1.409980056
          52,      -5.816585363,      -4.721514178,      -4.730962715,       -7.27441958,    -0.04520667721,       15.16739692,       15.16739692,      0.3601510963,       1.409329754
          53,      -5.824381541,      -4.722795349,      -4.730992846,      -7.272692556,     0.08722652753,        18.2008763,        18.2008763,      0.3601764629,       1.408294511
          54,      -5.826740662,      -4.723789906,      -4.730076349,      -7.269902814,      0.2001584601,       21.84105156,       21.84105156,       0.360053865,       1.406679008
          55,      -5.826540155,      -4.724453423,      -4.729182987,      -7.266216197,      0.2350248318,       26.20926187,       26.20926187,       0.359718469,       1.404295066
          56,      -5.827361753,      -4.725123294,      -4.727764415,      -7.262264509,      0.1964766856,       31.45111425,       31.45111425,      0.3591550748,       1.401092654
          57,       -5.82944227,      -4.725924636,      -4.725396514,      -7.258626314,       0.191851951,        37.7413371,        37.7413371,      0.3583882472,       1.397129597
          58,      -5.829784114,       -4.72666384,      -4.721733729,      -7.255208265,      0.2124465073,       45.28960451,       45.28960451,      0.3573617532,       1.392254539
          59,      -5.828507174,      -4.727057814,      -4.717339914,      -7.252054749,      0.2493510005,       54.34752542,       54.34752542,      0.3559148396,       1.386008731
          60,      -5.824440775,      -4.726615613,      -4.713055847,      -7.249341327,      0.3092710337,        65.2170305,        65.2170305,      0.3540565813,       1.378265703
          61,      -5.816318107,      -4.724865883,      -4.709532745,      -7.246824643,      0.3817703863,        78.2604366,        78.2604366,      0.3522655787,       1.370030708
          62,      -5.801789809,      -4.721107159,      -4.707397488,      -7.243534129,      0.5053103778,        7.82604366,        7.82604366,      0.3513849894,       1.363358311
          63,      -5.781002412,      -4.714914858,      -4.706723323,      -7.294322168,     -0.4576819099,       9.391252392,       9.391252392,      0.3513074222,       1.362719021
          64,      -5.789741461,      -4.713890569,      -4.715064801,      -7.292035843,     -0.3864784964,       11.26950287,       11.26950287,      0.3512344273,       1.362001405
          65,      -5.807079118,       -4.71228585,      -4.720835973,      -7.289661059,     -0.3099186354,       13.52340344,       13.52340344,      0.3511763936,       1.361212872
          66,       -5.81703685,      -4.711188433,      -4.724834393,      -7.289323267,     -0.2175895105,       16.22808413,       16.22808413,      0.3511483048,       1.360364151
          67,      -5.818170728,      -4.710359549,      -4.727373005,      -7.289916785,     -0.1160623208,       19.47370096,       19.47370096,      0.3511666619,       1.359461193
          68,      -5.813952044,      -4.709336088,      -4.729049457,      -7.290214579,    -0.04462978942,       23.36844115,       23.36844115,      0.3512531787,       1.358523679
          69,      -5.806280316,      -4.707908339,      -4.730529964,      -7.290292301,     -0.1102725268,       28.04212938,       28.04212938,      0.3514709739,       1.357692059
          70,       -5.79647255,      -4.706228329,      -4.731748075,      -7.290683426,     -0.3456475677,       33.65055526,       33.65055526,      0.3519813774,       1.357381154
          71,      -5.785102116,      -4.704313232,      -4.732447853,      -7.292020897,    -0.04871066345,       40.38066631,       40.38066631,      0.3530066437,       1.358189432
          72,      -5.772390057,      -4.702065236,      -4.732396721,      -7.294594244,    -0.06696153147,       48.45679957,       48.45679957,       0.354631627,       1.360396222
          73,      -5.757908151,      -4.699155439,      -4.731983021,      -7.298576353,     -0.3966666607,       58.14815949,       58.14815949,      0.3566595801,       1.363556318
          74,      -5.743330262,      -4.695271748,      -4.731768269,      -7.304963823,     -0.1841058465,       69.77779139,       69.77779139,      0.3587493074,       1.366757558
          75,       -5.73009053,      -4.690259781,      -4.731627681,      -7.315089057,     -0.0633286566,       69.77779139,       69.77779139,      0.3606062872,       1.369061607
          76,      -5.718702172,       -4.68379147,      -4.730582899,      -7.335157769,    -0.08420569098,       69.77779139,       69.77779139,      0.3617938844,       1.369598987
          77,       -5.71507391,      -4.676599273,      -4.731588433,      -7.355783187,    -0.09744467834,       6.977779139,       6.977779139,       0.362270985,        1.36819124
          78,      -5.717398251,      -4.668949983,      -4.732426835,      -7.400231342,     -0.9426095463,       8.373334966,       8.373334966,       0.362313382,       1.368035555
          79,      -5.728360954,      -4.667766131,      -4.743631335,      -7.400458809,     -0.9251232826,       10.04800196,       10.04800196,      0.3623532926,        1.36781912
          80,      -5.743381386,      -4.665812959,       -4.75221155,      -7.401265694,     -0.8529850473,       12.05760235,       12.05760235,       0.362385426,       1.367515282
          81,      -5.753593885,      -4.664581656,      -4.757553855,      -7.405944516,     -0.6764458459,       14.46912282,       14.46912282,      0.3623997641,       1.367080497
          82,       -5.75744856,      -4.663952779,      -4.759929081,      -7.411831739,     -0.4778803938,       17.36294739,       17.36294739,      0.3623751595,       1.366437848
          83,      -5.758259306,        -4.6632743,      -4.760533758,      -7.417358326,     -0.3122848522,       20.83553686,       20.83553686,      0.3622689292,       1.365453325
          84,      -5.757340227,      -4.662153013,      -4.760756056,       -7.42296716,     -0.2714870433,       25.00264424,       25.00264424,       0.362018943,       1.363944305
          85,      -5.755406147,       -4.66060791,      -4.760441441,      -7.429600518,     -0.4108993495,       30.00317308,       30.00317308,      0.3615851139,       1.361779682
          86,      -5.752031049,      -4.658786083,      -4.758542862,      -7.437809997,     -0.5153312791,        36.0038077,        36.0038077,      0.3609962698,       1.358986158
          87,      -5.747463793,      -4.656665359,      -4.754605106,      -7.447347989,     -0.2419327384,       43.20456924,       43.20456924,      0.3602793062,       1.355569394
          88,      -5.742553275,      -4.654055578,      -4.749122089,      -7.457497886,    -0.03743947374,       51.84548309,       51.84548309,      0.3592689485,       1.351040004
          89,      -5.739795471,      -4.650591243,      -4.742607575,      -7.467086371,     0.02616785597,       62.21457971,       62.21457971,      0.3575715482,       1.344278592
          90,      -5.737702356,      -4.645756979,      -4.735977432,      -7.473800957,     0.06723823984,       74.65749565,       74.65749565,      0.3548407855,        1.33414873
          91,      -5.733676823,      -4.639327495,      -4.729359097,       -7.47533816,     0.01194132435,       7.465749565,       7.465749565,      0.3510459301,       1.320189077
          92,       -5.72399613,      -4.631358312,      -4.721712522,      -7.545695003,     -0.7692854713,       8.958899478,       8.958899478,      0.3506638597,       1.318782972
          93,      -5.746088844,      -4.630636254,      -4.736191655,       -7.54125585,     -0.7989874803,       10.75067937,       10.75067937,      0.3501987218,       1.317070437
          94,      -5.770736886,      -4.628824957,       -4.74717649,      -7.538738643,     -0.7689341595,       12.90081525,       12.90081525,      0.3496333564,       1.314983055
          95,      -5.785294479,      -4.628211883,      -4.752677861,      -7.545685418,     -0.6653001207,        15.4809783,        15.4809783,       0.348946735,       1.312431859
          96,      -5.789574558,      -4.628502093,      -4.753283707,      -7.552738097,     -0.5072867742,       18.57717396,       18.57717396,      0.3481080422,       1.309290509
          97,      -5.789544859,       -4.62865998,      -4.751922275,      -7.555812649,      -0.376541011,       22.29260875,       22.29260875,      0.3470654398,       1.305373257
          98,       -5.78819988,      -4.628132019,      -4.751046714,      -7.556125298,     -0.2897294829,        26.7511305,        26.7511305,      0.3457495942,       1.300457964
          99,      -5.784856444,      -4.627050913,      -4.749975924,      -7.556273557,     -0.2780251104,        32.1013566,        32.1013566,      0.3441276094,       1.294425792
         100,      -5.779977148,      -4.625725719,      -4.747066196,      -7.557446597,     -0.3653688521,       38.52162792,       38.52162792,      0.3422762005,       1.287426817
         101,      -5.771870706,      -4.624147667,      -4.741516029,      -7.558916084,     -0.4538965637,        46.2259535,        46.2259535,      0.3403352722,       1.279746179
         102,        -5.7623662,      -4.621918252,      -4.733776124,      -7.558334873,     -0.4204013111,        55.4711442,        55.4711442,      0.3383138841,       1.271314326
         103,      -5.753275451,      -4.618690548,      -4.724516738,      -7.554291202,     -0.4732851557,       66.56537304,       66.56537304,      0.3360128485,       1.261479914
         104,      -5.740409549,       -4.61388333,      -4.714431047,      -7.546366593,     -0.4985232506,       66.56537304,       66.56537304,      0.3332394715,       1.249491177
         105,      -5.715814964,      -4.607020811,      -4.703263629,      -7.550062009,     -0.5780493918,       66.56537304,       66.56537304,      0.3305061755,       1.237363207
         106,      -5.708528846,      -4.600533141,      -4.696415099,      -7.552904784,     -0.6013633653,       6.656537304,       6.656537304,      0.3278945388,       1.225320886
         107,      -5.695485001,      -4.593105808,      -4.690766172,       -7.65251141,       -1.28009711,       7.987844765,       7.987844765,      0.3276351825,        1.22411984
         108,      -5.728775198,      -4.592670615,      -4.710558085,      -7.633637027,      -1.318037495,       9.585413718,       9.585413718,      0.3273258427,       1.222679902
         109,      -5.768842667,      -4.591201487,      -4.723943893,      -7.621306231,       -1.35029269,       11.50249646,       11.50249646,      0.3269581966,       1.220954498
         110,       -5.79063835,      -4.591815108,        -4.7290035,      -7.635842275,      -1.285831735,       13.80299575,       13.80299575,      0.3265235069,       1.218887439
         111,      -5.793435875,      -4.593838534,      -4.727065361,      -7.654853325,      -1.087210491,        16.5635949,        16.5635949,      0.3260105672,       1.216405133
         112,      -5.790781357,       -4.59569091,      -4.722681889,      -7.663884297,     -0.8174300643,       19.87631389,       19.87631389,      0.3253971097,       1.213398154
         113,      -5.785662088,      -4.596425115,      -4.719545712,      -7.663264449,      -0.573439706,       23.85157666,       23.85157666,      0.3246383489,       1.209706789
         114,      -5.780210342,      -4.596214509,      -4.717049112,       -7.66020264,     -0.4401404388,       28.62189199,       28.62189199,      0.3236794798,        1.20516838
         115,      -5.771166091,      -4.595360353,      -4.713134328,       -7.65862913,     -0.4993922356,       34.34627039,       34.34627039,      0.3225128984,        1.19975277
         116,       -5.75216153,      -4.593920478,      -4.707175053,      -7.654532703,     -0.6996682386,       41.21552447,       41.21552447,      0.3212169729,       1.193620718
         117,      -5.740704561,      -4.591824754,      -4.698939164,      -7.645797294,     -0.7042297692,       49.45862937,       49.45862937,      0.3198686489,       1.186867043
         118,      -5.727383978,      -4.587989746,      -4.688453305,      -7.630602597,     -0.4146468566,       59.35035524,       59.35035524,      0.3183851787,        1.17910901
         119,      -5.696944053,      -4.582095965,       -4.67621817,      -7.605574156,      -0.368177756,       71.22042629,       71.22042629,      0.3165099212,        1.16944227
         120,      -5.678936328,      -4.574557527,      -4.660917165,      -7.572952015,     -0.5137820705,       7.122042629,       7.122042629,      0.3139617974,         1.1568222
         121,      -5.626865725,      -4.562170205,      -4.642613992,      -7.704541721,      -1.229706909,       8.546451155,       8.546451155,      0.3137051601,        1.15555464
         122,      -5.694582326,      -4.563714011,      -4.662589709,      -7.672158653,       -1.23623002,       10.25574139,       10.25574139,      0.3133925132,       1.154016789
         123,      -5.752311063,      -4.562341105,      -4.675252263,      -7.652063959,      -1.205439867,       12.30688966,       12.30688966,      0.3130116651,       1.152147476
         124,      -5.782186772,      -4.562590853,      -4.679094344,      -7.670147401,       -1.08690119,        14.7682676,        14.7682676,      0.3125488834,       1.149869845
         125,      -5.782569804,      -4.564108099,      -4.675930374,      -7.691548565,     -0.8831031372,       17.72192111,       17.72192111,      0.3119861427,       1.147079864
         126,      -5.767294081,      -4.565594969,      -4.669886113,      -7.693954375,     -0.6892024605,       21.26630534,       21.26630534,      0.3112888142,       1.143618447
         127,      -5.765807005,      -4.566158062,      -4.664387713,      -7.677737537,     -0.5320762679,        25.5195664,        25.5195664,      0.3103875693,       1.139244604
         128,      -5.758122814,        -4.5652359,      -4.659314456,      -7.655032292,     -0.4233018055,       30.62347969,       30.62347969,       0.309186932,        1.13367757
         129,      -5.739526043,      -4.563035627,       -4.65257125,      -7.627860452,     -0.4094137721,       36.74817562,       36.74817562,      0.3076280189,       1.126741236
         130,       -5.72005726,      -4.559907011,      -4.644303598,      -7.591455764,      -0.505349637,       44.09781075,       44.09781075,      0.3057429612,       1.118445703
         131,      -5.698135071,      -4.555082014,      -4.633131189,      -7.545597652,     -0.5586853148,        52.9173729,        52.9173729,      0.3035827222,       1.108757318
         132,      -5.658766993,      -4.548072806,      -4.620086925,      -7.484406685,     -0.4189235697,       63.50084748,       63.50084748,      0.3010502145,       1.097176341
         133,      -5.627988992,      -4.539373376,      -4.602988258,      -7.422421153,     -0.3180640193,       6.350084748,       6.350084748,      0.2978415642,       1.082610795
         134,      -5.587249641,      -4.525839693,       -4.58479244,      -7.491451722,      -1.178100895,       7.620101697,       7.620101697,      0.2975198474,       1.081151015
         135,      -5.652645716,      -4.529028654,      -4.600056787,      -7.472703948,       -1.16514835,       9.144122036,       9.144122036,       0.297130614,       1.079387267
         136,        -5.7226769,      -4.527276979,      -4.610067466,      -7.454082208,      -1.096177915,       10.97294644,       10.97294644,      0.2966589331,       1.077251844
         137,       -5.76022795,      -4.526937466,      -4.613541197,        -7.4524734,      -0.988865889,       13.16753573,       13.16753573,      0.2960871691,       1.074660262
         138,      -5.761602028,      -4.527894244,       -4.61086662,       -7.45236244,     -0.8497955393,       15.80104288,       15.80104288,      0.2953943898,        1.07150431
         139,      -5.751528724,      -4.528868692,      -4.604694613,      -7.442926456,     -0.6988719905,       18.96125145,       18.96125145,      0.2945502355,       1.067632827
         140,      -5.733415986,      -4.528781849,      -4.598580632,      -7.424790778,     -0.5774837085,       22.75350175,       22.75350175,      0.2934979869,       1.062816815
         141,      -5.723953084,      -4.527573107,      -4.593265249,      -7.401624875,     -0.5074998639,       2.275350175,       2.275350175,       0.292139213,       1.056733653
         142,      -5.709003849,      -4.525277339,      -4.587296422,      -7.420792076,      -1.333815042,       2.730420209,       2.730420209,      0.2920028934,       1.056123991
         143,      -5.733423032,      -4.525438252,      -4.589909704,      -7.416337724,      -1.287587619,       3.276504251,       3.276504251,      0.2918377203,       1.055387599
         144,       -5.74942347,      -4.524714862,      -4.592592652,      -7.411039321,      -1.244260608,       3.931805102,       3.931805102,      0.2916371791,       1.054497058
         145,        -5.7622218,      -4.523772823,      -4.594837415,      -7.405313258,      -1.191328196,       4.718166122,       4.718166122,      0.2913930233,       1.053418444
         146,      -5.771265743,       -4.52298228,      -4.596163252,      -7.400137444,      -1.132144175,       5.661799346,       5.661799346,       0.291094724,       1.052109605
         147,      -5.774109301,       -4.52263851,       -4.59613097,       -7.39588464,      -1.076264195,       6.794159216,       6.794159216,        0.29072878,       1.050518131
         148,       -5.77161717,      -4.522846149,      -4.594512299,      -7.391641927,      -1.011309893,       8.152991059,       8.152991059,      0.2902780064,       1.048579292
         149,      -5.768614824,      -4.523414319,      -4.591696029,      -7.386041566,     -0.9589384852,                 1,                 1,      0.2897211969,       1.046214815
         150,      -5.763477108,      -4.523815371,      -4.588326075,      -7.391385831,      -1.607815456,               1.2,               1.2,      0.2896527901,       1.045924591
         151,      -5.767528662,      -4.523933977,      -4.588373733,      -7.390204998,       -1.56453943,              1.44,              1.44,      0.2895703418,       1.045575477
         152,       -5.77075186,      -4.523947435,        -4.5884764,      -7.388713588,      -1.526682479,             1.728,             1.728,      0.2894709037,       1.045155371
         153,      -5.773107078,      -4.523879317,      -4.588628031,      -7.386889146,      -1.487310489,            2.0736,            2.0736,      0.2893508831,       1.044649633
         154,      -5.774982313,      -4.523747222,      -4.588783145,      -7.384705612,      -1.443720344,           2.48832,           2.48832,      0.2892058978,       1.044040546
         155,      -5.776571168,      -4.523563869,      -4.588858518,      -7.382130112,      -1.395789541,          2.985984,          2.985984,      0.2890306032,       1.043306678
         156,       -5.77755925,        -4.5233648,      -4.588754235,      -7.379123303,      -1.352952439,         3.5831808,         3.5831808,      0.2888184949,       1.042422139
         157,        -5.7775347,      -4.523210605,      -4.588332877,      -7.375753848,       -1.31475785,        4.29981696,        4.29981696,      0.2885617062,       1.041355774
         158,      -5.776402658,      -4.523144294,       -4.58746185,      -7.372026431,      -1.267452337,       5.159780352,       5.159780352,      0.2882508353,       1.040070343
         159,      -5.774537441,      -4.523149178,      -4.586069625,      -7.367756015,       -1.22589478,       6.191736422,       6.191736422,      0.2878748704,       1.038521816
         160,      -5.772161219,      -4.523227564,       -4.58419888,      -7.362854998,      -1.198670117,       7.430083707,       7.430083707,      0.2874212989,       1.036658932
         161,      -5.768355931,      -4.523198991,      -4.582012036,      -7.357020065,      -1.186401945,       8.916100448,       8.916100448,      0.2868764582,       1.034423115
         162,      -5.764866166,      -4.522914638,      -4.579615329,      -7.349662413,      -1.152683807,       10.69932054,       10.69932054,      0.2862260243,       1.031748524
         163,      -5.760319469,      -4.522319731,       -4.57696826,      -7.340694849,      -1.094130199,       1.069932054,       1.069932054,      0.2854551302,       1.028561369
         164,      -5.753002557,      -4.521455236,      -4.574110523,      -7.344541821,       -1.80606787,       1.283918465,       1.283918465,      0.2853782097,       1.028243076
         165,      -5.758875106,       -4.52144166,      -4.574321324,      -7.343372671,      -1.762123528,       1.540702157,       1.540702157,      0.2852860409,        1.02786145
         166,       -5.76341718,      -4.521217653,      -4.574625669,      -7.341854143,      -1.721179295,       1.848842589,       1.848842589,      0.2851756502,       1.027403999
         167,      -5.766635212,      -4.520885323,      -4.574997604,      -7.339938048,      -1.676564288,       2.218611107,       2.218611107,      0.2850435105,       1.026855822
         168,      -5.768854099,       -4.52049404,      -4.575364498,       -7.33772492,      -1.625310189,       2.662333328,       2.662333328,      0.2848854504,        1.02619918
         169,      -5.770485335,      -4.520068077,      -4.575619251,      -7.335279234,      -1.567742103,       3.194799994,       3.194799994,      0.2846965554,       1.025412993
         170,      -5.771650945,      -4.519642813,      -4.575635231,      -7.332535565,      -1.503891885,       3.833759992,       3.833759992,       0.284471056,       1.024472265
         171,      -5.771838753,      -4.519289283,       -4.57527118,      -7.329416469,      -1.427958442,       4.600511991,       4.600511991,      0.2842021956,       1.023347401
         172,      -5.770599724,      -4.519066419,      -4.574410412,      -7.325890989,      -1.358143927,       5.520614389,       5.520614389,      0.2838820584,       1.022003381
         173,      -5.768414087,      -4.518948796,      -4.573018406,      -7.321785341,      -1.294552006,       6.624737267,       6.624737267,      0.2835013201,       1.020398715
         174,      -5.765853912,      -4.518824229,      -4.571193341,      -7.316783907,      -1.239513009,        7.94968472,        7.94968472,      0.2830488841,       1.018484107
         175,      -5.762741484,      -4.518546438,       -4.56910594,      -7.310502846,      -1.188936614,       9.539621664,       9.539621664,       0.282511378,       1.016200708
         176,      -5.759645517,      -4.518003972,      -4.566852323,       -7.30285142,      -1.117341973,         11.447546,         11.447546,      0.2818724758,        1.01347773
         177,      -5.754290774,      -4.517062407,      -4.564388177,      -7.294059742,      -1.050868352,        13.7370552,        13.7370552,      0.2811118752,       1.010228755
         178,      -5.748259188,      -4.515758488,      -4.561586082,      -7.283704738,     -0.9537255287,       16.48446624,       16.48446624,      0.2802036199,       1.006345927
         179,      -5.739721712,       -4.51383081,      -4.558390662,      -7.271425361,     -0.8149274459,       19.78135948,       19.78135948,      0.2791139399,       1.001692441
         180,      -5.730754144,      -4.511363052,      -4.554650449,       -7.25668141,     -0.6751675959,       23.73763138,       23.73763138,      0.2778003363,       0.996096907
         181,       -5.72531408,      -4.507855963,      -4.550373717,      -7.239250713,     -0.5638108901,       28.48515766,       28.48515766,      0.2762140132,      0.9893530018
         182,      -5.711711601,      -4.503479372,         -4.545533,      -7.220145221,     -0.5224722834,       34.18218919,       34.18218919,        0.27430174,      0.9812154676
         183,       -5.68706148,      -4.497847257,      -4.539769115,       -7.19836421,     -0.5866402794,       41.01862702,       41.01862702,      0.2719923297,      0.9713656353
         184,      -5.669518601,      -4.491061158,      -4.533746033,      -7.174282008,     -0.7788964476,       49.22235243,       49.22235243,      0.2691549629,      0.9593299896
         185,      -5.639075853,       -4.48287957,      -4.526393073,      -7.148797947,     -0.6201291661,       59.06682292,       59.06682292,      0.2655434706,      0.9443861367
         186,      -5.634204819,      -4.472392709,      -4.517838142,      -7.121822207,     -0.3830145974,       59.06682292,       59.06682292,      0.2607721598,       0.925532029
         187,      -5.595712861,      -4.459140565,      -4.507420896,      -7.100427648,     -0.3780885799,       59.06682292,       59.06682292,      0.2555284558,      0.9057213733
         188,      -5.545450486,      -4.447151073,      -4.499493471,      -7.078706736,     -0.4623807176,       59.06682292,       59.06682292,      0.2498436156,      0.8850153448
         189,      -5.548455144,      -4.435160505,      -4.492793541,      -7.057997467,     -0.5932549802,       59.06682292,       59.06682292,      0.2437975608,      0.8635690367
         190,      -5.534844623,      -4.425180311,      -4.486297897,      -7.038745193,     -0.6836029785,       59.06682292,       59.06682292,      0.2375032126,      0.8416061009
