"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      ,   "Cauchy[CD]"   
           0,      -4.271817359,      -16.63075866,      -17.07566589,      -8.703455763,               2.4,               2.4,       1.112644919,       1.399680975,         2.1147583,                 1
           1,      -4.427456464,      -4.314089351,       -4.11590171,      -8.933247222,              2.88,              2.88,       1.193417347,       1.667915338,       2.465169319,   0.0002707265071
           2,      -4.598438079,      -4.516313437,      -4.317035275,      -9.245918601,             3.456,             3.456,       1.251696037,       1.873767958,        2.73987382,   0.0004569656214
           3,      -4.698082242,      -4.624130862,       -4.41911351,      -9.495455828,            4.1472,            4.1472,        1.28749395,       2.021493958,       2.936491865,   0.0005681829605
           4,      -4.762349764,      -4.693723016,       -4.47900673,      -9.703084783,           4.97664,           4.97664,       1.303486348,       2.120154732,       3.064814388,   0.0006172587267
           5,       -4.81167146,      -4.749302105,      -4.524810927,      -9.821526778,          5.971968,          5.971968,       1.304260994,       2.182466844,       3.142014554,   0.0006196344683
           6,      -4.853967711,      -4.798976196,      -4.564759551,      -9.914085824,         7.1663616,         7.1663616,       1.295408192,       2.221524739,       3.186570125,   0.0006469704147
           7,      -4.892776672,      -4.845490921,      -4.601582347,      -10.00001572,        8.59963392,        8.59963392,       1.282082846,       2.248159272,       3.213979042,   0.0006885444712
           8,      -4.929887173,      -4.889770704,      -4.636444742,      -10.06570692,        10.3195607,        10.3195607,       1.268049659,       2.269826831,       3.234958641,   0.0007328114673
           9,      -4.966248139,      -4.932210903,       -4.66992158,      -10.12801959,       12.38347284,       12.38347284,        1.25551087,       2.290849334,       3.255701094,   0.0007727594719
          10,      -5.002271558,      -4.973096206,      -4.702342301,       -10.1824219,       14.86016741,       14.86016741,       1.245578384,       2.313521429,       3.279450188,   0.0008046562547
          11,      -5.038140323,      -5.012641657,      -4.733753991,      -10.23473387,        17.8322009,        17.8322009,       1.238609925,       2.338931274,       3.307662958,   0.0008271603838
          12,      -5.073668007,       -5.05082002,      -4.763957144,      -10.28279983,       21.39864108,       21.39864108,       1.234519397,       2.367484787,       3.340785113,   0.0008404142163
          13,      -5.108239895,      -5.087125637,      -4.792376502,      -10.32898745,       25.67836929,       25.67836929,       1.232891067,       2.399134675,       3.378577454,   0.0008456971785
          14,      -5.140590191,      -5.120251306,      -4.817728074,       -10.3690684,       30.81404315,       30.81404315,       1.232966216,       2.433421548,       3.420150956,   0.0008459409776
          15,      -5.168378568,      -5.147525929,      -4.837678202,      -10.40255884,       36.97685178,       36.97685178,       1.233570575,       2.469487489,        3.46392902,   0.0008479006824
          16,      -5.188099168,      -5.164479288,      -4.848735896,      -10.42694192,       3.697685178,       3.697685178,       1.232929005,       2.506010148,       3.507439485,   0.0008499821329
          17,      -5.196038867,      -5.165440348,      -4.847490758,      -10.44090095,       4.437222213,       4.437222213,        1.23286129,       2.509620917,       3.511735352,   0.0008502018339
          18,      -5.192571079,      -5.162154869,      -4.843707415,      -10.43895261,       5.324666656,       5.324666656,       1.232753878,        2.51385822,       3.516759272,   0.0008505503597
          19,      -5.188482594,      -5.157944959,      -4.839182881,      -10.43658979,       6.389599987,       6.389599987,       1.232582679,        2.51880413,       3.522595865,   0.0008511059385
          20,      -5.183709775,      -5.152479956,      -4.833767467,      -10.43377438,       7.667519985,       7.667519985,       1.232309618,       2.524542603,       3.529324191,   0.0008519922775
          21,      -5.178188186,      -5.145386067,      -4.827287676,      -10.43051553,       9.201023982,       9.201023982,       1.231875329,       2.531153582,       3.537006698,   0.0008534024492
          22,      -5.171840125,       -5.13630637,      -4.819561277,      -10.42683667,       11.04122878,       11.04122878,       1.231187843,       2.538705391,       3.545674217,   0.0008556360192
          23,      -5.164559561,      -5.124949708,      -4.810434354,      -10.42237225,       13.24947453,       13.24947453,       1.230102984,       2.547245944,       3.555306022,   0.0008591637204
          24,       -5.15620972,      -5.111079971,      -4.799840668,      -10.41682814,       15.89936944,       15.89936944,       1.228390423,       2.556791861,       3.565800212,   0.0008647403226
          25,      -5.146663703,       -5.09443799,      -4.787858682,      -10.41021966,       19.07924333,       19.07924333,       1.225691529,       2.567304818,       3.576915125,   0.0008735480633
