"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      ,   "Cauchy[CD]"   
           0,      -4.578636817,      -16.70064335,      -17.53053051,      -9.160880734,               2.4,               2.4,      0.5049588401,      0.7616087911,       1.066585652,                 1
           1,      -4.734998597,      -4.619200998,       -4.46370756,      -9.303050917,              2.88,              2.88,      0.5645511057,      0.9096082507,       1.266140764,   0.0004222276067
           2,      -4.904169683,      -4.814672139,      -4.648710038,      -9.535183791,             3.456,             3.456,       0.602023209,       1.024420448,       1.422031763,   0.0006712020833
           3,      -5.002909908,      -4.927189152,      -4.740315337,      -9.736296084,            4.1472,            4.1472,      0.6237669349,       1.104442745,       1.530537356,   0.0008106370208
           4,       -5.06637068,      -4.999734092,      -4.795910184,      -9.960620289,           4.97664,           4.97664,      0.6345597236,        1.15512695,       1.598766747,   0.0008786702618
           5,      -5.114993532,      -5.054209773,      -4.840234471,       -10.0549007,          5.971968,          5.971968,      0.6376317292,       1.184825869,       1.638052643,   0.0008979416089
           6,      -5.156634508,      -5.099787586,       -4.87978561,      -10.13863493,         7.1663616,         7.1663616,      0.6355702582,       1.201553114,       1.659361197,   0.0009109156012
           7,      -5.194702289,      -5.141101967,      -4.916647319,      -10.23275659,        8.59963392,        8.59963392,      0.6304373063,       1.211371981,       1.671037907,   0.0009434831663
           8,      -5.230817409,      -5.180602671,      -4.951813369,      -10.30386907,        10.3195607,        10.3195607,       0.623705574,       1.218174438,       1.678466109,   0.0009866556666
           9,      -5.265842954,      -5.219304864,      -4.985810685,      -10.36459821,       12.38347284,       12.38347284,      0.6162416871,       1.223996997,       1.684476165,    0.001035103456
          10,      -5.300106568,      -5.257486485,      -5.018950927,       -10.4255545,       14.86016741,       14.86016741,      0.6084525191,       1.229621378,        1.69016583,    0.001086309871
          11,      -5.333596305,      -5.295016605,      -5.051388138,      -10.48294536,        17.8322009,        17.8322009,      0.6004694745,       1.235163373,       1.695707684,    0.001139488558
          12,      -5.366167845,      -5.331488975,      -5.082981903,      -10.53383177,       21.39864108,       21.39864108,      0.5922649409,       1.240486084,       1.700908739,    0.001194899797
          13,      -5.397398855,      -5.366257349,      -5.113246657,      -10.58372942,       25.67836929,       25.67836929,      0.5837468289,         1.2454941,       1.705604814,    0.001253268334
          14,      -5.426596743,      -5.398266687,      -5.141204618,       -10.6269951,       30.81404315,       30.81404315,      0.5747256183,       1.250213662,        1.70974993,    0.001316054542
          15,      -5.452350021,      -5.425784224,      -5.165367294,      -10.66607888,       36.97685178,       36.97685178,      0.5648338136,       1.254718141,       1.713287831,    0.001386105622
          16,       -5.47259228,      -5.446217762,      -5.183768514,      -10.69673082,       44.37222213,       44.37222213,      0.5534129804,       1.259008799,       1.715941532,     0.00146865398
          17,      -5.484993709,      -5.456396008,      -5.194373234,      -10.71873888,       4.437222213,       4.437222213,      0.5394767803,        1.26306641,       1.717203748,    0.001571985212
          18,      -5.488347184,      -5.453712174,      -5.196016777,      -10.73567584,       5.324666656,       5.324666656,      0.5380725532,       1.263469083,       1.717317464,    0.001582424155
          19,      -5.483780786,      -5.452142399,      -5.192786236,      -10.73381667,       6.389599987,       6.389599987,      0.5363805656,       1.263935823,       1.717423812,    0.001595041969
          20,       -5.47871786,      -5.449462222,      -5.188944816,      -10.73192055,       7.667519985,       7.667519985,      0.5343386821,       1.264473598,       1.717509378,    0.001610327282
          21,      -5.473256817,      -5.444959456,      -5.184365578,      -10.73006738,       9.201023982,       9.201023982,      0.5318687667,       1.265091634,       1.717556182,    0.001628902657
