"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
           0,       -5.95352472,      -5.198333737,      -5.679736532,      -9.109215775,        7.21549408,               2.4,               2.4,      0.1264047009,       1.165644362
           1,      -6.151202347,      -5.285513575,      -5.522782509,      -3.565220396,       12.12366904,              2.88,              2.88,      0.1265361415,       1.166398772
           2,      -6.405628027,      -5.359118459,      -5.479033491,      -3.862601533,       11.52160565,             3.456,             3.456,      0.1266637039,       1.167096224
           3,      -6.610739428,      -5.406632655,      -5.537683809,      -3.985473905,       10.91952765,            4.1472,            4.1472,      0.1267570568,       1.167620735
           4,      -6.661984097,      -5.432007498,      -5.663658698,      -4.022881227,       10.31738831,           4.97664,           4.97664,      0.1268049326,       1.167919921
           5,      -6.767433852,      -5.451560535,      -5.806854752,      -4.033282782,         9.7149988,          5.971968,          5.971968,      0.1268154264,       1.168026601
           6,      -6.921122555,      -5.476790008,      -5.916281059,      -4.037608987,       9.111601158,         7.1663616,         7.1663616,      0.1268082013,       1.168025651
           7,      -6.969062873,      -5.507141665,      -5.975264397,      -4.045260164,       8.504168192,        8.59963392,        8.59963392,      0.1268008492,       1.167998696
           8,      -7.045107687,      -5.535186906,      -5.983155769,       -4.07292201,       7.880735981,        10.3195607,        10.3195607,      0.1268004169,         1.1679863
           9,      -7.188658978,      -5.556703893,      -5.980865878,      -4.177716346,        7.19566153,       12.38347284,       12.38347284,      0.1268049248,       1.167990463
          10,      -7.275108128,      -5.573436303,      -5.987376115,      -4.544303716,       6.293140251,       14.86016741,       14.86016741,      0.1268102931,        1.16800072
          11,      -7.331383192,      -5.588187352,      -5.995333272,      -5.617752547,       4.764114133,        17.8322009,        17.8322009,      0.1268149619,       1.168012021
          12,      -7.399722918,      -5.601970607,      -6.003745639,      -6.466630349,       3.151532893,       21.39864108,       21.39864108,      0.1268198567,       1.168025396
          13,      -7.442143148,      -5.615019124,      -6.011749636,      -6.528772864,       2.172291826,       25.67836929,       25.67836929,      0.1268265862,       1.168042931
          14,      -7.438046258,      -5.627920403,      -6.016390586,        -6.5926978,      0.5163231881,       30.81404315,       30.81404315,      0.1268364649,       1.168065485
          15,      -7.412474961,      -5.641346424,      -6.017799242,      -6.657965174,     -0.4042947293,       36.97685178,       36.97685178,      0.1268502516,       1.168092505
          16,      -7.386988252,      -5.655697302,      -6.018267827,      -6.723653952,     -0.4678632852,       44.37222213,       44.37222213,      0.1268676193,       1.168121747
          17,      -7.362216788,      -5.671186997,      -6.019135331,      -6.788181498,     -0.5205714834,       53.24666656,       53.24666656,      0.1268865617,       1.168148933
          18,      -7.337447594,      -5.687996114,      -6.020689687,      -6.849023307,     -0.4977655027,       63.89599987,       63.89599987,      0.1269040507,       1.168169265
          19,      -7.314708621,      -5.706229259,      -6.023237386,      -6.904079945,     -0.4114527549,       76.67519985,       76.67519985,      0.1269181121,       1.168180793
          20,      -7.295716459,      -5.725991646,      -6.027183624,      -6.956302995,     -0.3725489857,       92.01023982,       92.01023982,      0.1269290354,       1.168185452
          21,      -7.281152024,       -5.74733435,      -6.032936714,      -7.016979726,     -0.4652648473,       110.4122878,       110.4122878,      0.1269376656,       1.168185151
          22,      -7.270885217,      -5.770299085,      -6.040898931,      -7.100175553,     -0.5721073149,       132.4947453,       132.4947453,       0.126942348,        1.16817631
          23,      -7.265117637,      -5.794938731,      -6.051273418,       -7.21095038,     -0.1527090004,       158.9936944,       158.9936944,      0.1269384428,        1.16814862
          24,      -7.263941005,      -5.821374784,      -6.064545206,      -7.335209479,      0.1405931318,       190.7924333,       190.7924333,      0.1269229195,       1.168092305
          25,      -7.267653374,      -5.849936041,      -6.081039192,      -7.442904384,      0.3940087582,       228.9509199,       228.9509199,      0.1269007757,       1.168012123
          26,      -7.277042981,      -5.881204437,      -6.101369979,      -7.523092101,      0.6090944856,       228.9509199,       228.9509199,      0.1268846199,       1.167935458
          27,      -7.292378172,      -5.916006312,      -6.126256797,      -7.600722552,      0.6593735023,       228.9509199,       228.9509199,      0.1268823159,       1.167897789
          28,      -7.326217469,      -5.954443427,      -6.160799876,      -7.677660182,      0.6115675041,       228.9509199,       228.9509199,      0.1268880352,       1.167895298
          29,      -7.362465104,      -5.996619236,      -6.200484507,      -7.753960513,       0.505898244,       228.9509199,       228.9509199,      0.1268930844,        1.16791145
          30,      -7.400781452,      -6.042380963,      -6.243416946,      -7.826503875,      0.3876639586,       228.9509199,       228.9509199,       0.126890682,       1.167928264
          31,      -7.443237285,       -6.09130203,      -6.289586143,      -7.894112297,      0.2928556979,       228.9509199,       228.9509199,      0.1268774395,       1.167933205
          32,      -7.489749753,      -6.142801944,      -6.338804933,      -7.956616574,      0.2232260579,       228.9509199,       228.9509199,      0.1268532637,       1.167921409
          33,      -7.540502868,      -6.196790387,      -6.390567464,      -8.013995147,      0.1628613971,       22.89509199,       22.89509199,      0.1268206397,       1.167894795
          34,      -7.594587694,      -6.253023407,      -6.444740138,       -8.06804152,    -0.08539265493,       27.47411039,       27.47411039,      0.1268167242,       1.167890361
          35,      -7.911067658,      -6.280744824,      -6.553561482,       -8.07203358,     -0.5975932533,       32.96893247,       32.96893247,      0.1268113281,       1.167885026
          36,      -8.045145269,      -6.309786795,      -6.640609656,      -8.076898931,     -0.7761635821,       39.56271897,       39.56271897,      0.1268035258,       1.167877549
          37,      -7.918232702,      -6.347892657,      -6.657426392,      -8.082794644,     -0.7297255245,       47.47526276,       47.47526276,      0.1267931842,       1.167867114
          38,      -7.892899827,      -6.390647719,       -6.66821172,      -8.089889449,     -0.6501907922,       56.97031531,       56.97031531,      0.1267808471,       1.167854113
          39,      -7.918017908,      -6.435773187,      -6.696744495,      -8.098367948,     -0.5889345809,       68.36437837,       68.36437837,      0.1267671698,       1.167839668
          40,      -7.944061281,      -6.484078756,      -6.734224684,      -8.108426282,     -0.5354784824,       82.03725405,       82.03725405,      0.1267524923,       1.167824664
          41,      -7.968434524,      -6.536237481,      -6.774676377,      -8.120277184,     -0.4682369984,       98.44470486,       98.44470486,      0.1267368588,       1.167809282
          42,       -7.99953706,      -6.592118813,      -6.818807154,      -8.134135139,     -0.3775962524,       118.1336458,       118.1336458,      0.1267202333,       1.167793326
          43,      -8.038787752,      -6.651391048,      -6.867705065,      -8.150254411,     -0.2721324883,        141.760375,        141.760375,      0.1267025329,       1.167776864
          44,       -8.08435075,      -6.713706165,      -6.921063889,      -8.168978808,     -0.1767347331,        14.1760375,        14.1760375,      0.1266835017,       1.167760607
          45,      -8.135073338,      -6.778573942,      -6.978104741,      -8.191760732,     -0.5946894724,         17.011245,         17.011245,      0.1266815046,       1.167758612
