"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
           0,      -5.047249752,      -4.085862983,      -4.002484061,       -7.19752782,      -1.408467785,               2.4,               2.4,      0.3443848627,       1.262778294
           1,      -5.084137848,       -4.10115264,      -4.026494599,      -7.118016294,      -1.185393993,              2.88,              2.88,      0.3443851696,       1.262778503
           2,       -5.01724562,      -4.112019396,      -4.063595746,      -7.120184557,     -0.9388147969,             3.456,             3.456,      0.3443861081,       1.262781784
           3,      -4.930910294,      -4.116849221,      -4.117549148,      -7.165477109,      -0.692892454,            4.1472,            4.1472,      0.3443877701,       1.262790748
           4,      -4.876866802,      -4.115317677,      -4.189770273,      -7.190359225,     -0.4154554816,           4.97664,           4.97664,      0.3443894075,       1.262808925
           5,      -4.863327201,      -4.109195309,      -4.277808499,      -7.142821602,     -0.1909027671,          5.971968,          5.971968,      0.3443864815,       1.262836379
           6,      -4.883333816,       -4.10199195,      -4.374033937,       -7.08286186,    -0.02058162158,         7.1663616,         7.1663616,      0.3443586363,       1.262847335
           7,      -4.921836962,      -4.097508673,      -4.460199982,      -7.060332449,      0.4166475279,        8.59963392,        8.59963392,      0.3442278286,       1.262714227
           8,      -4.962247745,      -4.098131446,      -4.500500307,      -7.072707963,      0.9492222374,        10.3195607,        10.3195607,      0.3437465665,       1.262022885
           9,      -4.996404325,      -4.103861373,      -4.480234571,      -7.097686792,       1.309250272,       12.38347284,       12.38347284,      0.3422897686,       1.259772467
          10,      -5.026733633,       -4.11234432,       -4.43999099,      -7.113535463,       1.553349055,       14.86016741,       14.86016741,      0.3386475972,       1.254184556
          11,      -5.060138738,      -4.120274075,      -4.414722698,      -7.113357383,       1.689989187,        17.8322009,        17.8322009,      0.3311380584,       1.243185109
          12,      -5.100709915,      -4.125640775,      -4.408373305,      -7.109356875,       1.721135763,       21.39864108,       21.39864108,      0.3183506654,       1.225928457
          13,      -5.144204988,      -4.128559469,      -4.408628018,      -7.109315775,       1.651097743,       25.67836929,       25.67836929,      0.3002036988,         1.2043934
          14,      -5.181166313,      -4.130251882,      -4.403344927,      -7.104269961,       1.548393004,       30.81404315,       30.81404315,       0.278199824,       1.182844142
          15,      -5.204441215,      -4.131829428,      -4.388737866,      -7.087103431,       1.587920448,       36.97685178,       36.97685178,      0.2548849542,        1.16517675
          16,      -5.212749432,      -4.134273783,      -4.368387331,      -7.072964453,       1.691074927,       44.37222213,       44.37222213,      0.2328907912,       1.152118414
          17,      -5.214497373,      -4.138343465,      -4.345069163,      -7.075661511,       1.772223933,       53.24666656,       53.24666656,      0.2149939097,       1.141770222
          18,      -5.218574546,      -4.145421475,      -4.322104498,       -7.09204722,       1.799191531,       63.89599987,       63.89599987,      0.2042649411,        1.13264053
          19,      -5.225265397,      -4.157579462,      -4.304346705,      -7.107077393,       1.709813941,       76.67519985,       76.67519985,      0.2031918572,       1.126219993
          20,      -5.228810635,      -4.176671846,      -4.298651177,      -7.104224718,       1.154793829,       92.01023982,       92.01023982,       0.211806982,       1.127143524
          21,      -5.244588615,      -4.203002786,      -4.307321926,      -7.099929062,       1.138336784,       92.01023982,       92.01023982,       0.227388476,       1.141274956
          22,      -5.283882599,      -4.237249495,      -4.327520523,      -7.151291634,       1.102394842,       9.201023982,       9.201023982,      0.2436956561,       1.166152681
          23,      -5.340116607,      -4.278290729,      -4.365481823,      -7.448480053,      0.1524078914,       11.04122878,       11.04122878,      0.2453728874,       1.168792438
          24,      -5.380589787,      -4.288831305,      -4.482770778,      -7.347761396,      0.1405769125,       13.24947453,       13.24947453,      0.2473746021,       1.172112074
          25,      -5.532434192,      -4.306219271,      -4.574149512,       -7.34936393,      0.1783234793,       15.89936944,       15.89936944,      0.2497519646,       1.176278986
          26,      -5.612692527,      -4.334142861,       -4.58879108,       -7.44471058,      0.2307257057,       19.07924333,       19.07924333,      0.2525632642,       1.181499778
          27,      -5.596295868,      -4.366536682,      -4.564489073,       -7.50783222,      0.3121272528,       22.89509199,       22.89509199,      0.2558999067,       1.188092132
          28,      -5.571473295,      -4.398741204,      -4.560264524,      -7.497492516,      0.3856325944,       27.47411039,       27.47411039,      0.2599158593,       1.196596806
          29,      -5.567149966,      -4.431439972,      -4.580960664,      -7.465232148,      0.4649305979,       32.96893247,       32.96893247,      0.2647944429,       1.207752518
          30,      -5.573734707,      -4.466617912,      -4.608286356,      -7.451586551,      0.5307800696,       39.56271897,       39.56271897,      0.2706128915,       1.222127757
          31,      -5.572428235,      -4.504201668,      -4.631188803,      -7.445702431,       0.597831531,       47.47526276,       47.47526276,      0.2772938591,       1.239726309
          32,      -5.563523828,      -4.542063981,      -4.650937451,      -7.431887391,       0.668329069,       56.97031531,       56.97031531,      0.2848342334,       1.260136752
          33,      -5.554896878,      -4.578220142,      -4.671901363,      -7.409258213,       0.788588066,       68.36437837,       68.36437837,      0.2936095658,       1.283150292
          34,      -5.557057418,      -4.611407007,      -4.687933833,      -7.387264888,      0.8065229024,       82.03725405,       82.03725405,      0.3042474687,       1.308867965
          35,      -5.573612494,      -4.640013302,      -4.698024584,      -7.368874093,      0.7455163423,       8.203725405,       8.203725405,      0.3170284835,       1.336956351
          36,      -5.606112633,      -4.662743518,      -4.703357744,      -7.493051741,     -0.1832650825,       9.844470486,       9.844470486,      0.3183168132,       1.339769024
          37,      -5.617849383,      -4.666247649,      -4.736173929,      -7.473345892,     -0.1650692923,       11.81336458,       11.81336458,      0.3198598898,       1.343095324
          38,      -5.648721608,      -4.669875022,       -4.75518748,      -7.456085118,     -0.0817597054,        14.1760375,        14.1760375,      0.3217071007,       1.347016994
          39,      -5.667779153,      -4.675862104,      -4.761090996,      -7.452661741,     0.02504805274,         17.011245,         17.011245,       0.323918231,       1.351616872
          40,      -5.675753096,      -4.682847125,      -4.758791728,         -7.451137,      0.1206073064,         20.413494,         20.413494,      0.3265699161,       1.356987365
          41,      -5.680656844,      -4.689141331,      -4.754787712,       -7.44192699,      0.1700114817,        24.4961928,        24.4961928,      0.3297684673,       1.363277296
          42,      -5.686034354,      -4.694345848,      -4.751850063,      -7.426145581,      0.1072625879,       29.39543136,       29.39543136,      0.3336513712,       1.370744969
          43,       -5.69396337,      -4.698908276,      -4.748755911,       -7.40651755,      0.2054851863,       35.27451763,       35.27451763,      0.3383087661,       1.379607782
          44,      -5.703956443,      -4.703317629,      -4.744075028,      -7.385084462,      0.4699156575,       42.32942116,       42.32942116,      0.3435991915,       1.389556108
          45,      -5.713887168,       -4.70774248,      -4.737957515,      -7.362352755,      0.6609281129,       50.79530539,       50.79530539,      0.3490384828,       1.399384046
          46,      -5.721851287,       -4.71226243,      -4.731209152,      -7.338167469,       0.752231211,       60.95436647,       60.95436647,      0.3539424011,       1.407302872
          47,        -5.7281549,      -4.716698242,      -4.724267176,      -7.314632404,      0.7269554453,       73.14523976,       73.14523976,       0.357645356,       1.411580697
          48,      -5.734874394,      -4.720376178,      -4.717354814,      -7.293408057,      0.6430407548,       7.314523976,       7.314523976,      0.3595432558,       1.410776527
          49,      -5.742266486,      -4.722614287,      -4.710907234,       -7.35788774,     -0.3245559464,       8.777428771,       8.777428771,      0.3597100446,       1.410641983
          50,      -5.763119204,       -4.72172265,      -4.721915222,      -7.349941229,     -0.2807945861,       10.53291453,       10.53291453,       0.359875513,       1.410401192
          51,      -5.796793275,      -4.720853924,      -4.728295275,      -7.341957243,     -0.1741562341,       12.63949743,       12.63949743,      0.3600248975,       1.409999074
          52,      -5.816669002,      -4.721484236,      -4.730938362,      -7.338213367,    -0.04533209779,       15.16739692,       15.16739692,      0.3601332391,        1.40934932
          53,      -5.824467579,      -4.722766942,      -4.730967117,      -7.335485314,     0.08710062906,        18.2008763,        18.2008763,      0.3601580623,       1.408314775
          54,      -5.826840472,      -4.723763346,      -4.730050464,      -7.330998117,      0.2000241831,       21.84105156,       21.84105156,      0.3600347992,       1.406699971
          55,      -5.826662803,      -4.724428875,      -4.729156875,      -7.325152307,      0.2348609598,       26.20926187,       26.20926187,      0.3596987759,       1.404316381
          56,       -5.82747633,       -4.72510111,      -4.727736651,      -7.319037171,      0.1962404712,       31.45111425,       31.45111425,      0.3591347773,       1.401113812
          57,      -5.829500884,      -4.725904477,      -4.725364793,      -7.313322128,      0.1916302908,        37.7413371,        37.7413371,      0.3583669543,       1.397150436
          58,      -5.829858328,      -4.726646148,      -4.721703825,      -7.307501173,      0.2122825237,       45.28960451,       45.28960451,      0.3573387432,       1.392274826
          59,      -5.828703324,      -4.727042583,      -4.717315577,      -7.301521071,      0.2492788137,       54.34752542,       54.34752542,      0.3558895762,       1.386027274
          60,      -5.824596356,      -4.726603417,      -4.713028811,      -7.295177811,      0.3090337179,        65.2170305,        65.2170305,      0.3540285157,       1.378281729
          61,      -5.816453085,      -4.724858028,      -4.709505174,      -7.288456877,      0.3816398305,        78.2604366,        78.2604366,      0.3522340745,       1.370044725
          62,      -5.801858705,      -4.721098557,      -4.707372563,      -7.280951751,      0.5051879507,        7.82604366,        7.82604366,      0.3513497865,         1.3633718
