"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
           0,      -4.142190653,      -16.58680164,       -17.0423383,      -8.959968109,               2.4,               2.4,      0.8234554899,       1.381861621,       1.986624812
           1,       -4.29788132,      -4.261538254,      -4.011463234,      -9.082859317,              2.88,              2.88,       0.955482908,       1.689150479,       2.403673458
           2,      -4.466200634,       -4.45467527,      -4.194896491,      -9.306462047,             3.456,             3.456,       1.049639765,       1.917842386,       2.719643617
           3,      -4.565162985,      -4.552624119,      -4.289204975,      -9.504272786,            4.1472,            4.1472,       1.111976972,       2.075569051,       2.938617285
           4,      -4.628932399,      -4.616414605,      -4.346876134,      -9.684100274,           4.97664,           4.97664,       1.149640536,        2.17631889,       3.077836359
           5,      -4.677955514,      -4.667265685,      -4.391921017,      -9.790204277,          5.971968,          5.971968,       1.169744198,       2.237103309,       3.160565632
