"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
           0,      -8.539051161,      -8.780359715,       -8.29714306,      -10.74319423,               2.4,               2.4,      0.1639869108,      0.8667541705,      0.9249299111
           1,      -8.798235239,      -8.780600395,      -8.357333059,      -10.74319166,              2.88,              2.88,      0.1639867256,      0.8667533925,      0.9249285092
           2,      -9.102990266,      -8.802267637,      -8.625341506,      -10.74318952,             3.456,             3.456,      0.1639866519,      0.8667532344,      0.9249281906
           3,       -9.18755695,      -8.800980122,      -8.607473257,      -10.74318979,            4.1472,            4.1472,      0.1639869126,      0.8667547233,      0.9249307742
           4,      -9.081487758,      -8.807759708,      -8.810094759,      -10.74319477,           4.97664,           4.97664,      0.1639867819,      0.8667541344,      0.9249297005
           5,      -8.987909054,      -8.794746865,      -8.487009081,      -10.74320622,          5.971968,          5.971968,      0.1639872618,      0.8667567572,      0.9249342683
           6,      -8.898140467,      -8.794926074,      -8.459754643,      -10.74322441,         7.1663616,         7.1663616,      0.1639870717,      0.8667558381,       0.924932603
           7,      -8.808830866,      -8.791477792,      -8.412021414,      -10.74324781,        8.59963392,        8.59963392,      0.1639874086,      0.8667577296,      0.9249358672
           8,      -8.741880927,      -8.783700045,        -8.3391601,      -10.74327433,        10.3195607,        10.3195607,        0.16398716,      0.8667565479,      0.9249337191
           9,      -8.637251258,       -8.76193698,      -8.223727704,      -10.74330307,       12.38347284,       12.38347284,      0.1639866563,      0.8667540094,      0.9249291732
          10,      -8.657520397,       -8.76559435,      -8.249708239,      -10.74333538,       14.86016741,       14.86016741,      0.1639870972,       0.866756454,      0.9249333768
          11,      -8.765330388,      -8.788059234,      -8.355709191,       -10.7433743,        17.8322009,        17.8322009,      0.1639879395,      0.8667613844,      0.9249419031
          12,      -8.698003205,      -8.779319245,      -8.274795968,      -10.74342333,       21.39864108,       21.39864108,      0.1639874372,      0.8667590349,      0.9249376293
          13,      -8.642308999,      -8.753957929,      -8.176760037,      -10.74348597,       25.67836929,       25.67836929,      0.1639864011,      0.8667539427,      0.9249285017
          14,      -8.628050942,      -8.748614659,      -8.165398498,      -10.74356651,       30.81404315,       30.81404315,      0.1639876542,      0.8667608441,      0.9249404393
          15,      -8.759783155,      -8.788771522,      -8.333914622,      -10.74367103,       36.97685178,       36.97685178,      0.1639882182,       0.866764701,      0.9249469396
          16,      -8.655514553,       -8.77388431,      -8.219001433,      -10.74380767,       44.37222213,       44.37222213,      0.1639875563,      0.8667617294,      0.9249414247
          17,      -8.678403538,      -8.778706868,      -8.240627718,      -10.74398658,       44.37222213,       44.37222213,      0.1639871105,      0.8667603354,      0.9249385919
          18,      -8.592518901,      -8.753633707,      -8.155962119,      -10.74429807,       44.37222213,       44.37222213,      0.1639871219,      0.8667607847,      0.9249390451
          19,      -8.497596293,      -8.731208758,      -8.084060107,      -10.74460751,       53.24666656,       53.24666656,      0.1639857007,      0.8667541316,      0.9249269683
          20,      -8.493844838,      -8.752953787,       -8.13229181,      -10.74483954,       53.24666656,       53.24666656,      0.1639861264,      0.8667570174,      0.9249316159
          21,      -8.507576448,      -8.757441862,      -8.143954702,      -10.74522972,       5.324666656,       5.324666656,      0.1639857634,      0.8667564865,      0.9249301868
          22,       -8.51358801,      -8.748239279,      -8.119218708,      -10.74608799,       6.389599987,       6.389599987,       0.163986087,      0.8667581162,      0.9249330204
          23,      -8.596914629,      -8.791917078,      -8.345859565,      -10.74607403,       7.667519985,       7.667519985,      0.1639861053,      0.8667585318,      0.9249336784
          24,      -8.615077874,      -8.806719048,      -8.466028684,      -10.74607799,       9.201023982,       9.201023982,      0.1639868186,      0.8667623984,      0.9249404123
          25,      -8.639047462,      -8.775437526,      -8.252916895,      -10.74610095,       11.04122878,       11.04122878,      0.1639869413,      0.8667633973,      0.9249420725
          26,      -8.558265316,       -8.77925205,      -8.249983271,      -10.74613672,       13.24947453,       13.24947453,      0.1639869495,      0.8667634682,      0.9249421158
          27,       -8.55610957,       -8.78398802,       -8.27870508,      -10.74617773,       15.89936944,       15.89936944,      0.1639865917,       0.866761984,      0.9249393774
