"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
          39,      -5.964698539,       -4.80143052,      -4.941980973,      -6.151238367,     -0.5273236273,         20.413494,         20.413494,      0.1384659989,        1.18564742,       1.203740741
          40,      -5.961629173,      -4.817329646,      -4.953844311,      -6.157752984,     -0.5296381969,        24.4961928,        24.4961928,      0.1376971536,       1.183883868,       1.201423068
          41,      -5.925595476,      -4.828092096,      -4.946339396,      -6.165713201,     -0.5340590734,       29.39543136,       29.39543136,      0.1366497511,        1.18201188,       1.199050282
          42,      -5.927883763,      -4.853398833,      -4.968761389,       -6.17547443,     -0.5425624853,       35.27451763,       35.27451763,       0.135314824,        1.18026468,       1.196853461
          43,      -5.942292039,      -4.879628312,      -4.985830293,      -6.187480765,     -0.5537992182,       42.32942116,       42.32942116,      0.1338000132,       1.178825352,       1.195169098
          44,      -5.952916801,      -4.908122683,      -4.997254103,      -6.202300844,     -0.5662507833,       50.79530539,       50.79530539,      0.1327633148,       1.178862554,       1.195212094
          45,      -5.963267518,      -4.930446288,      -5.006141842,      -6.220647084,     -0.5771968732,       5.079530539,       5.079530539,      0.1319103616,        1.17920608,       1.195766236
          46,      -5.968962755,      -4.942268691,      -5.016079119,      -6.243690347,     -0.8228819393,       6.095436647,       6.095436647,      0.1320506705,       1.179345891,       1.195660471
          47,      -5.990660904,       -4.94794364,      -5.048362239,      -6.245259302,     -0.8194942322,       7.314523976,       7.314523976,      0.1317607501,       1.178584056,       1.194736678
          48,      -5.996744487,      -4.949698162,      -5.056938041,      -6.247167143,     -0.8157357081,       8.777428771,       8.777428771,      0.1314964479,       1.178049049,       1.194143945
          49,      -6.009166266,      -4.952999163,      -5.064172957,      -6.249488046,     -0.8115153036,       10.53291453,       10.53291453,      0.1312855738,       1.177838429,       1.193955539
          50,      -6.008833308,       -4.95269637,      -5.065531405,      -6.252315571,     -0.8073554924,       12.63949743,       12.63949743,        0.13114091,       1.177932547,       1.194105044
          51,      -6.013084433,      -4.954203281,      -5.068591973,      -6.255767752,      -0.803220336,       15.16739692,       15.16739692,      0.1310642034,       1.178212136,       1.194497122
          52,      -6.018294546,      -4.955310616,      -5.071754352,       -6.25999746,     -0.7986899395,        18.2008763,        18.2008763,      0.1310586954,       1.178498144,       1.194925276
          53,      -6.025865903,      -4.956507086,      -5.075234641,      -6.265200312,     -0.7934706508,       21.84105156,       21.84105156,      0.1311688355,       1.178812518,        1.19542261
          54,      -6.033019137,      -4.955638347,      -5.076880398,      -6.271625692,     -0.7879964941,       26.20926187,       26.20926187,      0.1316353595,       1.179742114,       1.196482947
          55,      -6.042837064,      -4.954329039,       -5.07943629,      -6.279591087,     -0.7810552992,       31.45111425,       31.45111425,      0.1318817344,        1.18027971,       1.197172447
          56,      -6.052126288,      -4.951531659,      -5.078977942,      -6.289498908,     -0.7721781715,        37.7413371,        37.7413371,      0.1318030553,       1.180250302,       1.197202626
          57,      -6.039084658,       -4.94338208,      -5.065087864,      -6.301857784,     -0.7621655189,       45.28960451,       45.28960451,      0.1311831556,       1.179306207,       1.196159743
          58,      -6.080728221,       -4.94803614,      -5.070667381,      -6.317317668,     -0.7550085552,       4.528960451,       4.528960451,      0.1301831315,       1.177625352,       1.194052578
          59,      -6.097135486,      -4.945994542,      -5.059596967,      -6.336531866,      -1.002864532,       5.434752542,       5.434752542,      0.1301341104,       1.177289159,         1.1934921
          60,      -6.129370837,      -4.948430818,        -5.0737813,      -6.337885865,      -0.997527782,        6.52170305,        6.52170305,      0.1299805904,         1.1768182,       1.192834356
