"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
           0,      -8.684884979,      -6.949766008,      -7.136545784,      -9.333354998,               2.4,               2.4,      0.1530247533,       1.014995439,       1.061171304
           1,      -8.684911374,      -6.949782507,      -7.136565705,      -9.333386963,              2.88,              2.88,      0.1530244903,       1.014995734,       1.061171294
           2,      -8.684956964,      -6.949802381,       -7.13658891,      -9.333425407,             3.456,             3.456,      0.1530241699,       1.014996095,       1.061171282
           3,      -8.685024886,      -6.949826055,      -7.136616091,       -9.33347165,            4.1472,            4.1472,      0.1530237815,       1.014996535,       1.061171269
           4,      -8.685115725,      -6.949853879,      -7.136648206,       -9.33352725,           4.97664,           4.97664,      0.1530233136,       1.014997069,       1.061171258
           5,      -8.685227311,       -6.94988614,      -7.136686566,      -9.333594029,          5.971968,          5.971968,      0.1530227526,        1.01499772,       1.061171253
           6,      -8.685355672,      -6.949923129,      -7.136732867,      -9.333674103,         7.1663616,         7.1663616,      0.1530220821,       1.014998517,       1.061171263
           7,      -8.685497137,      -6.949965197,      -7.136789184,      -9.333769957,        8.59963392,        8.59963392,      0.1530212828,         1.0149995,         1.0611713
           8,      -8.685650418,      -6.950012694,       -7.13685808,      -9.333884549,        10.3195607,        10.3195607,      0.1530203326,       1.015000722,       1.061171387
           9,      -8.685817547,      -6.950065668,      -7.136942994,      -9.334021427,       12.38347284,       12.38347284,      0.1530192068,        1.01500225,       1.061171558
          10,      -8.686002411,      -6.950123339,      -7.137049066,      -9.334184808,       14.86016741,       14.86016741,      0.1530178763,       1.015004162,        1.06117185
          11,      -8.686205643,      -6.950183437,      -7.137184348,      -9.334379616,        17.8322009,        17.8322009,      0.1530163015,       1.015006528,       1.061172291
          12,      -8.686413245,       -6.95024143,      -7.137361427,      -9.334611692,       21.39864108,       21.39864108,      0.1530144213,       1.015009384,       1.061172856
          13,      -8.686567345,      -6.950290332,      -7.137599509,       -9.33488882,       21.39864108,       21.39864108,      0.1530121452,       1.015012731,        1.06117346
          14,       -8.68660042,      -6.950325995,      -7.137911222,      -9.335261405,       21.39864108,       21.39864108,       0.153009832,       1.015015884,       1.061173867
          15,       -8.68648703,      -6.950360728,      -7.138236594,      -9.335627388,       21.39864108,       21.39864108,      0.1530074659,       1.015018858,       1.061174064
          16,      -8.686310859,      -6.950395897,      -7.138570608,      -9.335987005,       21.39864108,       21.39864108,      0.1530050584,        1.01502172,       1.061174113
          17,      -8.686118876,      -6.950432585,      -7.138909008,      -9.336340324,       21.39864108,       21.39864108,      0.1530026325,       1.015024557,       1.061174111
          18,      -8.685938417,      -6.950472449,       -7.13924713,      -9.336687376,       21.39864108,       21.39864108,      0.1530002112,       1.015027451,       1.061174156
          19,      -8.685782986,      -6.950517122,       -7.13958085,      -9.337028186,       21.39864108,       21.39864108,      0.1529978111,       1.015030454,       1.061174318
          20,      -8.685656758,      -6.950567792,      -7.139907183,      -9.337362782,       21.39864108,       21.39864108,       0.152995441,       1.015033589,       1.061174631
          21,       -8.68555919,      -6.950625112,      -7.140224308,       -9.33769119,       21.39864108,       21.39864108,      0.1529931018,       1.015036852,       1.061175099
          22,      -8.685489358,       -6.95068926,      -7.140531343,      -9.338013435,       21.39864108,       21.39864108,      0.1529907893,       1.015040225,       1.061175702
          23,      -8.685448789,       -6.95076002,        -7.1408281,       -9.33832954,       21.39864108,       21.39864108,      0.1529884962,       1.015043679,       1.061176412
          24,      -8.685441773,      -6.950836873,      -7.141114901,      -9.338639531,       2.139864108,       2.139864108,      0.1529862144,       1.015047188,       1.061177193
          25,      -8.685473455,      -6.950919079,      -7.141392434,      -9.339164686,       2.567836929,       2.567836929,      0.1529860243,        1.01504748,       1.061177258
          26,      -8.685383426,      -6.950943855,      -7.141412661,      -9.339187674,       3.081404315,       3.081404315,      0.1529857795,       1.015047856,       1.061177342
          27,      -8.685319288,      -6.950973995,      -7.141434507,      -9.339215504,       3.697685178,       3.697685178,      0.1529854677,       1.015048335,       1.061177449
          28,      -8.685306771,       -6.95100982,      -7.141458487,      -9.339249208,       4.437222213,       4.437222213,      0.1529850787,       1.015048931,       1.061177582
          29,      -8.685357496,      -6.951051277,      -7.141485693,      -9.339289981,       5.324666656,       5.324666656,      0.1529846032,       1.015049658,       1.061177745
          30,      -8.685466415,      -6.951098059,      -7.141517932,      -9.339339168,       6.389599987,       6.389599987,      0.1529840291,       1.015050535,       1.061177943
          31,      -8.685618249,      -6.951149973,       -7.14155747,      -9.339398274,       7.667519985,       7.667519985,      0.1529833396,       1.015051591,       1.061178183
          32,      -8.685796766,      -6.951207423,       -7.14160645,      -9.339469007,       9.201023982,       9.201023982,      0.1529825127,       1.015052863,       1.061178476
          33,      -8.685990729,      -6.951271637,      -7.141666484,      -9.339553376,       11.04122878,       11.04122878,      0.1529815214,       1.015054398,       1.061178838
          34,      -8.686197639,      -6.951344182,      -7.141739113,      -9.339653809,       13.24947453,       13.24947453,       0.152980333,       1.015056252,       1.061179285
          35,      -8.686423368,      -6.951425648,      -7.141827468,      -9.339773219,       15.89936944,       15.89936944,      0.1529789071,        1.01505849,       1.061179832
          36,      -8.686675664,       -6.95151401,      -7.141938706,      -9.339915042,       19.07924333,       19.07924333,      0.1529771927,       1.015061175,       1.061180485
          37,      -8.686950107,       -6.95160349,      -7.142086472,      -9.340083623,       22.89509199,       22.89509199,      0.1529751239,       1.015064363,       1.061181228
          38,      -8.687204339,      -6.951685981,      -7.142290492,      -9.340285921,       2.289509199,       2.289509199,      0.1529726229,       1.015068138,       1.061182053
          39,      -8.687474005,      -6.951760957,      -7.142544888,      -9.340819211,       2.747411039,       2.747411039,      0.1529724147,       1.015068448,       1.061182119
          40,       -8.68738509,      -6.951785953,      -7.142564652,      -9.340839962,       3.296893247,       3.296893247,      0.1529721459,       1.015068845,         1.0611822
          41,      -8.687316334,      -6.951816153,      -7.142586556,       -9.34086509,       3.956271897,       3.956271897,      0.1529718023,       1.015069347,       1.061182299
          42,      -8.687296174,      -6.951851676,      -7.142611248,       -9.34089551,       4.747526276,       4.747526276,      0.1529713726,       1.015069963,       1.061182415
          43,      -8.687337226,      -6.951892261,      -7.142639873,      -9.340932279,       5.697031531,       5.697031531,      0.1529708456,       1.015070705,       1.061182545
          44,      -8.687435402,      -6.951937431,      -7.142674239,      -9.340976606,       6.836437837,       6.836437837,      0.1529702065,       1.015071586,       1.061182688
          45,      -8.687578707,      -6.951986817,      -7.142716721,      -9.341029862,       8.203725405,       8.203725405,      0.1529694346,       1.015072628,       1.061182842
          46,        -8.6877553,      -6.952040474,      -7.142769977,       -9.34109361,       9.844470486,       9.844470486,      0.1529685039,       1.015073862,       1.061183008
          47,      -8.687956658,      -6.952098931,      -7.142836768,      -9.341169642,       11.81336458,       11.81336458,      0.1529673833,       1.015075332,       1.061183193
          48,      -8.688181677,      -6.952162664,      -7.142920268,      -9.341260062,        14.1760375,        14.1760375,      0.1529660381,       1.015077104,       1.061183416
          49,      -8.688439053,      -6.952230945,      -7.143025239,      -9.341367365,         17.011245,         17.011245,        0.15296443,       1.015079264,       1.061183715
          50,      -8.688743656,      -6.952300464,      -7.143159911,      -9.341494556,         20.413494,         20.413494,      0.1529625174,       1.015081932,        1.06118415
          51,       -8.68909854,      -6.952364721,      -7.143338157,      -9.341645876,        24.4961928,        24.4961928,      0.1529602525,       1.015085248,       1.061184802
          52,      -8.689491525,       -6.95241778,      -7.143572835,      -9.341830329,        2.44961928,        2.44961928,      0.1529575857,       1.015089428,        1.06118581
          53,      -8.690085308,      -6.952467558,      -7.143827087,      -9.342368795,       2.939543136,       2.939543136,      0.1529573657,       1.015089769,        1.06118589
          54,      -8.690011979,      -6.952492737,      -7.143849926,      -9.342386709,       3.527451763,       3.527451763,      0.1529570796,       1.015090209,       1.061185992
          55,      -8.689959935,      -6.952522291,      -7.143876892,      -9.342408367,       4.232942116,       4.232942116,      0.1529567132,       1.015090768,        1.06118612
          56,      -8.689965999,      -6.952555955,      -7.143908768,      -9.342434498,       5.079530539,       5.079530539,      0.1529562556,       1.015091457,       1.061186273
          57,      -8.690046595,       -6.95259331,      -7.143946128,      -9.342465967,       6.095436647,       6.095436647,      0.1529556963,       1.015092288,       1.061186453
          58,      -8.690197294,      -6.952634145,      -7.143989467,      -9.342503823,       7.314523976,       7.314523976,       0.152955021,       1.015093283,       1.061186665
          59,       -8.69040526,      -6.952678692,      -7.144039526,      -9.342549329,       8.777428771,       8.777428771,      0.1529542105,       1.015094474,        1.06118692
          60,      -8.690658887,      -6.952727534,      -7.144097882,      -9.342603923,       10.53291453,       10.53291453,      0.1529532411,       1.015095913,       1.061187238
          61,      -8.690948984,       -6.95278115,       -7.14416754,      -9.342669153,       12.63949743,       12.63949743,      0.1529520859,       1.015097671,       1.061187655
          62,      -8.691270658,      -6.952839256,      -7.144253213,      -9.342746699,       15.16739692,       15.16739692,      0.1529507153,       1.015099848,       1.061188225
          63,      -8.691622915,      -6.952899983,      -7.144361828,        -9.3428385,        18.2008763,        18.2008763,      0.1529490967,       1.015102567,       1.061189024
          64,      -8.691999282,      -6.952958917,      -7.144504271,      -9.342947062,       21.84105156,       21.84105156,      0.1529471895,       1.015105963,       1.061190131
          65,      -8.692356569,      -6.953008993,       -7.14469825,      -9.343076643,       2.184105156,       2.184105156,      0.1529449347,       1.015110161,       1.061191607
          66,      -8.692653391,      -6.953046588,      -7.144951877,      -9.343530902,       2.620926187,       2.620926187,      0.1529447467,       1.015110512,       1.061191731
          67,      -8.692582575,      -6.953066405,      -7.144970863,       -9.34354338,       3.145111425,       3.145111425,      0.1529445059,       1.015110961,        1.06119189
          68,      -8.692532908,      -6.953090628,      -7.144991611,      -9.343558584,        3.77413371,        3.77413371,      0.1529441999,       1.015111532,       1.061192092
          69,      -8.692531557,      -6.953119357,      -7.145014755,      -9.343577124,       4.528960451,       4.528960451,      0.1529438186,        1.01511224,       1.061192342
          70,        -8.6925914,      -6.953152267,      -7.145041572,      -9.343599685,       5.434752542,       5.434752542,      0.1529433525,       1.015113102,       1.061192646
          71,      -8.692709185,      -6.953188708,      -7.145074176,      -9.343627006,        6.52170305,        6.52170305,       0.152942789,       1.015114137,       1.061193009
          72,      -8.692873315,      -6.953228006,      -7.145115403,      -9.343659866,        7.82604366,        7.82604366,      0.1529421102,       1.015115372,       1.061193438
          73,      -8.693071536,      -6.953269843,      -7.145168443,      -9.343699105,       9.391252392,       9.391252392,      0.1529412924,       1.015116841,       1.061193941
          74,      -8.693291871,      -6.953314397,      -7.145236661,      -9.343745684,       11.26950287,       11.26950287,      0.1529403055,       1.015118584,       1.061194524
          75,      -8.693522732,      -6.953361869,      -7.145324147,      -9.343800746,       13.52340344,       13.52340344,      0.1529391125,        1.01512065,       1.061195195
          76,       -8.69375169,       -6.95341128,      -7.145437299,      -9.343865657,       16.22808413,       16.22808413,      0.1529376694,       1.015123101,       1.061195961
          77,      -8.693957048,      -6.953458965,      -7.145587225,      -9.343942009,       19.47370096,       19.47370096,      0.1529359253,       1.015126015,       1.061196838
          78,      -8.694089047,      -6.953497641,      -7.145792391,      -9.344032082,       23.36844115,       23.36844115,      0.1529338224,       1.015129498,       1.061197856
          79,      -8.694049486,      -6.953518636,      -7.146076804,      -9.344141084,       2.336844115,       2.336844115,      0.1529313017,       1.015133725,       1.061199105
          80,      -8.693844407,       -6.95352392,       -7.14643123,      -9.344599594,       2.804212938,       2.804212938,      0.1529310925,       1.015134072,       1.061199206
          81,      -8.693722828,      -6.953542752,      -7.146462296,       -9.34460905,       3.365055526,       3.365055526,      0.1529308219,       1.015134519,       1.061199334
          82,      -8.693615555,      -6.953565335,      -7.146498115,      -9.344620621,       4.038066631,       4.038066631,      0.1529304759,       1.015135085,       1.061199493
          83,      -8.693553289,      -6.953591433,      -7.146539985,      -9.344634756,       4.845679957,       4.845679957,      0.1529300437,       1.015135783,       1.061199686
          84,      -8.693546704,      -6.953620434,      -7.146589724,       -9.34465196,       5.814815949,       5.814815949,      0.1529295147,       1.015136629,       1.061199914
          85,      -8.693586986,      -6.953651565,       -7.14664979,      -9.344672792,       6.977779139,       6.977779139,      0.1529288748,        1.01513764,       1.061200182
          86,      -8.693657478,      -6.953684217,      -7.146723222,      -9.344697858,       8.373334966,       8.373334966,      0.1529281047,       1.015138848,       1.061200496
