"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
          39,      -5.783571986,      -4.444933373,      -4.635579863,      -7.164857482,      -2.984346241,       68.36437837,       68.36437837,      0.2157528075,       1.124965575,       1.276081196
          40,      -5.773169501,      -4.440935839,      -4.629453163,      -7.168154199,      -2.976518168,       82.03725405,       82.03725405,      0.2188006798,        1.13269363,        1.28741664
          41,      -5.780955791,      -4.437439362,      -4.623871425,      -7.166505908,      -2.960868151,       8.203725405,       8.203725405,       0.222336453,       1.141668484,       1.300499831
          42,      -5.732580945,      -4.430661756,      -4.613882107,      -7.201350139,      -3.010372869,       9.844470486,       9.844470486,      0.2226836452,       1.142542686,       1.301773813
          43,      -5.885036569,      -4.438143333,      -4.634551497,      -7.202128597,      -3.060999566,       11.81336458,       11.81336458,      0.2231009682,       1.143598896,       1.303310826
          44,      -5.999520604,      -4.441700006,      -4.652926382,      -7.198353609,       -3.04916984,        14.1760375,        14.1760375,      0.2235999465,       1.144865071,        1.30514981
          45,        -6.0839905,      -4.444943012,      -4.658493254,      -7.196256434,      -3.075185858,         17.011245,         17.011245,       0.224194449,       1.146374451,       1.307337111
          46,      -6.082657093,      -4.448173395,      -4.655452112,      -7.193806257,      -3.110218457,         20.413494,         20.413494,      0.2249009277,       1.148166961,       1.309927845
          47,      -6.060592358,      -4.450406817,      -4.651185556,       -7.18957522,      -3.123907579,        24.4961928,        24.4961928,      0.2257374629,       1.150287112,       1.312981881
          48,      -6.027213118,      -4.451581123,      -4.648770361,      -7.183631873,      -3.116370957,       29.39543136,       29.39543136,      0.2267227905,       1.152783051,       1.316561565
          49,      -5.983539557,      -4.452199423,      -4.646607691,      -7.176071594,      -3.095148285,       35.27451763,       35.27451763,      0.2278754754,        1.15570422,       1.320727464
          50,      -5.948297732,       -4.45233264,      -4.643329696,      -7.167165001,      -3.066287701,       42.32942116,       42.32942116,      0.2292157763,       1.159104533,       1.325544217
          51,      -5.901757875,      -4.451730538,      -4.638045334,      -7.157107229,      -3.030023677,       50.79530539,       50.79530539,      0.2307666662,       1.163036843,       1.331073927
          52,      -5.869131965,      -4.450064654,      -4.632236394,      -7.145976079,      -2.988682037,       60.95436647,       60.95436647,      0.2325536493,       1.167543801,       1.337363268
          53,       -5.82689195,      -4.446887689,      -4.626401797,      -7.133624099,      -2.937702348,       73.14523976,       73.14523976,      0.2346016304,       1.172643865,       1.344419289
          54,      -5.782481008,      -4.442130999,      -4.619537965,      -7.120675631,      -2.878276956,       73.14523976,       73.14523976,      0.2369279132,       1.178336506,       1.352205262
          55,      -5.746057044,      -4.435481771,      -4.612426439,      -7.113237169,      -2.840874386,       73.14523976,       73.14523976,      0.2390954585,       1.183561501,       1.359224804
          56,      -5.740205398,      -4.430891233,      -4.609103818,      -7.103851243,      -2.773459953,       73.14523976,       73.14523976,      0.2410585859,        1.18825205,       1.365343311
          57,      -5.732656591,      -4.427236076,      -4.607661555,      -7.094258667,      -2.748865412,       73.14523976,       73.14523976,      0.2427676442,       1.192325006,       1.370409706
          58,      -5.736456271,      -4.424685691,      -4.607819578,      -7.083308133,      -2.737674424,       73.14523976,       73.14523976,      0.2441935188,       1.195737066,       1.374352561
