"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      ,   "Cauchy[CD]"   
          31,       -4.94941331,      -4.735657765,      -4.570271672,      -4.864051191,    -0.09025760741,       39.56271897,       39.56271897,       1.064498269,       2.605568691,       3.518507899,    0.003464876119
          32,       -4.94748573,      -4.698438899,      -4.559310228,      -4.894130021,     -0.1202685238,       47.47526276,       47.47526276,       1.027378087,        2.58145238,       3.462939802,     0.00360940006
          33,       -4.94695544,      -4.663071343,      -4.547929412,      -4.921224194,     -0.1472877682,       4.747526276,       4.747526276,      0.9794590654,       2.540150446,       3.379637795,    0.003805095921
          34,      -4.950886288,      -4.627646473,      -4.537884544,      -4.950572152,     -0.1766218845,       5.697031531,       5.697031531,      0.9745624347,       2.535922897,       3.371112894,    0.003825193682
          35,      -4.948702897,      -4.623072018,      -4.534990909,      -4.953368739,     -0.1794164619,       6.836437837,       6.836437837,      0.9686379329,       2.530672855,        3.36064571,     0.00384965897
          36,      -4.946392497,      -4.617468975,      -4.531518882,      -4.956687762,     -0.1827323321,       8.203725405,       8.203725405,      0.9614705692,       2.524118432,       3.347752712,    0.003879477309
          37,      -4.944032632,      -4.610591684,      -4.527394243,      -4.960619375,      -0.186659056,       9.844470486,       9.844470486,      0.9527986273,       2.515891789,       3.331816675,    0.003915883499
          38,      -4.941724094,       -4.60217006,       -4.52256759,      -4.965266661,     -0.1912987686,       11.81336458,       11.81336458,      0.9423070522,       2.505508503,       3.312046689,    0.003960419195
          39,      -4.939568488,       -4.59195701,       -4.51704263,      -4.970746744,     -0.1967670369,        14.1760375,        14.1760375,      0.9296202535,       2.492326649,        3.28742592,    0.004015008361
          40,      -4.937627985,       -4.57980726,      -4.510912154,      -4.977191866,     -0.2031935971,         17.011245,         17.011245,      0.9142946353,       2.475491536,       3.256642873,    0.004082057287
          41,      -4.935883287,      -4.565767341,      -4.504396132,      -4.984750586,     -0.2107230482,         20.413494,         20.413494,      0.8958103944,       2.453859546,       3.217999238,    0.004164593685
          42,      -4.934229385,        -4.5501326,      -4.497872362,      -4.993589332,     -0.2195155368,        24.4961928,        24.4961928,      0.8735593997,       2.425891769,        3.16928309,    0.004266480264
          43,       -4.93255617,      -4.533438425,      -4.491887728,      -5.003894854,     -0.2297482916,       29.39543136,       29.39543136,      0.8468202293,       2.389508242,       3.107592519,    0.004392784145
          44,      -4.930921034,      -4.516414168,      -4.487141041,      -5.015878265,      -0.241618386,       35.27451763,       35.27451763,      0.8147104064,       2.341910267,       3.029110611,    0.004550434386
          45,      -4.929733337,      -4.500003441,      -4.484453634,      -5.029782978,     -0.2553487143,       42.32942116,       42.32942116,      0.7761156853,       2.279409082,       2.928853253,    0.004749346594
          46,       -4.92984702,      -4.485534039,      -4.484791985,       -5.04589514,     -0.2711929426,       50.79530539,       50.79530539,      0.7296861016,       2.197425017,       2.800557995,    0.005003864714
          47,      -4.932589722,      -4.475049792,      -4.489561051,      -5.064562979,       -0.28944178,       5.079530539,       5.079530539,       0.674006629,       2.090875949,       2.636907764,    0.005334303438
          48,       -4.94011574,      -4.471405898,      -4.501389888,      -5.086238235,     -0.3107669506,       6.095436647,       6.095436647,       0.668404354,       2.080092895,       2.620377953,      0.0053678297
          49,      -4.942525349,       -4.46992652,      -4.501300461,      -5.088328877,     -0.3128039471,       7.314523976,       7.314523976,      0.6616770223,       2.067030702,       2.600394701,    0.005408498071
          50,      -4.942930197,      -4.467667408,      -4.501141363,      -5.090829832,      -0.315238075,       8.777428771,       8.777428771,      0.6536008032,       2.051187784,       2.576211052,    0.005457924076
          51,      -4.942975417,      -4.464888717,      -4.501045761,      -5.093819943,     -0.3181446281,       10.53291453,       10.53291453,      0.6439065761,       2.031945189,       2.546907299,    0.005518145403
          52,       -4.94328742,      -4.461569009,       -4.50119877,      -5.097392622,     -0.3216121161,       12.63949743,       12.63949743,      0.6322732242,       2.008541295,       2.511353289,    0.005591742396
          53,      -4.944221892,       -4.45772879,      -4.501900652,      -5.101658719,     -0.3257446272,       15.16739692,       15.16739692,      0.6183181986,       1.980038392,       2.468156081,    0.005682019703
          54,      -4.946053585,      -4.453462574,      -4.503597646,      -5.106749166,     -0.3306637565,        18.2008763,        18.2008763,      0.6015901726,       1.945291458,       2.415605538,    0.005793245097
          55,       -4.94901977,      -4.448980571,      -4.506897164,      -5.112818934,     -0.3365116115,       21.84105156,       21.84105156,      0.5815610325,       1.902914586,       2.351606138,    0.005931006323
          56,       -4.95339186,      -4.444610257,       -4.51253176,       -5.12005091,     -0.3434529464,       26.20926187,       26.20926187,      0.5576254706,       1.851266922,       2.273620391,    0.006102702654
          57,      -4.959552975,      -4.440727431,      -4.521231106,      -5.128661445,      -0.351678631,       31.45111425,       31.45111425,      0.5291154883,       1.788481378,       2.178649548,    0.006318232026
          58,      -4.968003908,      -4.437629116,      -4.533430518,      -5.138907713,     -0.3614108012,        37.7413371,        37.7413371,      0.4953458788,       1.712577415,       2.063306536,    0.006590927215
          59,      -4.979236621,       -4.43545649,      -4.548758509,      -5.151096842,     -0.3729089924,       45.28960451,       45.28960451,      0.4557311136,       1.621745383,       1.924116319,    0.006938630183
          60,      -4.993471862,      -4.434347178,      -4.565471566,      -5.165598326,     -0.3864875144,       45.28960451,       45.28960451,      0.4100377809,       1.514933209,       1.758269489,    0.007384377721
          61,      -5.010420812,      -4.434888409,      -4.580566739,       -5.18286541,     -0.4026919288,       4.528960451,       4.528960451,      0.3666509461,       1.411777456,       1.595614848,    0.007857708939
          62,      -5.025063879,      -4.435298275,      -4.588966438,      -5.199974073,     -0.4191389692,       5.434752542,       5.434752542,      0.3622886239,       1.401379158,       1.579200284,    0.007905872993
          63,      -5.025826104,      -4.434367653,      -4.588841613,       -5.20163247,     -0.4206840974,        6.52170305,        6.52170305,      0.3570867721,        1.38895247,         1.5595465,    0.007964142883
          64,      -5.026299667,      -4.432791769,      -4.588501849,      -5.203622395,     -0.4225360242,        7.82604366,        7.82604366,      0.3508974363,       1.374128945,       1.536046611,    0.008034697241
          65,      -5.026822743,       -4.43091598,       -4.58804496,      -5.206011098,     -0.4247558448,       9.391252392,       9.391252392,      0.3435514478,       1.356482541,       1.507989787,    0.008120227238
          66,      -5.027468676,      -4.428797451,      -4.587472232,      -5.208878969,     -0.4274174876,       11.26950287,       11.26950287,      0.3348591747,       1.335528799,        1.47455384,    0.008224059221
          67,      -5.028274563,      -4.426487825,      -4.586780196,      -5.212322754,      -0.430610262,       13.52340344,       13.52340344,      0.3246139754,       1.310729561,       1.434804149,    0.008350303931
          68,      -5.029265754,      -4.424081532,      -4.585970247,      -5.216459118,     -0.4344370916,       16.22808413,       16.22808413,      0.3126002011,       1.281507483,       1.387704826,     0.00850403095
          69,      -5.030457416,      -4.421743248,      -4.585048063,      -5.221428975,     -0.4390230906,       19.47370096,       19.47370096,      0.2986090059,       1.247277121,       1.332151905,    0.008691449212
          70,      -5.031856102,      -4.419734162,      -4.584021027,      -5.227402969,     -0.4445188069,       23.36844115,       23.36844115,      0.2824671102,       1.207502303,       1.267043883,     0.00892003364
          71,       -5.03346379,      -4.418437273,      -4.582902052,      -5.234588138,     -0.4511056223,       28.04212938,       28.04212938,      0.2640861694,       1.161796111,       1.191417647,    0.009198441872
          72,      -5.035278325,      -4.418378096,      -4.581738472,      -5.243236167,     -0.4590027043,       33.65055526,       33.65055526,      0.2435410166,       1.110089373,       1.104698246,    0.009535882407
