"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      ,   "Cauchy[CD]"   
           0,      -3.885803188,      -16.42796761,       -16.9301031,     -0.6825817797,       4.055724245,               2.4,               2.4,      0.5280899011,      0.7636648354,       1.129894455,                 1
           1,      -4.049334016,      -3.744537166,      -3.712238107,      -1.256333551,       3.484308537,              2.88,              2.88,      0.7441346204,       1.283923145,       1.833524324,    0.001161320618
           2,      -4.215121871,      -4.175968718,      -3.967204413,      -1.810729941,       2.933486123,             3.456,             3.456,      0.9116312033,       1.670915087,       2.366905594,    0.001896251946
           3,      -4.312684405,      -4.280631015,      -4.048327152,      -2.330299642,       2.419874718,            4.1472,            4.1472,       1.024972323,       1.938120886,       2.736659912,    0.002338570699
           4,      -4.381319927,       -4.35283859,      -4.096232479,      -2.782596571,       1.976305682,           4.97664,           4.97664,       1.095194658,        2.10779002,       2.971200066,    0.002595045052
           5,      -4.433194373,      -4.409657764,      -4.136704695,      -3.124023601,       1.643488381,          5.971968,          5.971968,       1.133746937,         2.2059957,       3.106122413,    0.002731062278
           6,      -4.475715501,      -4.456766452,      -4.174690739,      -3.353116076,       1.418476348,         7.1663616,         7.1663616,       1.151456428,       2.258066413,       3.176562853,    0.002792582595
           7,      -4.513694511,      -4.497781136,      -4.210813691,      -3.515281329,       1.256927484,        8.59963392,        8.59963392,       1.157366013,       2.284847562,       3.211519688,    0.002813006852
           8,      -4.549663159,      -4.535443652,      -4.245232164,      -3.646077376,       1.125820387,        10.3195607,        10.3195607,       1.157989654,       2.301057469,       3.231458488,    0.002815161071
           9,      -4.584730038,      -4.571418274,      -4.278037166,      -3.761160732,       1.010527492,       12.38347284,       12.38347284,       1.157276529,       2.315516742,        3.24863987,    0.002817625912
          10,       -4.61918487,      -4.606316967,      -4.309164158,      -3.866895991,       0.904836065,       14.86016741,       14.86016741,       1.157177472,       2.332652474,       3.269216605,    0.002817968319
          11,      -4.652730208,      -4.639905515,      -4.338233758,      -3.966110745,      0.8058438791,        17.8322009,        17.8322009,       1.158317245,       2.354169491,       3.295513467,    0.002821904281
          12,      -4.684444957,      -4.671112328,      -4.364246127,      -4.060193808,      0.7120971329,       21.39864108,       21.39864108,       1.160442472,       2.380247923,       3.327613315,    0.002829229857
          13,      -4.712484738,      -4.697634089,      -4.385244578,      -4.149950947,      0.6227670676,       25.67836929,       25.67836929,       1.162627401,       2.410263228,       3.364260194,    0.002836747068
          14,      -4.734055446,      -4.715423365,      -4.398178937,      -4.235907305,      0.5373280667,       30.81404315,       30.81404315,       1.163206185,       2.443002828,       3.403015345,    0.002838737375
          15,      -4.746249086,      -4.718738234,      -4.399954413,      -4.318519967,      0.4553211267,       36.97685178,       36.97685178,        1.15953671,       2.476493644,       3.439804172,    0.002851395794
          16,      -4.748398845,      -4.701687893,      -4.390007064,      -4.398165422,      0.3763437185,       3.697685178,       3.697685178,       1.147622516,       2.507191511,       3.467557983,    0.002892922318
          17,      -4.743991306,        -4.6616393,      -4.372316373,      -4.475131212,      0.2996989774,       4.437222213,       4.437222213,       1.146329108,       2.510191348,        3.47018706,    0.002897435535
          18,      -4.739479215,      -4.654523384,       -4.36745207,      -4.482589394,      0.2922840897,       5.324666656,       5.324666656,       1.144663436,        2.51364922,       3.473093512,    0.002903256191
          19,      -4.734389361,      -4.645508171,      -4.361747128,      -4.491301711,      0.2836215663,       6.389599987,       6.389599987,       1.142500931,       2.517589866,       3.476216962,    0.002910827315
          20,      -4.728761785,      -4.634093095,      -4.355094477,       -4.50143419,      0.2735450209,       7.667519985,       7.667519985,       1.139665279,       2.522019203,        3.47943654,    0.002920779895
          21,      -4.722703055,      -4.619741393,      -4.347370118,      -4.513140388,      0.2619000149,       9.201023982,       9.201023982,       1.135904633,       2.526907054,       3.482530863,    0.002934022717
          22,      -4.716405611,      -4.601923288,      -4.338436784,      -4.526549638,      0.2485552473,       11.04122878,       11.04122878,       1.130862894,       2.532136864,       3.485098521,    0.002951855962
          23,      -4.710082425,       -4.58034404,      -4.328263603,      -4.541805923,      0.2333631267,       13.24947453,       13.24947453,       1.124024813,       2.537471014,       3.486474747,    0.002976190235
