"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
           0,      -4.080704348,      -16.53706592,      -17.01613145,      -8.940124507,               2.4,               2.4,      0.8035621941,       1.380873078,       1.978033548
           1,      -4.236398134,      -4.202882188,      -3.951355345,      -9.051058908,              2.88,              2.88,      0.9386609716,       1.690571233,       2.399245394
           2,      -4.404784236,      -4.395583754,      -4.133559079,      -9.265753946,             3.456,             3.456,       1.034903947,       1.920661561,       2.717750366
           3,      -4.503740477,      -4.493399421,      -4.227361896,      -9.462264613,            4.1472,            4.1472,       1.098650525,       2.078941159,       2.937953206
           4,      -4.567474816,      -4.557271996,      -4.284928782,      -9.636358164,           4.97664,           4.97664,       1.137366026,       2.179714104,        3.07759342
           5,      -4.616453036,      -4.608188034,      -4.329964097,      -9.739840311,          5.971968,          5.971968,       1.158354834,       2.240206549,       3.160277898
