"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      ,   "Cauchy[CD]"   
           0,      -4.669917056,      -16.79838887,      -17.60323561,      -9.448285389,               2.4,               2.4,      0.4255089582,      0.7560204904,       1.044361947,                 1
           1,      -4.826054075,      -4.742281238,      -4.559882476,      -9.536411964,              2.88,              2.88,      0.4934779349,      0.9107460919,       1.254125424,   0.0005509383255
           2,      -4.993585024,      -4.938304354,      -4.738756228,      -9.730218648,             3.456,             3.456,      0.5374629572,       1.029778525,       1.416668856,   0.0008782912836
           3,      -5.091964527,      -5.050380767,      -4.828511849,      -9.931964947,            4.1472,            4.1472,      0.5643984666,       1.112041599,       1.529088745,    0.001069188396
           4,      -5.155281192,      -5.122043372,      -4.883923743,      -10.13061306,           4.97664,           4.97664,      0.5797298906,       1.163690632,       1.599480774,    0.001174971619
           5,      -5.203814879,      -5.175383928,      -4.928340063,      -10.21161623,          5.971968,          5.971968,       0.587196415,       1.193752226,       1.640107928,    0.001225833812
           6,      -5.245458213,      -5.219099707,      -4.967873791,      -10.28311064,         7.1663616,         7.1663616,      0.5895968689,       1.210715624,       1.662580173,    0.001242119204
           7,      -5.283630196,      -5.257759779,       -5.00453732,      -10.35623244,        8.59963392,        8.59963392,      0.5890034377,       1.220882837,       1.675555809,    0.001246149273
           8,      -5.319906365,      -5.294019931,      -5.039369391,      -10.44083386,        10.3195607,        10.3195607,      0.5867220984,       1.228072083,       1.684298651,     0.00126170239
           9,      -5.354977593,       -5.32927465,      -5.073060543,      -10.49725662,       12.38347284,       12.38347284,      0.5834007788,       1.234091422,       1.691311794,     0.00128447452
          10,      -5.389106488,      -5.364096566,      -5.106069204,      -10.55126841,       14.86016741,       14.86016741,      0.5793038898,       1.239592114,       1.697503604,    0.001312762878
          11,      -5.422502982,      -5.398616823,      -5.138535621,      -10.60415137,        17.8322009,        17.8322009,      0.5745036406,       1.244702239,       1.703051411,    0.001346184767
          12,      -5.455146776,      -5.432685507,      -5.170382815,      -10.65541221,       21.39864108,       21.39864108,      0.5690299685,       1.249472046,       1.708010877,    0.001384661982
          13,      -5.486936019,      -5.465879892,       -5.20128427,      -10.70086947,       25.67836929,       25.67836929,      0.5628669458,       1.253989586,       1.712465719,     0.00142845935
          14,      -5.517351097,      -5.497461725,      -5.230710493,      -10.74475458,       30.81404315,       30.81404315,      0.5559115285,       1.258346624,       1.716472875,    0.001478506287
          15,      -5.545549721,      -5.526272094,      -5.257852132,      -10.78163252,       36.97685178,       36.97685178,      0.5479034113,       1.262558224,       1.719935104,    0.001536970002
          16,      -5.570239171,      -5.550597908,      -5.281536358,      -10.81478598,       44.37222213,       44.37222213,      0.5383895507,       1.266553301,       1.722557077,    0.001607653845
          17,      -5.589807319,      -5.568180642,      -5.300301711,       -10.8402293,       4.437222213,       4.437222213,      0.5267275727,       1.270293073,        1.72395578,    0.001696215588
          18,      -5.602878742,      -5.576516262,      -5.312637289,        -10.857169,       5.324666656,       5.324666656,      0.5255531252,       1.270662085,       1.724083344,    0.001705154342
          19,      -5.599258785,      -5.576039569,      -5.310459701,      -10.85574798,       6.389599987,       6.389599987,      0.5241393008,       1.271088394,       1.724208784,    0.001715944026
          20,      -5.595268434,      -5.574797245,      -5.307897638,      -10.85435993,       7.667519985,       7.667519985,      0.5224358289,       1.271578297,       1.724322178,    0.001728986561
          21,      -5.591008814,      -5.572165583,      -5.304874156,      -10.85308533,       9.201023982,       9.201023982,       0.520380636,        1.27213966,       1.724410218,    0.001744784173
          22,      -5.586566006,      -5.567548596,      -5.301302888,      -10.85195277,       11.04122878,       11.04122878,      0.5178964537,       1.272780564,       1.724452693,    0.001763970884
          23,      -5.581954735,      -5.560640291,       -5.29710419,      -10.85094902,       13.24947453,       13.24947453,      0.5148833419,       1.273510938,       1.724420989,    0.001787378996
          24,      -5.577124594,      -5.551547153,      -5.292208666,      -10.84997073,       15.89936944,       15.89936944,      0.5112053346,       1.274345747,       1.724277936,    0.001816158096
          25,      -5.571983046,      -5.540674327,      -5.286581821,      -10.84841635,       19.07924333,       19.07924333,      0.5066659887,       1.275313015,       1.723980998,    0.001851995085
          26,      -5.566443799,      -5.528446036,      -5.280257227,      -10.84681858,       22.89509199,       22.89509199,      0.5009914344,       1.276469907,       1.723490919,    0.001897301682
          27,      -5.560517954,      -5.515006032,      -5.273336793,      -10.84522071,       27.47411039,       27.47411039,      0.4938931669,       1.277925624,       1.722789023,    0.001954789965
          28,      -5.554358395,      -5.500115127,      -5.265975681,      -10.84380543,       32.96893247,       32.96893247,      0.4852209872,       1.279875634,       1.721906721,    0.002026280523
          29,       -5.54822868,      -5.483288212,      -5.258366114,      -10.84281873,       39.56271897,       39.56271897,      0.4750003763,       1.282659389,       1.720967265,    0.002112348756
          30,      -5.542407702,      -5.464041429,      -5.250722015,      -10.84247224,       3.956271897,       3.956271897,      0.4631471383,       1.286818994,       1.720218432,    0.002214720008
          31,      -5.537070892,      -5.442101078,      -5.243228679,      -10.84905894,       4.747526276,       4.747526276,      0.4619457541,         1.2872566,       1.720152591,    0.002225122824
          32,      -5.534178369,      -5.439988524,      -5.241228779,      -10.84690318,       5.697031531,       5.697031531,      0.4605083159,       1.287794961,       1.720079034,     0.00223760849
          33,      -5.530919073,      -5.437183761,      -5.238853211,      -10.84457156,       6.836437837,       6.836437837,      0.4587913655,       1.288459308,       1.719998919,    0.002252577824
          34,      -5.527330893,      -5.433344008,      -5.236031832,      -10.84215426,       8.203725405,       8.203725405,      0.4567428707,       1.289283295,       1.719915872,     0.00227051785
          35,      -5.523481722,      -5.428016964,      -5.232684849,      -10.83974517,       9.844470486,       9.844470486,      0.4542997366,       1.290311651,       1.719836834,    0.002292029059
          36,      -5.519449623,      -5.420707098,      -5.228728412,      -10.83737264,       11.81336458,       11.81336458,       0.451383517,       1.291603844,       1.719773473,    0.002317871559
          37,      -5.515281527,      -5.411022086,      -5.224086592,      -10.83491734,        14.1760375,        14.1760375,      0.4478934421,       1.293238689,       1.719744119,    0.002349040355
          38,      -5.510943121,       -5.39885249,      -5.218710495,      -10.83210928,         17.011245,         17.011245,      0.4436961703,        1.29531919,       1.719775531,    0.002386879509
          39,      -5.506293313,      -5.384460391,      -5.212600036,      -10.82853598,         20.413494,         20.413494,      0.4386133604,       1.297975309,       1.719902552,    0.002433232952
          40,      -5.501117966,      -5.368372257,      -5.205818209,      -10.82374429,        24.4961928,        24.4961928,      0.4324092453,       1.301360101,       1.720161548,    0.002490624094
          41,      -5.495224295,      -5.351121751,      -5.198481588,      -10.81784703,       29.39543136,       29.39543136,      0.4247780737,       1.305632379,       1.720571107,     0.00256248441
