"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
          39,      -10.33857275,      -8.602549147,       -9.02109002,      -9.732533437,      -2.801390879,         20.413494,         20.413494,      0.1097852368,        1.27178795,       1.259096132
          40,      -10.33717498,      -8.603212258,      -9.018057223,      -9.732065083,      -2.976155707,        24.4961928,        24.4961928,      0.1097851629,       1.271788495,       1.259096596
          41,      -10.33413075,      -8.603775659,      -9.015034089,      -9.731604843,      -3.174940927,       29.39543136,       29.39543136,      0.1097850738,       1.271789148,       1.259097151
          42,      -10.32830619,      -8.604277388,      -9.011093885,       -9.73098112,       -3.39831316,       35.27451763,       35.27451763,      0.1097849683,       1.271789933,       1.259097819
          43,      -10.31957983,      -8.604683322,      -9.006213201,      -9.730218622,      -2.485760558,       42.32942116,       42.32942116,      0.1097848456,        1.27179088,       1.259098627
          44,      -10.30803836,      -8.604933023,      -9.000458557,      -9.729108755,      -2.807688363,       50.79530539,       50.79530539,      0.1097847041,       1.271792023,       1.259099607
          45,      -10.29338778,      -8.604958319,      -8.993642844,      -9.727890956,      -3.169455368,       5.079530539,       5.079530539,      0.1097845406,       1.271793402,       1.259100795
          46,      -10.27517133,      -8.604669936,      -8.985471433,      -9.734855008,      -3.562726813,       6.095436647,       6.095436647,       0.109784526,       1.271793547,       1.259100921
          47,      -10.28364229,      -8.604177685,       -9.00176904,      -9.734870374,      -3.620819082,       7.314523976,       7.314523976,      0.1097845075,       1.271793718,       1.259101068
          48,      -10.29235014,      -8.603131697,      -9.020545965,      -9.734835487,      -3.688530412,       8.777428771,       8.777428771,      0.1097844845,       1.271793919,       1.259101242
          49,      -10.32224911,      -8.602439071,      -9.033234001,       -9.73474419,      -3.767005972,       10.53291453,       10.53291453,      0.1097844562,       1.271794159,       1.259101449
          50,      -10.33900541,      -8.602561683,      -9.036732924,      -9.734590828,      -3.857360465,       12.63949743,       12.63949743,      0.1097844216,       1.271794444,       1.259101695
          51,      -10.34039492,      -8.603323293,      -9.032871022,      -9.734378467,        -3.9607523,       15.16739692,       15.16739692,      0.1097843793,       1.271794785,       1.259101989
          52,      -10.33940484,      -8.604246307,      -9.026904218,      -9.734106317,      -4.216550203,        18.2008763,        18.2008763,      0.1097843271,       1.271795193,       1.259102339
          53,      -10.33829953,      -8.605014194,      -9.022493072,      -9.733766577,      -2.492388452,       21.84105156,       21.84105156,      0.1097842627,       1.271795681,       1.259102757
          54,       -10.3365867,      -8.605599237,      -9.019441308,      -9.733250977,      -2.680737885,       26.20926187,       26.20926187,      0.1097841838,       1.271796263,       1.259103253
          55,      -10.33293206,      -8.606083285,      -9.016165964,       -9.73256908,      -2.895803357,       31.45111425,       31.45111425,      0.1097840885,       1.271796961,       1.259103847
          56,      -10.32634558,      -8.606491175,      -9.011912133,       -9.73196718,      -3.138684627,        37.7413371,        37.7413371,      0.1097839758,         1.2717978,       1.259104562
          57,      -10.31681776,      -8.606781425,      -9.006707912,      -9.731150684,      -2.506250334,       45.28960451,       45.28960451,      0.1097838445,        1.27179881,       1.259105425
          58,      -10.30437659,      -8.606891547,      -9.000560797,      -9.729969133,      -2.851249668,       45.28960451,       45.28960451,      0.1097836927,       1.271800027,       1.259106469
          59,      -10.28866159,      -8.606748966,      -8.993236133,       -9.73032195,      -3.230258428,       45.28960451,       45.28960451,      0.1097835444,       1.271801247,       1.259107517
          60,      -10.28395947,      -8.606302792,      -8.991449959,      -9.730580966,      -3.595983114,       45.28960451,       45.28960451,      0.1097833967,       1.271802467,       1.259108566
          61,      -10.28410487,      -8.605801681,      -8.991071455,      -9.730882688,      -3.944421031,       45.28960451,       45.28960451,      0.1097832481,       1.271803687,       1.259109614
          62,      -10.28436728,      -8.605358273,      -8.990332281,      -9.731187192,      -4.271814611,       45.28960451,       45.28960451,       0.109783098,       1.271804907,        1.25911066
          63,      -10.28399494,      -8.604959873,      -8.989389765,      -9.731488471,      -4.576283809,       45.28960451,       45.28960451,      0.1097829466,       1.271806127,       1.259111706
          64,      -10.28354638,      -8.604588488,      -8.988512934,      -9.731787693,      -4.857852591,       45.28960451,       45.28960451,      0.1097827942,       1.271807346,       1.259112752
          65,      -10.28324018,      -8.604242001,      -8.987733045,       -9.73208277,       -5.11555227,       45.28960451,       45.28960451,      0.1097826411,       1.271808564,       1.259113798
          66,       -10.2830021,      -8.603922063,      -8.987017345,      -9.732368769,      -5.341649672,       45.28960451,       45.28960451,      0.1097824876,       1.271809781,       1.259114843
