"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      ,   "Cauchy[CD]"   
           0,      -4.147509963,      -16.59297264,      -17.04834644,     -0.9408530136,       3.797453011,               2.4,               2.4,       0.521595564,      0.7007948949,       1.048002245,                 1
           1,      -4.309818036,      -4.012867028,      -3.973559099,      -1.506904564,       3.234348472,              2.88,              2.88,      0.7406503618,       1.238282915,       1.774795453,    0.001183040253
           2,      -4.470114469,      -4.479193019,      -4.237669226,      -2.048641246,       2.696871067,             3.456,             3.456,      0.9133902632,        1.63943069,       2.328028589,    0.001939518215
           3,      -4.567467491,      -4.568496774,      -4.318713277,       -2.54752719,       2.204835994,            4.1472,            4.1472,       1.030992348,       1.918075584,       2.713741712,    0.002395785752
           4,      -4.637256171,      -4.630343001,      -4.365924735,      -2.969442305,       1.791824247,           4.97664,           4.97664,       1.104562085,       2.097056444,       2.961244616,    0.002662207126
           5,      -4.690174348,      -4.680485664,      -4.405765413,      -3.280600959,       1.487892358,          5.971968,          5.971968,       1.145574298,       2.202628201,       3.106368538,    0.002805409408
           6,      -4.733401403,      -4.723554221,      -4.443335583,       -3.49236893,       1.278795268,         7.1663616,         7.1663616,       1.165082093,       2.260607047,       3.184911788,    0.002872384242
           7,      -4.771954914,       -4.76246498,      -4.479023268,      -3.646581444,       1.124580199,        8.59963392,        8.59963392,       1.172471856,       2.292522011,       3.226831393,    0.002897595123
           8,      -4.808557115,      -4.799344999,      -4.512867944,      -3.772422415,      0.9981686297,        10.3195607,        10.3195607,        1.17454137,       2.313602903,       3.253331925,     0.00290464303
           9,      -4.844359753,      -4.835360621,      -4.545076657,       -3.88329344,      0.8868916727,       12.38347284,       12.38347284,       1.175423694,       2.332932215,       3.277082868,    0.002907645602
          10,      -4.879712749,       -4.87084595,      -4.575853622,      -3.985141752,      0.7848815035,       14.86016741,       14.86016741,       1.177188852,        2.35501119,       3.304404389,     0.00291364348
          11,      -4.914593978,      -4.905626377,      -4.605195169,      -4.080831756,       0.689206642,        17.8322009,        17.8322009,       1.180525273,       2.381419076,       3.337537409,     0.00292494835
          12,       -4.94859593,      -4.939115011,       -4.63280505,      -4.171921543,      0.5982491336,       21.39864108,       21.39864108,       1.185256126,       2.412053009,       3.376314947,     0.00294091402
          13,      -4.980787405,      -4.970164725,      -4.657938724,      -4.259293027,      0.5110897904,       25.67836929,       25.67836929,       1.190629246,       2.445893218,       3.419180012,    0.002958965383
          14,      -5.009538961,      -4.996731781,      -4.679114376,      -4.343424016,      0.4272282119,       30.81404315,       30.81404315,        1.19547617,       2.481523922,       3.463863395,    0.002975182935
          15,      -5.032455909,      -5.015517501,      -4.693921316,      -4.424524901,       0.346445333,       36.97685178,       36.97685178,       1.198193659,       2.517329873,       3.507578286,    0.002984254889
