"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
          39,      -6.847605516,      -5.354025206,      -5.632734909,      -4.755309225,     0.02403005868,       6.836437837,       6.836437837,      0.1165629636,       1.160951055,       1.158501391
          40,      -6.817110053,      -5.361641089,      -5.626491703,      -4.781286685,   -0.001412985998,       8.203725405,       8.203725405,      0.1165759334,       1.160924842,       1.158552423
          41,      -6.948804548,      -5.363459883,       -5.68417303,      -4.783874581,   -0.003935832912,       9.844470486,       9.844470486,      0.1165947369,       1.160894943,        1.15861729
          42,       -7.04304811,      -5.362677188,       -5.75888405,       -4.78698843,   -0.006967851468,       11.81336458,       11.81336458,      0.1166213168,       1.160862723,       1.158702144
          43,      -7.164756936,       -5.36553808,      -5.792891008,      -4.790737998,    -0.01061369638,        14.1760375,        14.1760375,      0.1166599007,       1.160833983,       1.158821552
          44,      -7.109860786,      -5.372569096,      -5.780693309,      -4.795257842,    -0.01500093449,         17.011245,         17.011245,       0.116717496,       1.160818308,       1.158997583
          45,      -7.071733443,       -5.38084758,      -5.759190145,      -4.800713875,    -0.02028578063,         20.413494,         20.413494,      0.1168040516,       1.160829533,        1.15926035
          46,      -7.061945921,      -5.388284553,      -5.749992806,      -4.807312322,    -0.02666075404,        24.4961928,        24.4961928,      0.1169332867,       1.160887921,       1.159651464
          47,      -7.048161395,      -5.394957111,      -5.748277881,      -4.815312118,    -0.03436504991,       29.39543136,       29.39543136,      0.1171246755,        1.16102439,       1.160230404
          48,      -7.019604738,      -5.401438726,      -5.745623453,      -4.825042259,    -0.04370011894,       35.27451763,       35.27451763,       0.117406214,       1.161287183,       1.161083373
          49,      -6.992210202,       -5.40770685,      -5.740545954,       -4.83692646,    -0.05504983334,       42.32942116,       42.32942116,      0.1178163128,       1.161748207,       1.162330637
          50,      -6.964390099,      -5.413515569,      -5.734644506,      -4.851519802,    -0.06891089254,       50.79530539,       50.79530539,      0.1184015859,       1.162502355,       1.164123244
          51,      -6.934332975,      -5.418448174,      -5.728445629,       -4.86956075,    -0.08593944188,       60.95436647,       60.95436647,      0.1192081122,       1.163653817,       1.166621411
