"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      ,   "Cauchy[CD]"   
           0,      -4.655721161,      -16.91000834,      -17.51921316,      -1.500478432,       3.237825722,               2.4,               2.4,      0.4359590854,      0.5287850785,      0.7858313055,                 1
           1,      -4.816633748,      -4.435187716,      -4.483198524,      -2.037851958,       2.705378681,              2.88,              2.88,      0.5913845575,      0.9680292301,       1.371462647,    0.001051265003
           2,      -4.969772373,       -4.95194359,      -4.740484381,      -2.535679277,       2.213619657,             3.456,             3.456,      0.7162135418,       1.296873402,        1.81795666,    0.001748425707
           3,       -5.06844702,      -5.048358596,      -4.823375737,      -2.972555044,       1.785010258,            4.1472,            4.1472,      0.8004941516,       1.527122228,       2.131438759,    0.002169568621
           4,      -5.137503805,      -5.113172886,      -4.869016014,      -3.324277573,       1.441145135,           4.97664,           4.97664,      0.8531039233,       1.677207221,       2.335504881,    0.002416243241
           5,       -5.18808655,      -5.163284467,      -4.905063905,      -3.584761801,       1.185285242,          5.971968,          5.971968,      0.8823774118,       1.768094847,       2.458386948,    0.002548946042
           6,      -5.230819505,      -5.206816818,      -4.940481566,      -3.775428208,      0.9959400621,         7.1663616,         7.1663616,      0.8959673016,       1.820084047,       2.527783286,    0.002609617407
           7,      -5.272475965,      -5.248421649,      -4.977769657,      -3.923847496,      0.8472761498,        8.59963392,        8.59963392,      0.9003980077,       1.850106895,       2.566867385,     0.00262930073
           8,      -5.314704032,      -5.289902368,      -5.016159305,      -4.048276951,      0.7222479973,        10.3195607,        10.3195607,      0.9004860302,       1.870215407,       2.592131691,     0.00262969173
           9,      -5.355748255,      -5.330410916,       -5.05306998,      -4.158518025,      0.6114895074,       12.38347284,       12.38347284,      0.8991466192,       1.887474308,       2.613252872,    0.002635650318
          10,        -5.3942703,      -5.369064475,      -5.087225825,      -4.259830683,      0.5098175261,       14.86016741,       14.86016741,      0.8977479066,        1.90508971,        2.63467249,    0.002641882413
          11,       -5.43049646,      -5.405913433,      -5.119135981,      -4.355125968,      0.4143026503,        17.8322009,        17.8322009,      0.8966626681,       1.923859392,       2.657566054,    0.002646723647
          12,      -5.465430187,      -5.441553471,      -5.149912345,      -4.446140873,      0.3231805025,       21.39864108,       21.39864108,      0.8957862609,       1.943465442,       2.681565761,    0.002650637113
          13,       -5.49974039,      -5.476394693,      -5.180181129,      -4.533994647,      0.2353098089,       25.67836929,       25.67836929,      0.8948359982,       1.963253326,        2.70579393,    0.002654884875
          14,       -5.53342488,      -5.510362707,      -5.209992507,      -4.619467823,      0.1498929817,       30.81404315,       30.81404315,      0.8934392848,       1.982515308,       2.729243527,    0.002661138074
          15,      -5.566017195,      -5.542968357,      -5.239063518,      -4.703101238,     0.06637522392,       36.97685178,       36.97685178,      0.8912109546,       2.000718639,       2.751096308,    0.002671139433
          16,      -5.596933713,      -5.573343463,      -5.266612224,      -4.785090117,     -0.0154502728,       44.37222213,       44.37222213,       0.887715134,       2.017522136,       2.770729229,    0.002686891426
          17,      -5.625035227,      -5.599982484,      -5.291426906,      -4.865600929,    -0.09575804733,       4.437222213,       4.437222213,      0.8824370683,        2.03279255,       2.787712948,    0.002710816376
          18,      -5.648681267,      -5.620534369,      -5.311785444,      -4.944566886,     -0.1746343454,       5.324666656,       5.324666656,      0.8818952523,       2.034279255,       2.789355202,    0.002713273884
          19,      -5.646848653,      -5.619853081,      -5.310322074,      -4.952430698,     -0.1824846146,       6.389599987,       6.389599987,      0.8812288641,       2.035998149,       2.791236833,    0.002716298697
          20,      -5.644785127,      -5.618845749,       -5.30862074,      -4.961626819,     -0.1916639229,       7.667519985,       7.667519985,      0.8804068104,       2.037973718,       2.793375246,    0.002720033578
          21,      -5.642531567,      -5.617261355,      -5.306638002,      -4.972334086,     -0.2023502971,       9.201023982,       9.201023982,      0.8793896753,        2.04022991,       2.795783405,    0.002724660128
          22,      -5.640143941,      -5.614821047,      -5.304319409,      -4.984738515,     -0.2147286937,       11.04122878,       11.04122878,      0.8781257364,       2.042787204,       2.798464433,    0.002730417568
          23,      -5.637668178,      -5.611319594,      -5.301605585,      -4.999029526,     -0.2289872274,       13.24947453,       13.24947453,      0.8765458473,       2.045661507,       2.801408122,    0.002737627181
          24,      -5.635108992,      -5.606716254,      -5.298448745,      -5.015392684,     -0.2453098766,       15.89936944,       15.89936944,      0.8745538027,       2.048865796,       2.804589771,    0.002746738316
          25,      -5.632407064,      -5.601126536,      -5.294837981,      -5.034001267,     -0.2638679585,       19.07924333,       19.07924333,       0.872008453,       2.052414394,       2.807969703,    0.002758414119
          26,      -5.629442099,      -5.594682506,      -5.290817018,       -5.05500678,     -0.2848104969,       22.89509199,       22.89509199,       0.868711854,       2.056327027,       2.811489272,    0.002773593371
          27,       -5.62606783,      -5.587345969,      -5.286470962,      -5.078529107,     -0.3082542173,       27.47411039,       27.47411039,       0.864448731,       2.060629847,       2.815060763,    0.002793319806
          28,      -5.622180265,      -5.578798466,      -5.281868403,      -5.104638746,     -0.3342651299,       32.96893247,       32.96893247,      0.8590737444,        2.06534527,       2.818535576,    0.002818346699
          29,      -5.617740141,      -5.568467551,      -5.277024068,      -5.133360834,     -0.3628612419,       39.56271897,       39.56271897,      0.8524791667,       2.070461221,       2.821623138,    0.002849289755
          30,      -5.612757742,       -5.55561658,      -5.271925728,      -5.164672082,     -0.3940101662,       3.956271897,       3.956271897,      0.8442919479,       2.075838488,       2.823722553,    0.002888078323
          31,      -5.607272804,      -5.539427624,      -5.266614666,      -5.198504317,     -0.4277139167,       4.747526276,       4.747526276,       0.843464851,       2.076371672,        2.82391794,      0.0028920007
          32,       -5.60470771,      -5.537085044,      -5.264767529,      -5.201822114,     -0.4310132294,       5.697031531,       5.697031531,      0.8424676488,       2.077000284,       2.824128398,    0.002896735373
          33,      -5.601731737,      -5.534170801,      -5.262594548,      -5.205753001,     -0.4349215795,       6.836437837,       6.836437837,      0.8412639264,       2.077738288,       2.824346144,    0.002902458773
          34,      -5.598325556,      -5.530469459,      -5.260044446,      -5.210399479,     -0.4395405033,       8.203725405,       8.203725405,      0.8398078671,       2.078600279,       2.824557051,    0.002909393975
          35,      -5.594487514,      -5.525691918,      -5.257060265,      -5.215877061,     -0.4449842763,       9.844470486,       9.844470486,      0.8380404437,       2.079600097,       2.824736551,    0.002917829956
          36,      -5.590230287,       -5.51950021,      -5.253582175,       -5.22231444,     -0.4513800142,       11.81336458,       11.81336458,       0.835883093,       2.080748325,       2.824843237,    0.002928153652
          37,      -5.585567707,      -5.511576433,      -5.249554332,      -5.229852564,     -0.4588666287,        14.1760375,        14.1760375,      0.8332280827,       2.082047814,       2.824809244,    0.002940899311
          38,      -5.580492352,      -5.501723194,      -5.244940755,      -5.238644086,     -0.4675941488,         17.011245,         17.011245,      0.8299247928,        2.08348636,       2.824526289,    0.002956820223
          39,      -5.574958515,      -5.489933701,      -5.239750972,      -5.248851866,     -0.4777220513,         20.413494,         20.413494,      0.8257625711,       2.085025513,       2.823826302,    0.002976982056
          40,       -5.56889148,      -5.476359518,      -5.234069072,      -5.260645483,     -0.4894156485,        24.4961928,        24.4961928,      0.8204537717,       2.086584972,       2.822457062,    0.003002864316
          41,      -5.562225076,      -5.461195928,       -5.22807601,      -5.274199752,     -0.5028437848,       29.39543136,       29.39543136,      0.8136055714,       2.088029525,       2.820051126,     0.00303653272
