"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      ,   "Cauchy[CD]"   
          35,      -5.363060231,      -5.283567425,      -4.990655736,      -5.071433709,     -0.2981978901,       8.203725405,       8.203725405,       1.206656346,       2.725840502,       3.752609072,    0.002853542753
          36,      -5.359388147,      -5.276883413,      -4.987194397,      -5.078369388,     -0.3050391955,       9.844470486,       9.844470486,       1.204659478,       2.727978826,       3.753655383,    0.002860173235
          37,      -5.355366341,      -5.268639151,      -4.983206782,      -5.086507742,     -0.3130624232,       11.81336458,       11.81336458,       1.202087453,       2.730298481,       3.754536115,    0.002868731763
          38,       -5.35102381,      -5.258618489,      -4.978669723,       -5.09602317,      -0.322437087,        14.1760375,        14.1760375,       1.198758275,       2.732739138,       3.755074654,    0.002879840517
          39,      -5.346379219,      -5.246709504,       -4.97361158,      -5.107104636,     -0.3333459867,         17.011245,         17.011245,       1.194438189,       2.735200171,       3.755016672,    0.002894307857
          40,      -5.341435854,      -5.232914809,      -4.968145274,      -5.119954176,     -0.3459834843,         20.413494,         20.413494,       1.188829695,       2.737530105,       3.754006743,    0.002913178499
          41,      -5.336211902,      -5.217293624,      -4.962481716,      -5.134780562,     -0.3605487936,        24.4961928,        24.4961928,       1.181554384,       2.739507546,       3.751552047,    0.002937808125
          42,      -5.330780638,      -5.199908631,      -4.956922382,      -5.151804039,     -0.3772500102,       29.39543136,       29.39543136,       1.172119897,       2.740807767,       3.746959275,    0.002970004445
          43,      -5.325317915,      -5.180813441,      -4.951809982,      -5.171253112,     -0.3962998549,       35.27451763,       35.27451763,       1.159888432,       2.740933447,        3.73921608,    0.003012185967
          44,      -5.320118898,      -5.160093429,      -4.947458234,      -5.193360651,     -0.4179131785,       42.32942116,       42.32942116,       1.144087312,       2.739069866,       3.726760915,    0.003067430423
          45,       -5.31558037,      -5.137891333,      -4.944077128,      -5.218357078,     -0.4422995872,       4.232942116,       4.232942116,       1.123835996,       2.733774288,       3.707041491,    0.003139509681
          46,      -5.312104496,      -5.114485197,      -4.941747416,      -5.246491802,     -0.4697256404,       5.079530539,       5.079530539,       1.121763716,       2.733225312,       3.705009488,    0.003146899045
          47,      -5.309893526,      -5.111277573,      -4.940332886,      -5.249232878,     -0.4723929642,       6.095436647,       6.095436647,        1.11925339,       2.732520319,        3.70249515,    0.003155870475
          48,      -5.307384526,       -5.10737897,      -4.938649451,      -5.252494718,     -0.4755661179,       7.314523976,       7.314523976,       1.116211017,        2.73160636,       3.699369034,    0.003166772974
          49,      -5.304590856,      -5.102610371,      -4.936644084,      -5.256370467,     -0.4793351929,       8.777428771,       8.777428771,        1.11252028,       2.730410446,       3.695460287,    0.003180042798
          50,      -5.301553738,      -5.096747424,      -4.934253248,      -5.260967667,     -0.4838040451,       10.53291453,       10.53291453,       1.108037482,       2.728829822,       3.690540141,    0.003196225636
          51,      -5.298343828,      -5.089531714,      -4.931404309,      -5.266409728,     -0.4890916495,       12.63949743,       12.63949743,       1.102584821,       2.726717134,       3.684297562,    0.003216007013
          52,      -5.295050978,      -5.080708418,      -4.928022288,      -5.272837269,     -0.4953332922,       15.16739692,       15.16739692,       1.095941024,       2.723857492,        3.67630294,    0.003240255754
          53,       -5.29175871,      -5.070093885,      -4.924045633,      -5.280409439,     -0.5026817489,        18.2008763,        18.2008763,       1.087826509,       2.719931795,       3.665952374,    0.003270093287
          54,      -5.288512102,      -5.057649537,       -4.91945138,      -5.289304826,     -0.5113080386,       21.84105156,       21.84105156,       1.077877834,       2.714456925,       3.652381226,    0.003307012777
          55,      -5.285304825,      -5.043511749,      -4.914283025,      -5.299721764,     -0.5214015871,       26.20926187,       26.20926187,       1.065605714,       2.706690174,       3.634334637,    0.003353079044
          56,      -5.282115071,      -5.027942271,      -4.908668112,      -5.311879245,     -0.5331709347,       31.45111425,       31.45111425,       1.050331701,       2.695484542,       3.609983382,    0.003411247386
          57,      -5.279001881,      -5.011216547,      -4.902809944,      -5.326016712,     -0.5468432447,        37.7413371,        37.7413371,        1.03111546,       2.679099723,       3.576701574,    0.003485792834
          58,      -5.276224344,      -4.993534807,      -4.896964217,      -5.342393983,      -0.562663804,       45.28960451,       45.28960451,       1.006715511,       2.655025988,       3.530886788,    0.003582741568
          59,      -5.274314457,      -4.975035592,      -4.891450936,      -5.361293355,     -0.5808976773,       4.528960451,       4.528960451,      0.9756685773,       2.619949819,       3.467971713,    0.003710026324
          60,      -5.274074818,      -4.955912603,      -4.886746806,      -5.383020643,     -0.6018665434,       5.434752542,       5.434752542,      0.9725255363,       2.616387237,       3.461591873,    0.003722953659
          61,      -5.272248563,      -4.953344678,        -4.8851953,      -5.385152201,     -0.6039205953,        6.52170305,        6.52170305,      0.9687264398,       2.612022359,       3.453821252,    0.003738640633
          62,      -5.270196395,      -4.950236823,      -4.883323639,      -5.387698119,     -0.6063735276,        7.82604366,        7.82604366,      0.9641311201,       2.606656159,       3.444334761,    0.003757705756
          63,      -5.267938834,      -4.946457889,      -4.881068819,      -5.390736354,     -0.6093002232,       9.391252392,       9.391252392,      0.9585673587,       2.600034763,        3.43272362,    0.003780922743
          64,      -5.265521735,      -4.941843592,      -4.878362867,      -5.394358487,     -0.6127885805,       11.26950287,       11.26950287,      0.9518239663,         2.5918324,       3.418472174,    0.003809261564
          65,      -5.263017589,      -4.936199789,      -4.875142018,      -5.398671732,     -0.6169413989,       13.52340344,       13.52340344,      0.9436429381,       2.581629898,       3.400929189,    0.003843940055
          66,      -5.260516221,      -4.929321161,      -4.871364823,      -5.403801105,     -0.6218784124,       16.22808413,       16.22808413,      0.9337115214,       2.568888381,       3.379273329,     0.00388648603
          67,       -5.25810117,      -4.921032071,      -4.867041646,      -5.409891734,     -0.6277384378,       19.47370096,       19.47370096,      0.9216562087,       2.552918766,       3.352473885,    0.003938806244
          68,      -5.255818452,      -4.911245048,      -4.862273885,      -5.417111235,      -0.634681537,       23.36844115,       23.36844115,      0.9070426642,       2.532849346,       3.319249915,    0.004003251039
          69,      -5.253663212,      -4.900014318,      -4.857294549,      -5.425652266,      -0.642891302,       28.04212938,       28.04212938,      0.8893855781,        2.50759301,       3.278028763,    0.004082663553
          70,      -5.251623402,      -4.887553096,      -4.852494778,      -5.435735091,     -0.6525771096,       33.65055526,       33.65055526,      0.8681663038,       2.475808869,       3.226894044,    0.004180429495
          71,      -5.249798835,      -4.874210848,      -4.848421504,      -5.447610036,     -0.6639762987,       40.38066631,       40.38066631,       0.842834663,       2.435831774,       3.163483435,    0.004300650658
          72,      -5.248548038,      -4.860459581,      -4.845742447,      -5.461560046,     -0.6773567103,       40.38066631,       40.38066631,      0.8127346941,       2.385506095,       3.084748168,    0.004448792329
          73,       -5.24855981,      -4.846949493,      -4.845182244,      -5.477903206,     -0.6930306317,       40.38066631,       40.38066631,      0.7828453417,       2.332914155,       3.003397999,     0.00460151395
          74,       -5.24846466,      -4.834729866,      -4.845254786,      -5.493853906,     -0.7083175958,       40.38066631,       40.38066631,      0.7529857758,       2.278013985,       2.919302398,    0.004760133498
          75,        -5.2487906,      -4.823460656,      -4.845655863,      -5.509443163,     -0.7232473605,       40.38066631,       40.38066631,      0.7229489622,       2.220737048,       2.832301377,    0.004926324005
          76,      -5.249623221,      -4.813077759,      -4.846320844,      -5.524699112,     -0.7378464179,       40.38066631,       40.38066631,      0.6925737125,       2.161075405,        2.74231764,    0.005101758037
          77,       -5.25088771,       -4.80371518,      -4.847348127,      -5.539648253,     -0.7521395036,       40.38066631,       40.38066631,       0.661791834,       2.099143424,       2.649433126,    0.005287809765
          78,      -5.252596093,      -4.795630437,      -4.848999692,      -5.554317069,     -0.7661512849,       40.38066631,       40.38066631,      0.6306388361,       2.035191948,       2.553901769,    0.005485406209
          79,      -5.255011893,      -4.789137329,      -4.851741332,      -5.568731331,     -0.7799056995,       40.38066631,       40.38066631,       0.599238816,       1.969589295,       2.456121855,    0.005695005582
          80,      -5.258689124,      -4.784507235,      -4.856232391,      -5.582915449,      -0.793425366,       40.38066631,       40.38066631,      0.5677700372,        1.90277237,       2.356571479,    0.005916706459
          81,      -5.264334171,      -4.781829669,      -4.863184806,      -5.596890786,     -0.8067300423,       40.38066631,       40.38066631,      0.5364267165,       1.835190266,       2.255737362,    0.006150425771
          82,      -5.272545855,      -4.780891565,      -4.873092966,      -5.610673923,      -0.819835015,       40.38066631,       40.38066631,      0.5053990925,       1.767281511,       2.154094716,     0.00639599506
          83,      -5.283508306,      -4.781148672,      -4.885928568,      -5.624279603,     -0.8327539007,       40.38066631,       40.38066631,       0.474863463,       1.699464519,       2.052105362,    0.006653211139
          84,      -5.296759186,      -4.781840845,      -4.900935269,      -5.637723685,       -0.84550159,       48.45679957,       48.45679957,      0.4449752731,          1.632126,       1.950209909,    0.006921883955
          85,      -5.311197957,       -4.78223744,      -4.916664132,      -5.651020405,     -0.8580727418,       4.845679957,       4.845679957,      0.4103100046,        1.55271629,       1.828937652,    0.007259826175
          86,      -5.328141906,      -4.783449973,      -4.934716486,      -5.666851794,      -0.873111223,       5.814815949,       5.814815949,      0.4068314105,       1.544730776,       1.816736609,    0.007294027999
          87,      -5.332119965,      -4.783150595,      -4.936103173,      -5.668403566,     -0.8745772691,       6.977779139,       6.977779139,      0.4026728047,        1.53516396,       1.802104294,    0.007335338024
          88,      -5.333918665,      -4.782033211,      -4.937439149,      -5.670263933,     -0.8763344034,       8.373334966,       8.373334966,      0.3977078475,       1.523713467,       1.784567687,    0.007385273746
          89,       -5.33530742,      -4.780607304,      -4.938885798,      -5.672494804,     -0.8784406324,       10.04800196,       10.04800196,      0.3917884898,       1.510020959,       1.763562359,    0.007445707964
          90,      -5.336771701,      -4.778891591,        -4.9404738,      -5.675169952,     -0.8809650879,       12.05760235,       12.05760235,      0.3847429146,       1.493664997,       1.738418552,    0.007518957657
          91,      -5.338496175,       -4.77688133,      -4.942213508,      -5.678377621,     -0.8839903125,       14.46912282,       14.46912282,      0.3763741111,       1.474154356,       1.708346707,    0.007607898987
          92,      -5.340577479,      -4.774579874,       -4.94409019,      -5.682223532,     -0.8876149609,       17.36294739,       17.36294739,      0.3664594423,        1.45092224,       1.672422454,    0.007716120173
          93,        -5.3430755,      -4.772019221,      -4.946056823,      -5.686834372,     -0.8919568931,       20.83553686,       20.83553686,      0.3547524942,       1.423324085,        1.62957428,    0.007848121478
          94,      -5.346028133,      -4.769287935,      -4.948027077,      -5.692362015,     -0.8971568808,       25.00264424,       25.00264424,      0.3409886824,       1.390641854,       1.578577434,    0.008009579175
          95,      -5.349470448,      -4.766568817,      -4.949870352,      -5.698988446,     -0.9033828828,       30.00317308,       30.00317308,      0.3248992709,       1.352104941,       1.518068618,    0.008207664095
          96,      -5.353440959,       -4.76417457,       -4.95142096,      -5.706932256,     -0.9108368157,        36.0038077,        36.0038077,      0.3062373393,       1.306934517,       1.446591355,     0.00845142185
          97,      -5.358010376,      -4.762588995,      -4.952519543,      -5.716456066,     -0.9197580807,       43.20456924,       43.20456924,      0.2848277207,       1.254440349,       1.362717486,    0.008752089475
          98,      -5.363290107,      -4.762472227,      -4.953093772,      -5.727876304,     -0.9304312337,       51.84548309,       51.84548309,      0.2606453301,       1.194193346,       1.265282808,     0.00912320513
          99,      -5.369436711,      -4.764639821,      -4.953264813,      -5.741574561,     -0.9431986764,       5.184548309,       5.184548309,       0.233925555,       1.126319407,       1.153814849,    0.009580098779
         100,      -5.376622974,      -4.769979677,      -4.953414778,      -5.758029807,     -0.9586173577,       6.221457971,       6.221457971,      0.2312603452,       1.119527658,       1.142646114,    0.009626197643
         101,       -5.37714229,      -4.769766262,      -4.953101614,      -5.759647463,     -0.9601212301,       7.465749565,       7.465749565,      0.2280935795,       1.111436898,       1.129316849,    0.009681732143
         102,       -5.37734842,      -4.769470357,      -4.952665576,       -5.76158798,     -0.9619246456,       8.958899478,       8.958899478,      0.2243407286,       1.101819521,       1.113436723,    0.009748645555
         103,      -5.377420451,      -4.769151536,      -4.952149651,      -5.763917629,       -0.96408839,       10.75067937,       10.75067937,       0.219906785,       1.090415178,       1.094553567,    0.009829296884
         104,      -5.377449097,       -4.76885488,      -4.951568417,      -5.766715317,     -0.9666849233,       12.90081525,       12.90081525,      0.2146871974,       1.076931219,        1.07215075,    0.009926546978
         105,      -5.377481188,      -4.768633343,      -4.950932613,      -5.770075723,     -0.9698010006,        15.4809783,        15.4809783,      0.2085704899,       1.061046835,       1.045649276,     0.01004385423
         106,       -5.37754303,      -4.768559475,      -4.950254919,      -5.774112782,     -0.9735406824,       18.57717396,       18.57717396,      0.2014432236,       1.042422656,       1.014417151,      0.0101853783
         107,      -5.377654926,      -4.768736098,      -4.949550373,      -5.778963796,     -0.9780288403,       22.29260875,       22.29260875,      0.1931983027,       1.020718891,      0.9777906069,     0.01035608209
         108,      -5.377843837,      -4.769307295,      -4.948832993,      -5.784794328,     -0.9834153884,        26.7511305,        26.7511305,      0.1837478109,      0.9956260702,       0.935113519,     0.01056180954
