"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
          56,      -4.917375917,      -4.307143462,      -4.425190276,       31.45111425,       31.45111425,      0.2928294569,       1.198624642
          57,      -4.920256582,      -4.307478244,      -4.424017098,        37.7413371,        37.7413371,      0.2682015862,       1.136882777
          58,      -4.923516076,      -4.310702936,      -4.423817246,       45.28960451,       45.28960451,      0.2419017575,       1.070344918
          59,      -4.927732438,      -4.317579401,      -4.425329029,       4.528960451,       4.528960451,      0.2144432558,       1.000575109
          60,      -4.934269913,      -4.328835707,      -4.429508256,       5.434752542,       5.434752542,      0.2117106196,      0.9936147937
          61,      -4.935419124,      -4.329118148,      -4.429500188,        6.52170305,        6.52170305,      0.2084860231,      0.9853964185
          62,      -4.935634861,      -4.329394874,      -4.429378975,        7.82604366,        7.82604366,        0.20469513,      0.9757311636
          63,      -4.935465934,      -4.329723904,      -4.429225925,       9.391252392,       9.391252392,      0.2002566477,      0.9644148456
          64,      -4.935168282,      -4.330167787,      -4.429094069,       11.26950287,       11.26950287,      0.1950829804,      0.9512327435
          65,      -4.934895492,       -4.33079474,      -4.429030449,       13.52340344,       13.52340344,      0.1890808256,      0.9359662152
          66,      -4.934782745,      -4.331686508,      -4.429076725,       16.22808413,       16.22808413,      0.1821510681,      0.9183993801
          67,      -4.934988471,       -4.33295519,      -4.429263279,       19.47370096,       19.47370096,      0.1741895408,      0.8983289342
          68,      -4.935747514,       -4.33475167,      -4.429591944,       23.36844115,       23.36844115,      0.1650864216,      0.8755702435
          69,       -4.93740598,      -4.337279842,      -4.430017173,       28.04212938,       28.04212938,      0.1547239376,      0.8499650483
          70,      -4.940439699,      -4.340806207,      -4.430427458,       33.65055526,       33.65055526,      0.1429646548,      0.8213888339
          71,      -4.945400565,      -4.345674163,        -4.4306312,       33.65055526,       33.65055526,      0.1296256418,      0.7897826485
          72,      -4.952763615,      -4.352293484,      -4.430347208,       40.38066631,       40.38066631,      0.1168557432,      0.7604906299
          73,      -4.960077921,      -4.358650673,      -4.428962392,       4.038066631,       4.038066631,        0.10210801,      0.7283183676
          74,      -4.968770853,      -4.366838072,      -4.426667465,       4.845679957,       4.845679957,       0.100629721,      0.7251094983
          75,      -4.969463326,      -4.367066698,      -4.426152423,       5.814815949,       5.814815949,     0.09886290806,      0.7212995943
          76,      -4.969645734,      -4.367298032,      -4.425423049,       6.977779139,       6.977779139,     0.09675272901,      0.7167865598
          77,      -4.969633646,      -4.367559623,      -4.424508188,       8.373334966,       8.373334966,     0.09423395109,      0.7114551053
          78,      -4.969528113,      -4.367860688,      -4.423393541,       10.04800196,       10.04800196,     0.09122871172,      0.7051765421
