"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -3.649955518,      -16.16935607,      -16.69520213,      -5.775064562,      -1.000508754
          0,           0,           1,      -3.798370903,      -2.396141501,      -2.711275753,      -4.267628181,       6.091563594
          0,           0,           2,      -3.846517437,      -3.221188342,      -3.427235752,       -4.25354694,       5.209960603
          0,           0,           3,      -3.944857665,        -3.4026686,      -3.663590147,       -4.87767846,       4.213708464
          0,           0,           4,      -4.018451141,      -3.556853784,      -3.823006466,      -5.127579305,        3.64373924
          0,           0,           5,      -4.080901043,      -3.689839656,       -3.92190734,      -5.304792916,        3.42107629
          0,           0,           6,      -4.136949658,      -3.805937869,        -3.9814998,      -5.448500984,       3.275564028
          0,           0,           7,      -4.186252865,      -3.907924635,      -4.014359785,      -5.570434157,       3.162079729
          0,           0,           8,      -4.228388724,      -3.997857074,      -4.033264883,       -5.67694831,       3.073184078
          0,           0,           9,      -4.266566331,      -4.077928882,      -4.050141032,      -5.772352806,       2.996099253
          0,           0,          10,      -4.307592316,       -4.15110702,      -4.071771232,      -5.861901679,       2.915545867
          0,           0,          11,      -4.360803382,      -4.222728378,      -4.105804884,      -5.951396847,       2.817951803
          0,           0,          12,      -4.423282432,      -4.293545505,      -4.146669223,       -6.04398199,       2.693249514
          0,           0,          13,      -4.468631503,      -4.352060325,      -4.168416777,      -6.139086408,        2.53327574
          0,           0,          14,      -4.474864886,      -4.380062716,       -4.15177383,      -6.226503512,       2.334576597
          0,           0,          15,      -4.449120487,      -4.365148258,      -4.104395819,      -6.281258344,       2.221166645
          0,           0,          16,      -4.412159511,      -4.309991911,      -4.046491912,      -6.305298005,        2.34453622
          0,           0,          17,      -4.387187641,      -4.231455487,      -3.994483472,      -6.322490605,       2.404067215
          0,           0,          18,      -4.389796196,      -4.147043476,      -3.954749763,      -6.337206542,       2.353599543
          0,           0,          19,      -4.423044979,      -4.076067838,      -3.932004959,      -6.349612331,       2.226489142
          0,           0,          20,      -4.482312046,      -4.033159854,       -3.93131136,      -6.571295365,        1.21488771
          0,           0,          21,      -4.484307141,      -4.026374814,      -3.927147019,      -6.573278521,       1.297017925
          0,           0,          22,      -4.487740413,      -4.017462293,      -3.922613034,      -6.574885623,       1.376796404
          0,           0,          23,      -4.492936593,      -4.006328113,      -3.918306771,      -6.575947345,       1.469623063
          0,           0,          24,      -4.499694871,         -3.993266,      -3.915048096,      -6.576330013,       1.567690243
          0,           0,          25,      -4.507486325,      -3.979139188,      -3.913758683,      -6.575800175,       1.669853984
          0,           0,          26,      -4.515720428,      -3.965292549,      -3.915334237,      -6.574069463,       1.777921093
          0,           0,          27,       -4.52407354,       -3.95327476,      -3.920569794,      -6.571471791,       1.890714185
          0,           0,          28,      -4.532636944,      -3.944513701,      -3.930091757,      -6.570466408,       2.002457966
          0,           0,          29,      -4.541727774,      -3.939936081,       -3.94411122,      -6.575189362,       2.103489953
          0,           0,          30,      -4.551229054,      -3.939888088,      -3.961770376,      -6.585028229,       2.181094314
          0,           0,          31,      -4.560798546,      -3.944724747,      -3.980566441,      -6.583945242,       2.220343363
          0,           0,          32,      -4.571201391,      -3.956518347,       -3.99775586,      -6.555955798,       2.134794488
          0,           0,          33,      -4.584727549,      -3.980573886,      -4.014408495,      -6.521344481,       2.038786446
          0,           0,          34,      -4.604358417,      -4.023990478,      -4.036509167,      -6.923046276,       1.047696131
          0,           0,          35,      -4.605316934,      -4.024488293,      -4.035825098,      -6.914745451,       1.099949207
          0,           0,          36,      -4.605304243,      -4.025286729,       -4.03511398,      -6.903622361,        1.15217499
          0,           0,          37,      -4.605131674,       -4.02663714,      -4.034619085,      -6.889510444,        1.19975718
          0,           0,          38,      -4.605021802,      -4.028800789,      -4.034529349,      -6.872477766,       1.240150322
          0,           0,          39,      -4.605164363,      -4.032138393,      -4.034940499,      -6.852962685,       1.277738314
          0,           0,          40,      -4.605871391,      -4.037037739,      -4.035803118,      -6.831960342,        1.31861568
          0,           0,          41,      -4.607657517,      -4.043770132,      -4.036874473,      -6.811195763,       1.370639863
          0,           0,          42,      -4.611289771,      -4.052240192,       -4.03766893,      -6.793141867,       1.431624272
          0,           0,          43,      -4.617861728,      -4.061559759,      -4.037423921,      -6.779715858,       1.486980908
          0,           0,          44,      -4.628875317,      -4.069671938,      -4.035220396,      -6.769215883,       1.522747825
          0,           0,          45,      -4.646289293,      -4.073806324,      -4.030658237,      -6.748539736,       1.552132597
          0,           0,          46,      -4.672418765,      -4.073107107,      -4.025682237,      -6.695479654,       1.454856565
          0,           0,          47,      -4.708620192,       -4.07285549,      -4.026667058,      -6.617728469,       1.198803419
          0,           0,          48,      -4.752781694,      -4.085282984,      -4.043273221,      -6.992593415,      0.5023357879
          0,           0,          49,      -4.755907099,      -4.084647354,      -4.043936029,       -6.97957597,      0.6287009102
          0,           0,          50,      -4.757079524,      -4.084479131,      -4.044891711,      -6.964392134,      0.7453280604
          0,           0,          51,      -4.758174696,      -4.084782645,      -4.046316103,      -6.945459369,      0.8682469727
          0,           0,          52,      -4.759468433,       -4.08572707,      -4.048466369,       -6.92207648,      0.9897109717
          0,           0,          53,      -4.761106977,      -4.087696902,      -4.051718537,      -6.894274022,       1.092869037
          0,           0,          54,       -4.76322589,      -4.091296763,      -4.056575909,      -6.862648995,       1.163529603
          0,           0,          55,      -4.765905483,      -4.097392761,      -4.063640155,      -6.828584922,       1.195090831
          0,           0,          56,       -4.76902038,        -4.1071565,      -4.073528841,      -6.794636685,       1.188325301
          0,           0,          57,      -4.772021156,      -4.122024567,      -4.086702785,       -6.76469996,       1.177714007
          0,           0,          58,      -4.773850937,      -4.143480129,      -4.103192988,      -6.743143187,       1.237873002
          0,           0,          59,      -4.773396675,      -4.172365065,      -4.122278273,      -6.732010083,         1.3196809
          0,           0,          60,      -4.770901487,      -4.207600605,      -4.142647439,      -6.726718968,       1.321429897
          0,           0,          61,      -4.769865207,      -4.244517754,      -4.163311825,      -6.737379752,        1.25856514
          0,           0,          62,       -4.77228173,      -4.268054121,       -4.17960433,      -6.741037307,       1.232240571
          0,           0,          63,      -4.781337092,      -4.277619636,      -4.192166691,      -6.746770602,        1.25324957
          0,           0,          64,       -4.79708946,      -4.277160379,      -4.201703391,      -6.758485465,       1.288730315
          0,           0,          65,      -4.817120905,      -4.272618094,      -4.209628811,       -6.73276271,       1.365577162
          0,           0,          66,      -4.844475993,       -4.27192498,      -4.222172959,      -7.008448275,      0.4111928016
          0,           0,          67,      -4.847107803,      -4.270667244,      -4.221962343,      -7.011807344,      0.4921391198
          0,           0,          68,      -4.848288322,      -4.269301989,      -4.221823478,      -7.015812691,      0.5708412018
          0,           0,          69,      -4.849545102,      -4.267600304,      -4.221871107,      -7.019480305,      0.6493654594
          0,           0,          70,       -4.85113979,      -4.265468473,      -4.222254309,      -7.021960709,      0.7221355455
          0,           0,          71,      -4.853242415,       -4.26303586,       -4.22316863,      -7.022316321,      0.7949465103
          0,           0,          72,      -4.856060308,      -4.260652515,      -4.224869721,       -7.01879275,      0.8535505828
          0,           0,          73,      -4.859890074,      -4.258890666,      -4.227722585,      -7.009268134,      0.9102396211
          0,           0,          74,      -4.865194569,      -4.258547287,      -4.232294463,      -6.992304778,      0.9859197795
          0,           0,          75,      -4.872762266,      -4.260661723,      -4.239450809,      -6.967119082,       1.056259577
          0,           0,          76,      -4.884042821,      -4.266546855,      -4.250359747,      -6.938314414,       1.079208779
          0,           0,          77,      -4.901757068,       -4.27762204,      -4.266125019,      -6.915062187,       1.026063591
          0,           0,          78,       -4.93073669,      -4.295037478,      -4.287155967,      -6.914476317,       0.943240277
          0,           0,          79,      -4.978449407,      -4.318759745,      -4.312136144,      -6.956973437,       1.046238578
          0,           0,          80,      -5.054512592,       -4.34700139,      -4.338047564,      -7.072853837,       1.141154972
          0,           0,          81,      -5.144440875,      -4.371266698,      -4.358089417,      -7.107588576,       1.241403957
          0,           0,          82,      -5.250899307,      -4.402725023,      -4.382603793,      -7.428807199,      0.2674311126
