"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      ,   "Cauchy[CD]"   
          38,      -8.836360388,      -7.172647194,      -7.411924659,      -9.036757983,       19.07924333,       19.07924333,      0.1651074167,      0.9809749702,       1.039170833,   4.830537016e-08
          39,      -8.836681407,      -7.173050616,      -7.412206403,      -9.036948931,       19.07924333,       19.07924333,       0.165107297,      0.9809838218,        1.03917983,   5.120630708e-08
          40,      -8.837021078,      -7.173452565,       -7.41249895,      -9.037140949,       19.07924333,       19.07924333,      0.1651071728,      0.9809926605,       1.039188813,   5.421496103e-08
          41,      -8.837373535,      -7.173851864,      -7.412803086,      -9.037333957,       19.07924333,       19.07924333,       0.165107045,      0.9810014878,       1.039197782,   5.731076664e-08
          42,      -8.837728406,      -7.174248386,      -7.413117115,      -9.037527875,       19.07924333,       19.07924333,      0.1651069145,      0.9810103049,       1.039206741,   6.047247412e-08
          43,      -8.838078048,      -7.174642865,      -7.413437344,      -9.037722627,       19.07924333,       19.07924333,      0.1651067821,      0.9810191124,       1.039215691,   6.368046892e-08
          44,      -8.838421602,      -7.175036584,      -7.413758995,       -9.03791814,       19.07924333,       19.07924333,      0.1651066485,      0.9810279107,       1.039224633,   6.691783037e-08
          45,      -8.838761315,      -7.175431056,      -7.414076929,      -9.038113252,       19.07924333,       19.07924333,      0.1651065186,      0.9810368318,       1.039233704,   7.006428739e-08
          46,      -8.836442337,      -7.175799661,      -7.414323316,      -9.038315811,       19.07924333,       19.07924333,      0.1651063865,      0.9810450689,       1.039242079,    7.32645343e-08
          47,      -8.845411507,      -7.176322403,      -7.414938184,      -9.038519484,       19.07924333,       19.07924333,      0.1651062529,      0.9810533084,        1.03925046,   7.650112164e-08
          48,       -8.84661622,      -7.176708092,      -7.415314465,      -9.038723804,       19.07924333,       19.07924333,      0.1651061185,      0.9810615539,       1.039258851,   7.975691677e-08
          49,      -8.846810694,      -7.177075202,      -7.415576719,       -9.03892834,       19.07924333,       19.07924333,      0.1651059844,      0.9810698102,       1.039267257,   8.300727641e-08
          50,      -8.846904663,      -7.177430958,      -7.415820795,       -9.03913291,       19.07924333,       19.07924333,      0.1651058515,      0.9810780831,       1.039275685,   8.622647313e-08
          51,      -8.847343901,      -7.177776679,      -7.416074406,      -9.039337479,       19.07924333,       19.07924333,      0.1651057208,      0.9810863791,       1.039284143,   8.939213549e-08
          52,      -8.847694105,      -7.178115628,      -7.416334794,      -9.039542033,       19.07924333,       19.07924333,       0.165105593,      0.9810947055,       1.039292637,   9.248879788e-08
          53,      -8.847868073,      -7.178452138,       -7.41658655,      -9.039746524,       19.07924333,       19.07924333,      0.1651054682,      0.9811030702,       1.039301175,   9.551177594e-08
          54,       -8.84793076,      -7.178790505,      -7.416820425,      -9.039950873,       19.07924333,       19.07924333,      0.1651053461,      0.9811114811,       1.039309763,   9.847073549e-08
          55,      -8.847879466,      -7.179134361,      -7.417032463,      -9.040154985,       19.07924333,       19.07924333,      0.1651052255,      0.9811199462,       1.039318406,   1.013908831e-07
          56,      -8.847619278,      -7.179486266,      -7.417220885,      -9.040358751,       19.07924333,       19.07924333,      0.1651051051,      0.9811284742,       1.039327111,   1.043085854e-07
          57,      -8.847044852,      -7.179847416,      -7.417385771,      -9.040562044,       19.07924333,       19.07924333,      0.1651049833,       0.981137076,       1.039335886,   1.072593497e-07
          58,      -8.846058148,      -7.180217484,      -7.417529516,      -9.040764717,       19.07924333,       19.07924333,      0.1651048596,      0.9811457672,       1.039344743,   1.102569541e-07
          59,      -8.844555298,      -7.180594604,      -7.417656298,      -9.040973776,       19.07924333,       19.07924333,      0.1651047344,      0.9811538541,       1.039352979,   1.132894472e-07
          60,      -8.853061911,      -7.181107021,      -7.418144409,       -9.04118388,       19.07924333,       19.07924333,      0.1651046015,      0.9811619238,       1.039361188,   1.165104991e-07
          61,      -8.854478304,      -7.181504474,      -7.418444727,      -9.041394605,       19.07924333,       19.07924333,      0.1651044597,      0.9811699769,        1.03936937,   1.199453792e-07
          62,      -8.854926897,      -7.181882462,       -7.41867175,      -9.041605558,       19.07924333,       19.07924333,      0.1651043087,       0.981178016,       1.039377526,   1.236025122e-07
          63,      -8.855219949,      -7.182243233,      -7.418918961,      -9.041816589,       19.07924333,       19.07924333,      0.1651041488,      0.9811860452,       1.039385661,   1.274769985e-07
          64,      -8.855767956,      -7.182586265,      -7.419214462,      -9.042027687,       19.07924333,       19.07924333,      0.1651039805,      0.9811940707,       1.039393782,    1.31554318e-07
          65,      -8.856196344,      -7.182914658,      -7.419553411,       -9.04223886,       19.07924333,       19.07924333,      0.1651038047,      0.9812021006,       1.039401899,   1.358138126e-07
          66,      -8.856430009,      -7.183233961,      -7.419915468,      -9.042450079,       19.07924333,       19.07924333,      0.1651036223,      0.9812101439,       1.039410021,   1.402332897e-07
          67,      -8.856524507,      -7.183550827,      -7.420282927,      -9.042661287,       19.07924333,       19.07924333,       0.165103434,      0.9812182109,       1.039418159,   1.447940459e-07
          68,      -8.856472485,      -7.183871998,      -7.420641491,      -9.042872413,       19.07924333,       19.07924333,      0.1651032404,      0.9812263119,       1.039426323,   1.494846601e-07
          69,      -8.856182151,      -7.184203448,       -7.42097889,      -9.043083373,       19.07924333,       19.07924333,      0.1651030416,      0.9812344582,       1.039434525,   1.543020573e-07
          70,      -8.855553063,      -7.184549645,      -7.421285702,      -9.043294068,       19.07924333,       19.07924333,      0.1651028375,      0.9812426625,       1.039442776,   1.592463188e-07
          71,      -8.854502263,      -7.184913005,      -7.421556646,       -9.04350438,       19.07924333,       19.07924333,      0.1651026285,      0.9812509404,       1.039451092,   1.643095054e-07
          72,      -8.852951603,      -7.185293605,      -7.421790463,      -9.043714172,       19.07924333,       19.07924333,      0.1651024161,      0.9812593128,       1.039459494,   1.694548424e-07
          73,      -8.850823742,      -7.185689183,      -7.421988861,       -9.04393063,       19.07924333,       19.07924333,      0.1651022068,       0.981267064,       1.039467266,   1.745275397e-07
          74,      -8.860030518,      -7.186242567,      -7.422555565,      -9.044148373,       19.07924333,       19.07924333,      0.1651019903,      0.9812748029,       1.039475018,   1.797706532e-07
          75,      -8.861354874,      -7.186675595,      -7.422902626,      -9.044366933,       19.07924333,       19.07924333,      0.1651017668,      0.9812825324,       1.039482754,   1.851857998e-07
          76,      -8.861579979,      -7.187093033,       -7.42315722,      -9.044585899,       19.07924333,       19.07924333,      0.1651015366,      0.9812902567,       1.039490478,    1.90762977e-07
          77,      -8.861617398,      -7.187496736,      -7.423420248,      -9.044805118,       19.07924333,       19.07924333,      0.1651013005,      0.9812979812,       1.039498197,   1.964850818e-07
          78,      -8.861902164,      -7.187885138,      -7.423722804,      -9.045024584,       19.07924333,       19.07924333,      0.1651010591,       0.981305713,       1.039505921,   2.023314748e-07
          79,       -8.86202986,      -7.188260389,      -7.424060854,      -9.045244306,       19.07924333,       19.07924333,      0.1651008136,      0.9813134603,       1.039513657,   2.082807228e-07
          80,      -8.861931143,      -7.188627253,       -7.42441402,      -9.045464258,       19.07924333,       19.07924333,      0.1651005646,      0.9813212321,       1.039521417,   2.143141018e-07
          81,      -8.861709891,      -7.188992152,      -7.424764776,      -9.045684289,       19.07924333,       19.07924333,      0.1651003126,      0.9813290382,        1.03952921,   2.204191183e-07
          82,      -8.861271653,      -7.189360705,      -7.425099421,      -9.045904214,       19.07924333,       19.07924333,      0.1651000578,      0.9813368885,       1.039537047,   2.265917394e-07
          83,       -8.86065121,      -7.189737971,      -7.425406217,      -9.046124028,       19.07924333,       19.07924333,      0.1650998001,       0.981344794,       1.039544938,   2.328345524e-07
