"Inner_Iter",     "rms[k]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
          68,        -6.5309459,       28.04212938,       28.04212938,      0.3259527008,       1.465053012
          69,       -6.52203109,       33.65055526,       33.65055526,       0.339824264,       1.510066117
          70,      -6.512833629,       40.38066631,       40.38066631,      0.3517023856,       1.551542916
          71,      -6.502443539,       48.45679957,       48.45679957,      0.3587097582,       1.581966704
          72,      -6.489932271,       58.14815949,       58.14815949,      0.3567253093,       1.590624923
          73,      -6.475478103,       69.77779139,       69.77779139,       0.340709937,       1.564563149
          74,      -6.460719699,       83.73334966,       83.73334966,      0.3061456044,       1.492047356
          75,      -6.451067619,       83.73334966,       83.73334966,      0.2523596531,       1.370546694
          76,      -6.480441871,       100.4800196,       100.4800196,      0.1962710151,       1.240072215
          77,      -6.499699693,       10.04800196,       10.04800196,      0.1402301962,       1.108024192
          78,      -6.687455878,       12.05760235,       12.05760235,      0.1347037309,       1.094981766
          79,      -6.686591143,       14.46912282,       14.46912282,      0.1282757918,       1.079797833
          80,      -6.687391312,       17.36294739,       17.36294739,       0.120882794,       1.062318586
          81,      -6.691814925,       20.83553686,       20.83553686,      0.1125215595,       1.042514002
          82,      -6.695326045,       25.00264424,       25.00264424,      0.1033242044,       1.020663516
          83,      -6.698208801,       30.00317308,       30.00317308,     0.09371335547,      0.9977777697
          84,       -6.70271973,        36.0038077,        36.0038077,     0.08461568161,       0.976176867
          85,      -6.711282306,       43.20456924,       43.20456924,     0.07763726145,      0.9599746839
          86,      -6.724402467,       51.84548309,       51.84548309,     0.07509843416,      0.9552380233
          87,      -6.740697673,       62.21457971,       62.21457971,     0.07988438536,      0.9697090421
          88,      -6.757852784,       74.65749565,       74.65749565,     0.09494403161,       1.011692738
          89,       -6.77637583,       89.58899478,       89.58899478,      0.1221746015,       1.087549575
          90,      -6.804226961,       8.958899478,       8.958899478,      0.1605449592,       1.197192283
          91,      -7.051054048,       10.75067937,       10.75067937,      0.1644845043,       1.208457458
          92,      -7.056423454,       12.90081525,       12.90081525,       0.169264801,       1.222179662
          93,      -7.061229573,        15.4809783,        15.4809783,      0.1750631171,       1.238906209
          94,       -7.07895889,       18.57717396,       18.57717396,      0.1820898334,       1.259313097
          95,      -7.093154263,       22.29260875,       22.29260875,      0.1905915642,       1.284232773
          96,      -7.098438545,        26.7511305,        26.7511305,      0.2008231836,       1.314592703
          97,      -7.098665377,        32.1013566,        32.1013566,      0.2129354206,       1.351131818
          98,      -7.097915868,       38.52162792,       38.52162792,      0.2267809404,       1.393911879
          99,      -7.094438879,        46.2259535,        46.2259535,      0.2417224794,       1.441811568
         100,      -7.081876383,        55.4711442,        55.4711442,      0.2565127519,        1.49215168
         101,      -7.050107041,       66.56537304,       66.56537304,      0.2692408781,       1.540452478
         102,      -6.988957127,       79.87844765,       79.87844765,      0.2773514087,       1.580338717
         103,      -6.898907245,       95.85413718,       95.85413718,       0.277882205,       1.603922857
         104,      -6.793552749,       9.585413718,       9.585413718,      0.2682165441,       1.603481559
