"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      ,   "Cauchy[CD]"   
           0,      -4.232520091,      -16.57649514,      -17.17778789,     -0.9408548839,       3.797449271,               2.4,               2.4,       0.433501843,      0.5619102183,      0.8264699285,                 1
           1,      -4.395032022,      -4.034553809,      -4.067796482,      -1.507330768,       3.233876256,              2.88,              2.88,      0.5870423597,      0.9910371673,       1.399133951,    0.001046197189
           2,      -4.555956372,      -4.541615102,      -4.327095137,      -2.049762333,       2.695669676,             3.456,             3.456,      0.7098621453,       1.312593415,       1.836076265,    0.001738274018
           3,      -4.653930018,      -4.637253935,      -4.408082165,      -2.549679161,       2.202572181,            4.1472,            4.1472,       0.792139831,       1.536061488,       2.140540207,    0.002153744532
           4,      -4.724196531,      -4.702499119,       -4.45524687,       -2.97300771,       1.788109644,           4.97664,           4.97664,      0.8425766879,       1.679109419,       2.335164752,    0.002393185559
           5,      -4.777388218,      -4.754088925,      -4.495182917,      -3.285480024,       1.482752077,          5.971968,          5.971968,       0.869519931,       1.762732955,       2.448251791,    0.002517130933
           6,      -4.820680409,      -4.797729729,      -4.533017809,      -3.497948266,       1.272880962,         7.1663616,         7.1663616,      0.8807173381,       1.807472367,       2.507828215,    0.002567986782
           7,      -4.859076949,      -4.836842144,      -4.569179692,      -3.652556674,       1.118336721,        8.59963392,        8.59963392,      0.8827291396,       1.830356977,       2.537198479,    0.002577103062
           8,      -4.895289825,      -4.873768491,      -4.603721665,      -3.778846495,      0.9915894825,        10.3195607,        10.3195607,      0.8803849258,       1.843498688,        2.55295441,    0.002587753921
           9,       -4.93051146,      -4.909751937,       -4.63679293,      -3.890301675,      0.8798092786,       12.38347284,       12.38347284,      0.8766834938,       1.854219103,       2.565151287,     0.00260464226
          10,      -4.965134019,      -4.945130898,      -4.668511034,      -3.992884981,      0.7771095277,       14.86016741,       14.86016741,       0.873117673,       1.866135121,       2.578790631,    0.002620978297
          11,      -4.999075129,      -4.979670074,      -4.698854716,      -4.089526679,      0.6805113901,        17.8322009,        17.8322009,      0.8701563331,       1.880469597,       2.595582904,    0.002634591207
          12,      -5.031884597,      -5.012722747,      -4.727488586,      -4.181786227,      0.5884077949,       21.39864108,       21.39864108,      0.8676598048,       1.897161608,       2.615423512,    0.002646100457
          13,       -5.06265094,       -5.04310714,      -4.753523654,      -4.270512532,      0.4999174191,       25.67836929,       25.67836929,      0.8651112998,       1.915581125,       2.637333463,    0.002657883935
          14,      -5.089712201,      -5.068743982,      -4.775327335,      -4.356188693,        0.41453755,       30.81404315,       30.81404315,       0.861683851,       1.934892006,       2.659917466,    0.002673794405
          15,      -5.110575507,      -5.086359719,      -4.790472553,      -4.439077292,      0.3320017834,       36.97685178,       36.97685178,      0.8561905318,       1.954182735,       2.681473848,    0.002699458408
          16,      -5.122475672,      -5.091822723,      -4.796325961,      -4.519357201,      0.2521445927,       3.697685178,       3.697685178,      0.8469667033,       1.972414198,       2.699812016,    0.002743020114
          17,      -5.123813266,      -5.081546419,      -4.791783813,      -4.597290076,      0.1745143773,       4.437222213,       4.437222213,      0.8460079434,       1.974197658,        2.70157884,    0.002747553215
          18,       -5.11957608,      -5.077894944,       -4.78798721,      -4.604952442,      0.1668943269,       5.324666656,       5.324666656,      0.8448169927,       1.976267045,       2.703588573,    0.002753192073
          19,      -5.114689145,      -5.073063252,      -4.783497008,      -4.613905438,      0.1579931971,       6.389599987,       6.389599987,       0.843329413,       1.978651582,       2.705844679,    0.002760247819
          20,      -5.109135785,      -5.066578896,       -4.77819432,      -4.624321514,      0.1476407815,       7.667519985,       7.667519985,      0.8414593876,       1.981376084,       2.708333611,    0.002769137258
          21,      -5.102903108,      -5.057951043,      -4.771950902,      -4.636381866,      0.1356588285,       9.201023982,       9.201023982,      0.8390912532,        1.98445508,       2.711012625,    0.002780426301
          22,      -5.095959373,      -5.046799198,       -4.76464727,      -4.650272909,      0.1218645873,       11.04122878,       11.04122878,      0.8360664957,       1.987885995,       2.713794262,    0.002794897674
          23,      -5.088233266,      -5.032956943,      -4.756210481,      -4.666182132,      0.1060748557,       13.24947453,       13.24947453,      0.8321595981,       1.991643553,       2.716527713,    0.002813677233
          24,      -5.079630041,      -5.016443932,      -4.746656066,      -4.684285686,     0.08811871157,       15.89936944,       15.89936944,      0.8270379903,       1.995668371,        2.71896624,     0.00283844808
          25,      -5.070065103,      -4.997352711,      -4.736145677,      -4.704751862,     0.06783338833,       19.07924333,       19.07924333,      0.8202143815,       1.999867449,       2.720730028,    0.002871725276
          26,      -5.059713378,      -4.975554758,      -4.724865911,      -4.727666362,     0.04513764599,       22.89509199,       22.89509199,      0.8110604095,       2.004085386,       2.721222089,    0.002916870974
          27,      -5.049150823,      -4.950621739,      -4.712919494,      -4.753043862,     0.02002315572,       27.47411039,       27.47411039,      0.7989295197,       2.008042071,       2.719513341,    0.002977606694
          28,      -5.039016677,      -4.922300706,      -4.700480365,      -4.780950974,   -0.007568397862,       32.96893247,       32.96893247,      0.7831724382,       2.011307967,       2.714258271,    0.003058084916
          29,      -5.029927115,      -4.890591899,      -4.687732347,      -4.811434431,    -0.03768648586,       39.56271897,       39.56271897,      0.7629607797,       2.013233336,       2.703636217,    0.003164049255
          30,      -5.022445552,      -4.855689236,      -4.674778763,      -4.844523503,    -0.07037066664,       3.956271897,       3.956271897,      0.7371314786,       2.012695453,        2.68522423,    0.003304210416
          31,      -5.017248925,      -4.817939041,      -4.661522441,      -4.880234164,     -0.1057419347,       4.747526276,       4.747526276,      0.7344748706,       2.012648886,       2.683326136,    0.003318678484
          32,      -5.014235668,      -4.813337531,      -4.658488365,       -4.88366727,     -0.1091365419,       5.697031531,       5.697031531,      0.7312598816,       2.012553608,       2.680966317,    0.003336264511
          33,      -5.010896992,      -4.807595649,      -4.654840677,      -4.887738455,     -0.1131622241,       6.836437837,       6.836437837,      0.7273689259,       2.012379094,       2.678017947,    0.003357661937
          34,      -5.007285077,      -4.800382794,      -4.650460461,      -4.892556487,     -0.1179266346,       8.203725405,       8.203725405,      0.7226563454,       2.012081089,       2.674315433,    0.003383746703
          35,       -5.00348125,      -4.791316233,      -4.645217147,      -4.898244808,     -0.1235519979,       9.844470486,       9.844470486,      0.7169425767,       2.011593288,       2.669640329,    0.003415625232
          36,      -4.999577065,       -4.78002164,      -4.638980394,      -4.904942222,     -0.1301758925,       11.81336458,       11.81336458,      0.7100072808,       2.010814145,       2.663701542,    0.003454696921
          37,      -4.995636018,      -4.766237708,       -4.63164233,        -4.9128031,     -0.1379515036,        14.1760375,        14.1760375,      0.7015823177,       2.009585245,       2.656106319,    0.003502730989
