"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      ,   "Cauchy[CD]"   
           0,      -4.271817359,      -16.63756698,      -17.08248921,      -1.069751571,       3.668554453,               2.4,               2.4,      0.6484456658,      0.3594346385,      0.6806086304,                 1
           1,      -4.424253293,      -3.875408673,      -3.990892764,      -1.631512182,       3.138115731,              2.88,              2.88,       0.750084167,      0.7193428192,       1.152169626,   0.0005420111802
           2,      -4.523950458,      -4.484431995,      -4.320348757,      -2.166013559,        2.58871571,             3.456,             3.456,      0.9712936072,       1.283464741,       1.917021229,    0.001453000148
           3,       -4.64343767,      -4.609658001,      -4.427055567,      -2.652578285,        2.11213597,            4.1472,            4.1472,        1.12372862,       1.687425312,       2.466817849,    0.001995604511
           4,      -4.716632011,       -4.67886199,      -4.465033106,      -3.057047186,       1.722354814,           4.97664,           4.97664,       1.218074632,       1.956840925,       2.831798804,    0.002305424647
           5,      -4.755524044,      -4.720939267,      -4.481691105,      -3.353020927,       1.443292724,          5.971968,          5.971968,        1.26719465,       2.122368922,        3.05272987,    0.002460475862
           6,      -4.777419416,       -4.75078471,      -4.494051979,      -3.558354722,       1.240866811,         7.1663616,         7.1663616,       1.284140277,       2.214803816,       3.172164817,    0.002513260212
           7,      -4.800212518,      -4.780288645,      -4.512981813,      -3.711994726,       1.078158651,        8.59963392,        8.59963392,       1.280734207,       2.260667427,       3.227255276,    0.002523898081
           8,      -4.832504339,      -4.816554007,      -4.543602964,      -3.839420382,      0.9415074953,        10.3195607,        10.3195607,       1.266400759,       2.279991498,       3.246096041,    0.002569171104
           9,       -4.87832377,      -4.863817038,      -4.588294559,      -3.952538266,      0.8231747378,       12.38347284,       12.38347284,       1.248030308,       2.286819687,       3.248208398,    0.002628049323
          10,      -4.936072566,      -4.921376189,      -4.644527318,      -4.056848984,      0.7164144008,       14.86016741,       14.86016741,       1.230278005,       2.290633925,       3.246623483,    0.002685767345
          11,      -5.000891358,      -4.984904121,      -4.706655328,      -4.155152382,      0.6170678181,        17.8322009,        17.8322009,       1.216054571,       2.297827192,       3.250082313,    0.002732552857
