"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,          95,       -5.15697375,      -4.289711942,      -4.423602038
          0,           0,          96,       -5.15756955,       -4.29263645,      -4.425378227
          0,           0,          97,      -5.157239558,      -4.296436773,      -4.428162674
          0,           0,          98,      -5.155916947,      -4.301507854,      -4.432192942
          0,           0,          99,      -5.153501343,      -4.308438253,      -4.437757331
          0,           0,         100,      -5.149942618,      -4.318018755,      -4.445239573
          0,           0,         101,      -5.145380434,       -4.33122791,      -4.455144171
          0,           0,         102,      -5.140389618,      -4.349162151,      -4.468063565
          0,           0,         103,      -5.136364688,      -4.372769427,      -4.484529007
          0,           0,         104,      -5.136022153,      -4.402221489,      -4.504744888
          0,           0,         105,      -5.142776453,      -4.435616974,      -4.527883351
          0,           0,         106,      -5.160368124,      -4.468058369,       -4.55203426
          0,           0,         107,      -5.190417361,      -4.493524665,      -4.576227566
          0,           0,         108,      -5.191305163,      -4.495130364,      -4.575559346
          0,           0,         109,       -5.19228668,      -4.496522945,      -4.574764544
          0,           0,         110,      -5.193660561,      -4.497618869,       -4.57405068
          0,           0,         111,      -5.195572525,      -4.498329865,      -4.573616965
          0,           0,         112,      -5.198218317,      -4.498591306,       -4.57367012
          0,           0,         113,      -5.201851792,      -4.498370473,      -4.574465834
          0,           0,         114,       -5.20677394,      -4.497685141,      -4.576397666
          0,           0,         115,      -5.213365582,      -4.496638474,      -4.580130701
          0,           0,         116,      -5.222225275,      -4.495451158,      -4.586761307
          0,           0,         117,      -5.234523697,      -4.494448079,      -4.597939667
          0,           0,         118,      -5.252655092,      -4.493998544,      -4.615766315
          0,           0,         119,      -5.281073017,      -4.494489507,      -4.642078053
          0,           0,         120,      -5.326927287,      -4.496536787,      -4.676854621
          0,           0,         121,      -5.333026872,      -4.496359352,      -4.678682286
          0,           0,         122,      -5.338317392,      -4.495982718,      -4.680659869
          0,           0,         123,      -5.344697657,      -4.495466122,      -4.683185378
          0,           0,         124,      -5.352783279,      -4.494788816,      -4.686517073
          0,           0,         125,      -5.363208221,       -4.49396145,       -4.69084861
          0,           0,         126,      -5.376720494,      -4.493048217,      -4.696303466
          0,           0,         127,      -5.394446459,       -4.49222181,        -4.7028884
          0,           0,         128,      -5.417796721,       -4.49179629,      -4.710507577
          0,           0,         129,      -5.448236044,      -4.492282814,      -4.719019265
          0,           0,         130,      -5.486737863,      -4.494490176,      -4.728349957
          0,           0,         131,        -5.5323714,      -4.499639172,       -4.73872825
          0,           0,         132,       -5.57959069,      -4.509359631,      -4.751051226
          0,           0,         133,      -5.616507251,      -4.525379998,      -4.767156498
          0,           0,         134,      -5.633110215,      -4.548736054,      -4.789642325
          0,           0,         135,      -5.645296047,      -4.550809224,      -4.790776192
          0,           0,         136,       -5.64535652,       -4.55335814,      -4.792298896
          0,           0,         137,      -5.643036897,      -4.556416989,       -4.79441137
          0,           0,         138,       -5.63957389,      -4.560089943,      -4.797132138
          0,           0,         139,      -5.635427803,      -4.564549687,      -4.800551346
          0,           0,         140,      -5.631005616,      -4.570005048,      -4.804873677
          0,           0,         141,      -5.626925663,      -4.576666502,      -4.810409146
          0,           0,         142,      -5.624239875,       -4.58469904,      -4.817534546
          0,           0,         143,      -5.624678329,      -4.594159568,      -4.826654175
