"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
          44,      -4.630942673,      -4.065069408,      -4.036221272,       -6.78327888,       1.557137953,       50.79530539,       50.79530539,      0.1365465006,      0.6791263144
          45,      -4.646527879,      -4.074856771,      -4.025556116,      -6.776190543,       1.586400912,       60.95436647,       60.95436647,      0.1210823318,      0.6336697129
          46,      -4.670187304,      -4.080922097,      -4.014430496,      -6.744032098,       1.352841017,       73.14523976,       73.14523976,      0.1127057848,      0.6088295124
          47,       -4.70378141,      -4.084673108,      -4.011147527,       -6.67025719,       1.286342813,       7.314523976,       7.314523976,      0.1159730807,      0.6168658082
          48,      -4.745864106,      -4.095177556,       -4.02823184,      -7.008115591,      0.5660146249,       8.777428771,       8.777428771,      0.1164483274,      0.6180552967
          49,      -4.746485474,      -4.094482775,      -4.029105587,      -6.995458582,      0.6898651923,       10.53291453,       10.53291453,       0.117200318,      0.6200138585
          50,      -4.746907251,       -4.09374448,      -4.030368666,      -6.979639725,      0.8020218633,       12.63949743,       12.63949743,      0.1183706182,        0.62311443
          51,      -4.747397623,      -4.093081346,      -4.032268128,      -6.960010971,       0.913167468,       15.16739692,       15.16739692,      0.1201729538,      0.6279082253
          52,       -4.74804848,      -4.092702106,      -4.035158912,       -6.93600906,       1.015303963,        18.2008763,        18.2008763,      0.1229345028,      0.6352126841
          53,      -4.748953017,       -4.09295342,      -4.039542242,      -6.907350365,        1.10022129,       21.84105156,       21.84105156,      0.1271390002,       0.646235076
          54,      -4.750221012,      -4.094378797,      -4.046086277,      -6.874184513,         1.1592128,       26.20926187,       26.20926187,      0.1334460856,       0.662711282
          55,      -4.751929062,      -4.097803608,      -4.055606215,      -6.837493298,       1.184925037,       31.45111425,       31.45111425,      0.1426752908,      0.6870050418
          56,      -4.754001082,      -4.104431078,      -4.068949445,      -6.799538031,       1.180269236,        37.7413371,        37.7413371,      0.1557771449,      0.7220994896
          57,      -4.756062488,      -4.115865648,       -4.08667005,      -6.764432562,       1.185750814,       45.28960451,       45.28960451,      0.1738250739,      0.7714502964
          58,      -4.757465442,      -4.133920726,      -4.108346625,      -6.737724463,        1.25024021,       54.34752542,       54.34752542,      0.1979002778,      0.8384454954
          59,      -4.757781298,      -4.159898991,      -4.131589376,      -6.724439586,       1.301500503,        65.2170305,        65.2170305,       0.228760611,      0.9254513937
          60,      -4.757756319,      -4.193103782,      -4.152237506,      -6.724696692,       1.315570802,        6.52170305,        6.52170305,      0.2660523562,       1.032069809
          61,      -4.760108058,      -4.229045616,      -4.167947573,      -6.850460484,      0.3566621612,        7.82604366,        7.82604366,      0.2697627416,       1.042687993
          62,      -4.758384896,      -4.230600099,      -4.168248404,      -6.847298576,      0.4343588567,       9.391252392,       9.391252392,      0.2742115731,       1.055443715
          63,      -4.756280643,      -4.232266052,      -4.168491432,      -6.843774026,      0.5042229918,       11.26950287,       11.26950287,      0.2795395519,        1.07075569
          64,      -4.753950572,      -4.233957414,      -4.168647028,      -6.839936775,      0.5800509354,       13.52340344,       13.52340344,      0.2859070772,       1.089111343
          65,      -4.751473436,      -4.235554255,      -4.168690262,      -6.835893404,      0.6635408121,       16.22808413,       16.22808413,      0.2934940111,       1.111080583
          66,      -4.748978016,      -4.236895031,      -4.168617324,      -6.831923833,       0.754681114,       19.47370096,       19.47370096,      0.3024930292,        1.13732534
          67,      -4.746690668,      -4.237728987,      -4.168475798,      -6.828380481,      0.8356184282,       23.36844115,       23.36844115,      0.3130685411,       1.168518866
          68,      -4.744958245,      -4.237708823,      -4.168418797,      -6.825539186,      0.8898652768,       28.04212938,       28.04212938,      0.3252826042,       1.205150902
          69,      -4.744240788,      -4.236450063,      -4.168776682,      -6.823402986,      0.9345370487,       33.65055526,       33.65055526,      0.3389744872,       1.247160976
          70,       -4.74507006,      -4.233692675,      -4.170143862,      -6.821525322,       1.026540738,       40.38066631,       40.38066631,      0.3536032426,       1.293449156
          71,      -4.748013623,      -4.229515653,      -4.173433034,      -6.819251256,       1.143513807,       48.45679957,       48.45679957,      0.3680511854,        1.34133568
          72,      -4.753743329,      -4.224480415,      -4.179811866,      -6.815325337,       1.240967066,       58.14815949,       58.14815949,      0.3803966919,       1.386053354
          73,       -4.76330377,      -4.219597971,      -4.190502736,      -6.806756281,       1.304430182,       69.77779139,       69.77779139,      0.3877752783,       1.420491391
          74,      -4.778574023,      -4.216258226,      -4.206536642,      -6.787947859,       1.300613964,       6.977779139,       6.977779139,      0.3866313004,       1.435764579
          75,      -4.802848217,      -4.216712966,      -4.228501247,      -7.071727638,      0.3347349028,       8.373334966,       8.373334966,      0.3864162879,       1.437038111
          76,      -4.803959814,      -4.215785271,      -4.229059161,      -7.073662347,      0.4195074583,       10.04800196,       10.04800196,      0.3860179161,       1.438197823
          77,      -4.805114869,      -4.214642722,      -4.229753264,      -7.075057513,      0.5049246131,       12.05760235,       12.05760235,      0.3853382445,       1.439065724
          78,      -4.806704623,      -4.213221892,      -4.230702052,      -7.075237224,      0.5992766482,       14.46912282,       14.46912282,      0.3842326797,       1.439364864
          79,      -4.808961853,       -4.21148927,      -4.232045342,       -7.07304497,      0.7005131002,       17.36294739,       17.36294739,      0.3824895734,       1.438674438
          80,      -4.812165128,      -4.209492158,      -4.233923643,      -7.067073493,      0.7958533906,       20.83553686,       20.83553686,       0.379810175,       1.436372496
          81,      -4.816697903,      -4.207400632,      -4.236454642,      -7.055727473,      0.8673093763,       25.00264424,       25.00264424,      0.3758016238,       1.431580731
          82,      -4.823087327,      -4.205547014,      -4.239729702,      -7.038073528,      0.9092094009,       30.00317308,       30.00317308,      0.3699939505,       1.423144617
          83,      -4.832034998,      -4.204472738,      -4.243849811,      -7.013271223,       0.938235016,        36.0038077,        36.0038077,       0.361879925,       1.409697573
          84,      -4.844441167,      -4.204990178,      -4.248951069,      -6.983060459,      0.9647112908,       43.20456924,       43.20456924,      0.3509854996,        1.38988223
          85,      -4.861412896,      -4.208295283,      -4.255145132,       -6.95198121,      0.9615673209,       51.84548309,       51.84548309,      0.3370148591,        1.36281457
          86,       -4.88424261,      -4.216111817,      -4.262322311,      -6.928809482,      0.9145262322,       62.21457971,       62.21457971,       0.320132195,       1.328830112
          87,      -4.914481727,       -4.23066594,      -4.269769786,      -6.925934018,      0.9446967522,       74.65749565,       74.65749565,      0.3014267639,       1.290524311
          88,      -4.954153549,      -4.254224089,      -4.276191192,      -6.955801706,       1.102815439,       89.58899478,       89.58899478,      0.2834375266,       1.253905761
          89,      -5.005430172,      -4.287941625,      -4.281568572,      -7.010742203,       1.239658365,       8.958899478,       8.958899478,      0.2702789319,        1.22885976
          90,      -5.069263544,      -4.330433086,      -4.290808039,      -7.287967574,      0.2805258199,       10.75067937,       10.75067937,      0.2690357026,       1.226535575
          91,      -5.073202339,      -4.332995987,      -4.290170795,      -7.291821432,      0.3648642179,       12.90081525,       12.90081525,      0.2676750484,       1.224037852
          92,      -5.077141474,      -4.335811207,      -4.289630804,      -7.295240831,      0.4522540146,        15.4809783,        15.4809783,      0.2662339878,       1.221473941
          93,      -5.081522448,      -4.338947111,      -4.289341817,      -7.297229632,      0.5355672905,       18.57717396,       18.57717396,      0.2647883449,       1.219039376
