"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
           0,      -3.662637473,      -16.14954005,      -16.67103158,      -7.122786614,               2.4,               2.4,       4.679182951,      0.7027217762,       2.596705835
           1,      -3.814558021,      -3.113465047,      -3.290836341,      -7.480350176,              2.88,              2.88,        3.83057866,      0.5990395386,       2.152018656
           2,       -3.92694188,      -3.302755774,       -3.54047288,      -7.950535839,             3.456,             3.456,       3.209912355,      0.6152951165,       1.942429682
           3,      -4.009677552,      -3.464408445,      -3.729784144,      -8.350612302,            4.1472,            4.1472,       2.756676587,      0.7093399181,       1.891164355
           4,      -4.078853367,      -3.605419492,       -3.86224436,      -8.672771645,           4.97664,           4.97664,       2.423574874,      0.8495547785,       1.940698864
           5,      -4.143202913,      -3.730020644,      -3.956737382,      -8.926806812,          5.971968,          5.971968,       2.177198432,        1.01473113,       2.052287379
